"","DEGs.GENEID","DEGs.gene_name","DEGs.adj.P.Val","DEGs.logFC"
"1","ENSG00000160323.18","ADAMTS13",3.92330873121346e-99,-2.7875261371144
"2","ENSG00000143369.14","ECM1",4.21502849930304e-93,-3.24914414785825
"3","ENSG00000117650.12","NEK2",2.91924291411641e-85,3.31503517427571
"4","ENSG00000077152.10","UBE2T",3.4890668833072e-85,2.76343635235428
"5","ENSG00000182566.13","CLEC4G",5.53803859765169e-85,-7.08729181649674
"6","ENSG00000142748.12","FCN3",5.82542194916228e-85,-5.50162778688881
"7","ENSG00000130812.10","ANGPTL6",4.05084627921688e-83,-3.00293015901751
"8","ENSG00000145824.12","CXCL14",7.25375884195299e-83,-5.60116321142023
"9","ENSG00000100526.19","CDKN3",8.400586143283e-82,3.27820742319065
"10","ENSG00000160801.13","PTH1R",1.46082438043431e-81,-3.53350606403021
"11","ENSG00000114812.12","VIPR1",5.25305140226787e-81,-3.96738360857541
"12","ENSG00000263761.2","GDF2",1.49102758140051e-79,-7.35725938198281
"13","ENSG00000117724.12","CENPF",1.73519235107515e-79,3.32813127279097
"14","ENSG00000112984.11","KIF20A",2.4912426809079e-79,3.46423542522873
"15","ENSG00000135451.12","TROAP",1.02525319065528e-76,3.14833975432351
"16","ENSG00000198901.13","PRC1",1.48478088630222e-76,2.7876465319342
"17","ENSG00000123485.11","HJURP",2.08687126293715e-76,2.96214541172968
"18","ENSG00000104938.16","CLEC4M",2.9521956238186e-76,-7.3860660993344
"19","ENSG00000134690.10","CDCA8",3.31432117298742e-76,2.81248423489626
"20","ENSG00000043355.11","ZIC2",3.31432117298742e-76,5.88745788892056
"21","ENSG00000134057.14","CCNB1",3.31432117298742e-76,2.79100555011849
"22","ENSG00000160339.15","FCN2",3.99067978011737e-76,-6.57704196190245
"23","ENSG00000145287.10","PLAC8",1.66663742770264e-75,-3.26420651702695
"24","ENSG00000066279.17","ASPM",5.06855842262874e-75,3.16080900777881
"25","ENSG00000165682.14","CLEC1B",5.46468830176171e-75,-7.06103735953505
"26","ENSG00000146670.9","CDCA5",9.65459687421171e-75,2.93597186250965
"27","ENSG00000175063.16","UBE2C",7.94569282297945e-74,3.28574661902574
"28","ENSG00000161800.12","RACGAP1",1.02107151656739e-73,2.06112882765919
"29","ENSG00000126759.13","CFP",1.56974731873259e-73,-3.24670202669986
"30","ENSG00000164128.6","NPY1R",2.498430000147e-73,-3.64080866432844
"31","ENSG00000117399.13","CDC20",3.14660496919673e-73,3.45979674411866
"32","ENSG00000213398.7","LCAT",5.27285146848708e-73,-2.60112899745609
"33","ENSG00000197580.11","BCO2",6.524683020324e-73,-3.49154658053313
"34","ENSG00000113594.9","LIFR",8.39268535007229e-73,-3.18901957119632
"35","ENSG00000072571.19","HMMR",2.00373897674733e-72,2.65723067735869
"36","ENSG00000140835.9","CHST4",2.16670149011204e-72,-6.3531340529593
"37","ENSG00000146674.14","IGFBP3",2.49428834275063e-72,-2.94442240075704
"38","ENSG00000107562.16","CXCL12",9.47065752806617e-72,-3.22815068506176
"39","ENSG00000174371.16","EXO1",3.41805784517019e-71,3.12814269605926
"40","ENSG00000089685.14","BIRC5",9.6983575841834e-71,2.7795580190472
"41","ENSG00000170312.15","CDK1",1.27356437948516e-70,2.74634935386692
"42","ENSG00000237649.7","KIFC1",1.27356437948516e-70,2.8026114415521
"43","ENSG00000131747.14","TOP2A",2.8964421202144e-70,3.34388577564964
"44","ENSG00000157456.7","CCNB2",1.44317607136705e-69,2.98299031309816
"45","ENSG00000163687.13","DNASE1L3",1.50688952278334e-69,-3.33986922403439
"46","ENSG00000225792.1","AC004540.2",1.50688952278334e-69,-4.30696100313851
"47","ENSG00000109805.9","NCAPG",1.684857328444e-69,2.99394218584523
"48","ENSG00000111206.12","FOXM1",2.15697352654572e-69,2.89603033770144
"49","ENSG00000142945.12","KIF2C",5.6468474254077e-69,2.96860448566956
"50","ENSG00000156970.12","BUB1B",6.39795243399492e-69,3.04903269097658
"51","ENSG00000249173.5","LINC01093",1.6002686960637e-68,-5.04314839565963
"52","ENSG00000145708.10","CRHBP",9.25816971809515e-68,-5.1588320825764
"53","ENSG00000164611.12","PTTG1",1.18308927673799e-67,2.63252506860295
"54","ENSG00000106031.8","HOXA13",3.56193055245024e-67,6.54303548101504
"55","ENSG00000267444.1","SMUG1P1",4.95364353720935e-67,-4.92735533909841
"56","ENSG00000087586.17","AURKA",1.95485238392378e-66,2.44361238122501
"57","ENSG00000172425.10","TTC36",2.6002534870597e-66,-4.5576686239909
"58","ENSG00000111665.11","CDCA3",2.74427835052447e-66,2.12146287887747
"59","ENSG00000178999.12","AURKB",5.25282367426157e-66,2.57084639527031
"60","ENSG00000137804.12","NUSAP1",6.72785547665253e-66,2.13761365625162
"61","ENSG00000162595.6","DIRAS3",2.49676940662873e-65,-3.38851303175143
"62","ENSG00000165140.10","FBP1",1.17288777480077e-64,-2.73436943462821
"63","ENSG00000160932.10","LY6E",4.36286908268261e-64,-2.92420848284387
