"","DEGs.GENEID","DEGs.gene_name","DEGs.adj.P.Val","DEGs.logFC"
"1","ENSG00000160323.18","ADAMTS13",2.65475787492361e-108,-2.79150583325978
"2","ENSG00000143369.14","ECM1",1.32453070465736e-103,-3.2607427659936
"3","ENSG00000182566.13","CLEC4G",2.59045444973398e-100,-7.11814704442099
"4","ENSG00000142748.12","FCN3",1.45271374939848e-98,-5.54182786858604
"5","ENSG00000145824.12","CXCL14",7.01015983041481e-95,-5.61169130391544
"6","ENSG00000130812.10","ANGPTL6",1.26959528010862e-93,-3.0111147530055
"7","ENSG00000160801.13","PTH1R",2.20729356537691e-92,-3.53405948179987
"8","ENSG00000114812.12","VIPR1",5.34945921427718e-92,-3.96749699948489
"9","ENSG00000263761.2","GDF2",1.14088384210835e-91,-7.37644601186332
"10","ENSG00000104938.16","CLEC4M",6.98898589187074e-90,-7.41487603963921
"11","ENSG00000165682.14","CLEC1B",2.05979472322082e-89,-7.09431275534891
"12","ENSG00000160339.15","FCN2",3.06638933588877e-89,-6.59788260002739
"13","ENSG00000077152.10","UBE2T",1.60949699219307e-88,2.76477082072263
"14","ENSG00000117650.12","NEK2",5.16002240551603e-88,3.31733140245421
"15","ENSG00000043355.11","ZIC2",9.92594010696564e-86,5.93094028173436
"16","ENSG00000145287.10","PLAC8",1.23727732496205e-85,-3.27430351179315
"17","ENSG00000100526.19","CDKN3",3.5028383394573e-85,3.28464850271476
"18","ENSG00000126759.13","CFP",9.81530473195328e-85,-3.26542260591761
"19","ENSG00000140835.9","CHST4",1.76371188706054e-84,-6.34417370052307
"20","ENSG00000164128.6","NPY1R",9.71442750667216e-84,-3.65097761568973
"21","ENSG00000117724.12","CENPF",2.38412362349308e-82,3.3308209432185
"22","ENSG00000123485.11","HJURP",5.36941082304326e-81,2.97204665258701
"23","ENSG00000197580.11","BCO2",6.6363175982608e-81,-3.48395723604579
"24","ENSG00000112984.11","KIF20A",7.47696182145895e-81,3.46248824821243
"25","ENSG00000145708.10","CRHBP",9.58802342883276e-81,-5.20939744740673
"26","ENSG00000225792.1","AC004540.2",9.61363310153151e-81,-4.320904473462
"27","ENSG00000113594.9","LIFR",6.70021046223759e-80,-3.20264802912542
"28","ENSG00000249173.5","LINC01093",1.72686948975497e-79,-5.0503700282929
"29","ENSG00000198901.13","PRC1",1.85496736175975e-79,2.79078357408988
"30","ENSG00000134690.10","CDCA8",2.32907709402392e-79,2.81717664618569
"31","ENSG00000134057.14","CCNB1",6.4241968280557e-79,2.79444384582688
"32","ENSG00000135451.12","TROAP",1.06530654591621e-78,3.15051740238018
"33","ENSG00000213398.7","LCAT",6.30612140180038e-78,-2.60297647881444
"34","ENSG00000066279.17","ASPM",1.83109621568148e-77,3.16256298688436
"35","ENSG00000146670.9","CDCA5",2.28248357515836e-77,2.94188199744189
"36","ENSG00000175063.16","UBE2C",2.51343974652771e-76,3.2941553228663
"37","ENSG00000172425.10","TTC36",2.94299306245347e-76,-4.55996179506738
"38","ENSG00000163687.13","DNASE1L3",4.11788606633383e-76,-3.35992016721895
"39","ENSG00000146674.14","IGFBP3",8.1447726093085e-76,-2.94759401374569
"40","ENSG00000267444.1","SMUG1P1",8.96268037955076e-76,-4.93879022201593
"41","ENSG00000107562.16","CXCL12",1.04966781480372e-75,-3.23028508335535
"42","ENSG00000120057.4","SFRP5",2.53487530274356e-75,-6.57664564118035
"43","ENSG00000117399.13","CDC20",2.5990690016885e-75,3.46763971860202
"44","ENSG00000161800.12","RACGAP1",3.63970539821316e-75,2.06137195374777
"45","ENSG00000174371.16","EXO1",1.11360367255261e-74,3.13543123289603
"46","ENSG00000072571.19","HMMR",2.50800747134081e-74,2.65849386894483
"47","ENSG00000111206.12","FOXM1",6.23653547523243e-74,2.90354956753142
"48","ENSG00000162595.6","DIRAS3",6.7537210778675e-74,-3.38652459323035
"49","ENSG00000109805.9","NCAPG",1.00232623908325e-73,3.00447030668759
"50","ENSG00000138315.12","OIT3",2.52148702771563e-73,-4.07987832674887
"51","ENSG00000089685.14","BIRC5",3.0650667020926e-73,2.78303444104604
"52","ENSG00000157456.7","CCNB2",4.54912943843057e-73,2.99206710012573
"53","ENSG00000131747.14","TOP2A",6.90492356027264e-73,3.34491975107394
"54","ENSG00000237649.7","KIFC1",2.44218667550281e-72,2.80509286146746
"55","ENSG00000170312.15","CDK1",2.87647062354231e-72,2.74536028778434
"56","ENSG00000019991.16","HGF",9.80660167551803e-72,-3.07192508888283
"57","ENSG00000165125.19","TRPV6",2.90730593264165e-71,-3.88316796863573
"58","ENSG00000156970.12","BUB1B",5.8794726668103e-71,3.0512439715023
"59","ENSG00000158473.6","CD1D",7.91560070291936e-71,-2.19334429943608
"60","ENSG00000142945.12","KIF2C",8.02742915911148e-71,2.97034949334659
"61","ENSG00000118526.6","TCF21",1.18840401690689e-70,-2.76003331511994
"62","ENSG00000074276.10","CDHR2",1.22641904549583e-70,-5.16773583300202
"63","ENSG00000233392.5","AC104809.2",1.18265314293922e-69,-3.8662046419471
"64","ENSG00000176595.3","KBTBD11",1.18265314293922e-69,-3.59056691766916
"65","ENSG00000106031.8","HOXA13",1.827810021762e-69,6.55003649112855
"66","ENSG00000173918.14","C1QTNF1",2.08223236144218e-69,-2.53411808983931
"67","ENSG00000137804.12","NUSAP1",2.384995381961e-69,2.14159806799995
"68","ENSG00000146233.7","CYP39A1",6.16568149505953e-69,-3.36062443644451
