"","x"
"1","RK002-adjacent-XY"
"2","RK002-tumor-XY"
"3","RK003-adjacent-XY"
"4","RK003-tumor-XY"
"5","RK004-adjacent-XY"
"6","RK004-tumor-XY"
"7","RK005-adjacent-XY"
"8","RK005-tumor-XY"
"9","RK007-adjacent-XY"
"10","RK007-tumor-XY"
"11","RK014-adjacent-XY"
"12","RK014-tumor-XY"
"13","RK015-tumor-XY"
"14","RK016-adjacent-XX"
"15","RK016-tumor-XX"
"16","RK019-adjacent-XY"
"17","RK019-tumor-XY"
"18","RK020-adjacent-XY"
"19","RK020-tumor-XY"
"20","RK021-adjacent-XY"
"21","RK021-tumor-XY"
"22","RK022-adjacent-XX"
"23","RK022-tumor-XX"
"24","RK024-adjacent-XY"
"25","RK024-tumor-XY"
"26","RK025-adjacent-XX"
"27","RK025-tumor-XX"
"28","RK026-adjacent-XY"
"29","RK026-tumor-XY"
"30","RK027-adjacent-XY"
"31","RK027-tumor-XY"
"32","RK028-adjacent-XX"
"33","RK028-tumor-XX"
"34","RK029-adjacent-XY"
"35","RK029-tumor-XY"
"36","RK030-adjacent-XY"
"37","RK030-tumor-XY"
"38","RK032-adjacent-XY"
"39","RK032-tumor-XY"
"40","RK034-adjacent-XY"
"41","RK034-tumor-XY"
"42","RK036-adjacent-XY"
"43","RK036-tumor-XY"
"44","RK037-adjacent-XY"
"45","RK037-tumor-XY"
"46","RK038-adjacent-XX"
"47","RK038-tumor-XX"
"48","RK040-adjacent-XX"
"49","RK040-tumor-XX"
"50","RK041-adjacent-XY"
"51","RK041-tumor-XY"
"52","RK043-adjacent-XY"
"53","RK043-tumor-XY"
"54","RK044-adjacent-XX"
"55","RK044-tumor-XX"
"56","RK047-adjacent-XX"
"57","RK047-tumor-XX"
"58","RK048-adjacent-XY"
"59","RK048-tumor-XY"
"60","RK049-tumor-XY"
"61","RK050-adjacent-XY"
"62","RK050-tumor-XY"
"63","RK051-adjacent-XY"
"64","RK051-tumor-XY"
"65","RK052-adjacent-XY"
"66","RK052-tumor-XY"
"67","RK053-adjacent-XY"
"68","RK053-tumor-XY"
"69","RK054-adjacent-XY"
"70","RK054-tumor-XY"
"71","RK055-adjacent-XY"
"72","RK055-tumor-XY"
"73","RK056-adjacent-XY"
"74","RK056-tumor-XY"
"75","RK057-adjacent-XY"
"76","RK057-tumor-XY"
"77","RK058-adjacent-XY"
"78","RK058-tumor-XY"
"79","RK059-adjacent-XY"
"80","RK059-tumor-XY"
"81","RK060-adjacent-XY"
"82","RK060-tumor-XY"
"83","RK064-adjacent-XX"
"84","RK064-tumor-XX"
"85","RK065-adjacent-XX"
"86","RK065-tumor-XX"
"87","RK068-adjacent-XX"
"88","RK068-tumor-XX"
"89","RK071-adjacent-XX"
"90","RK071-tumor-XX"
"91","RK072-adjacent-XX"
"92","RK072-tumor-XX"
"93","RK074-adjacent-XY"
"94","RK074-tumor-XY"
"95","RK075-adjacent-XY"
"96","RK075-tumor-XY"
"97","RK077-adjacent-XY"
"98","RK077-tumor-XY"
"99","RK079-adjacent-XY"
"100","RK079-tumor-XY"
"101","RK081-adjacent-XY"
"102","RK081-tumor-XY"
"103","RK083-adjacent-XX"
"104","RK083-tumor-XX"
"105","RK085-adjacent-XY"
"106","RK085-tumor-XY"
"107","RK086-tumor-XY"
"108","RK088-tumor-XY"
"109","RK092-adjacent-XY"
"110","RK092-tumor-XY"
"111","RK093-adjacent-XY"
"112","RK093-tumor-XY"
"113","RK095-adjacent-XX"
"114","RK095-tumor-XX"
"115","RK098-adjacent-XX"
"116","RK098-tumor-XX"
"117","RK100-adjacent-XX"
"118","RK100-tumor-XX"
"119","RK101-adjacent-XY"
"120","RK101-tumor-XY"
"121","RK102-adjacent-XY"
"122","RK102-tumor-XY"
"123","RK103-adjacent-XY"
"124","RK103-tumor-XY"
"125","RK104-adjacent-XY"
"126","RK104-tumor-XY"
"127","RK107-adjacent-XX"
"128","RK107-tumor-XX"
"129","RK110-adjacent-XY"
"130","RK110-tumor-XY"
"131","RK111-adjacent-XY"
"132","RK111-tumor-XY"
"133","RK115-adjacent-XX"
"134","RK115-tumor-XX"
"135","RK117-adjacent-XX"
"136","RK117-tumor-XX"
"137","RK118-adjacent-XY"
"138","RK118-tumor-XY"
"139","RK119-adjacent-XX"
"140","RK119-tumor-XX"
"141","RK120-adjacent-XY"
"142","RK120-tumor-XY"
"143","RK124-adjacent-XY"
"144","RK124-tumor-XY"
"145","RK125-adjacent-XY"
"146","RK125-tumor-XY"
"147","RK126-adjacent-XY"
"148","RK126-tumor-XY"
"149","RK128-adjacent-XY"
"150","RK128-tumor-XY"
"151","RK130-adjacent-XY"
"152","RK130-tumor-XY"
"153","RK131-adjacent-XY"
"154","RK131-tumor-XY"
"155","RK133-tumor-XY"
"156","RK140-adjacent-XY"
"157","RK140-tumor-XY"
"158","RK141-adjacent-XX"
"159","RK141-tumor-XX"
"160","RK143-adjacent-XY"
"161","RK143-tumor-XY"
"162","RK145-adjacent-XY"
"163","RK145-tumor-XY"
"164","RK147-adjacent-XY"
"165","RK147-tumor-XY"
"166","RK149-tumor-XY"
"167","RK150-tumor-XY"
"168","RK151-adjacent-XY"
"169","RK151-tumor-XY"
"170","RK153-tumor-XY"
"171","RK155-adjacent-XX"
"172","RK155-tumor-XX"
"173","RK156-tumor-XY"
"174","RK157-adjacent-XY"
"175","RK157-tumor-XY"
"176","RK159-adjacent-XY"
"177","RK159-tumor-XY"
"178","RK162-adjacent-XY"
"179","RK162-tumor-XY"
"180","RK163-adjacent-XX"
"181","RK163-tumor-XX"
"182","RK164-adjacent-XY"
"183","RK164-tumor-XY"
"184","RK167-adjacent-XY"
"185","RK167-tumor-XY"
"186","RK169-adjacent-XY"
"187","RK169-tumor-XY"
"188","RK172-adjacent-XX"
"189","RK172-tumor-XX"
"190","RK175-adjacent-XY"
"191","RK175-tumor-XY"
"192","RK177-adjacent-XY"
"193","RK177-tumor-XY"
"194","RK178-adjacent-XX"
"195","RK178-tumor-XX"
"196","RK181-adjacent-XY"
"197","RK181-tumor-XY"
"198","RK185-adjacent-XY"
"199","RK185-tumor-XY"
"200","RK186-adjacent-XX"
"201","RK186-tumor-XX"
"202","RK189-tumor-XY"
"203","RK190-adjacent-XY"
"204","RK190-tumor-XY"
"205","RK191-adjacent-XX"
"206","RK193-adjacent-XX"
"207","RK193-tumor-XX"
"208","RK196-adjacent-XY"
"209","RK196-tumor-XY"
"210","RK198-adjacent-XX"
"211","RK198-tumor-XX"
"212","RK199-adjacent-XX"
"213","RK199-tumor-XX"
"214","RK201-adjacent-XY"
"215","RK201-tumor-XY"
"216","RK202-adjacent-XX"
"217","RK202-tumor-XX"
"218","RK205-adjacent-XY"
"219","RK205-tumor-XY"
"220","RK207-adjacent-XY"
"221","RK207-tumor-XY"
"222","RK209-tumor-XY"
"223","RK210-tumor-XY"
"224","RK211-adjacent-XX"
"225","RK211-tumor-XX"
"226","RK212-adjacent-XY"
"227","RK212-tumor-XY"
"228","RK213-adjacent-XY"
"229","RK213-tumor-XY"
"230","RK214-adjacent-XY"
"231","RK214-tumor-XY"
"232","RK216-adjacent-XX"
"233","RK216-tumor-XX"
"234","RK219-tumor-XX"
"235","RK222-adjacent-XX"
"236","RK222-tumor-XX"
"237","RK223-tumor-XY"
"238","RK224-adjacent-XY"
"239","RK224-tumor-XY"
"240","RK228-adjacent-XY"
"241","RK228-tumor-XY"
"242","RK230-adjacent-XX"
"243","RK230-tumor-XX"
"244","RK232-adjacent-XX"
"245","RK232-tumor-XX"
"246","RK235-adjacent-XY"
"247","RK235-tumor-XY"
"248","RK236-adjacent-XX"
"249","RK236-tumor-XX"
"250","RK237-adjacent-XY"
"251","RK237-tumor-XY"
"252","RK241-adjacent-XY"
"253","RK241-tumor-XY"
"254","RK243-adjacent-XX"
"255","RK243-tumor-XX"
"256","RK256-adjacent-XY"
"257","RK256-tumor-XY"
"258","RK258-adjacent-XY"
"259","RK258-tumor-XY"
"260","RK259-tumor-XY"
"261","RK260-adjacent-XY"
"262","RK260-tumor-XY"
"263","RK262-tumor-XY"
"264","RK263-adjacent-XY"
"265","RK263-tumor-XY"
"266","RK264-tumor-XY"
"267","RK265-adjacent-XY"
