"","Gender","ENSG00000012817.15","ENSG00000067048.16","ENSG00000129824.15","ENSG00000129864.6","ENSG00000131002.11","ENSG00000176728.7","ENSG00000198692.9","ENSG00000225840.2","ENSG00000229549.9","ENSG00000233803.9","ENSG00000236424.7","ENSG00000238074.5","ENSG00000258992.6","ENSG00000267793.1","ENSG00000271375.1","ENSG00000273906.1"
"RK002-adjacent-XY","M",5.50080872287617,6.14384622177674,6.6822159388653,-6.24692006952132,5.56402512154627,1.53218302056029,4.19482671708926,1.47838111735563,-6.13668287641769,-6.1672832003202,-6.18766547892398,-6.20276054796571,-6.18127347393256,-1.15768225448007,-1.02114221338106,-0.574206808331202
"RK002-tumor-XY","M",6.23904086046717,5.76984450778597,7.39406658159353,-4.06537587093754,5.33461825203745,1.90457787450887,4.08125739749867,1.53034691528557,-0.539672342315535,0.340731416257511,-1.17564831224011,-1.96439825108888,-6.6265449822329,-1.38614237370726,-6.59104144951011,1.68940320831384
"RK003-adjacent-XY","M",4.09825667083843,5.71794851815499,6.78708219541239,-5.2558445039887,2.79933171981372,0.964174717197361,4.270322343336,4.46414202254253,-5.14560731088506,-5.17620763478758,-5.19658991339136,-5.21168498243309,-5.19019790839994,-5.3760600545764,-1.80959355309542,0.596653928129793
"RK003-tumor-XY","M",-0.294316779973528,0.551465273520972,2.43793115777204,-6.09851910377424,-0.928964858826694,-3.7853904781967,-0.943385424565581,9.07721855101235,-5.9882819106706,-6.01888223457312,-6.0392645131769,-6.05435958221863,-6.03287250818548,-6.21873465436194,-2.77036914985174,-3.99018176722616
"RK004-adjacent-XY","M",6.26809042416961,5.84799145782244,6.91334089629603,-5.57718090974752,6.04080789279011,1.50562760198148,3.59863674406491,6.10910797799106,-5.46694371664388,-5.4975440405464,-5.51792631915018,-5.53302138819191,-5.51153431415875,-0.653002340976764,-1.68928618501824,-1.51673548748811
"RK004-tumor-XY","M",5.17679517938317,4.76723743868541,6.40186881745533,-6.66250910849892,4.35273032937352,1.1957965090459,3.72410432937963,1.57614460064088,-6.55227191539528,-6.5828722392978,-6.60325451790157,-6.61834958694331,-6.59686251291015,-3.32329304044932,-6.56135898018737,-2.00600911269353
"RK005-adjacent-XY","M",5.23621930277564,5.92233791317503,7.74582295202185,-5.19426484858092,5.12172723206601,2.86438317017946,5.15551182919814,1.26042078387692,-5.30450204168456,-5.27390171778204,-5.25351943917826,-5.23842437013653,-5.25991144416969,-2.75212120310586,-5.29541497689247,2.00801059653052
"RK005-tumor-XY","M",4.99670789617001,4.78244904089064,6.34547085205418,-5.70652828159665,4.53539536231937,0.642121190597793,3.16360443191404,0.748157350861193,-5.81676547470029,-5.78616515079777,-5.76578287219399,-5.75068780315226,-5.77217487718542,-4.0013502302878,-5.8076784099082,-3.17100942837001
"RK007-adjacent-XY","M",5.64325923255616,5.55526356683086,6.65578501192935,-5.98351699161633,5.31682752825429,1.78247058549973,4.2267726356136,1.40679729775359,-5.87327979851269,-5.90388012241521,-5.92426240101899,-5.93935747006072,-5.91787039602756,-1.4598763524293,-1.84241415574238,0.330528639689104
"RK007-tumor-XY","M",2.44804964906434,5.24314876836029,7.81702892460363,-5.73564710245819,4.79233493783804,2.00374627782146,4.63720279453306,3.9985458260444,-5.62540990935455,-5.65601023325706,-5.67639251186084,-5.69148758090258,-5.67000050686942,-3.04850773098828,-5.63449697414663,-4.33603816021957
"RK014-adjacent-XY","M",5.89274974981867,5.51441570316221,6.92904593233131,-4.83214316547207,5.17091829432556,2.26527348327334,3.09242960811108,2.93815263524703,-4.72190597236843,-4.75250629627095,-4.77288857487473,-4.78798364391646,-4.76649656988331,-3.36739621533861,-4.73099303716052,1.35351381541992
"RK014-tumor-XY","M",4.79047803440402,4.95270716931189,5.80697140866916,-5.57715341323029,4.15222090955988,-0.0940997862104336,1.49844410404749,2.22001316347328,-5.46691622012665,-5.49751654402917,-5.51789882263295,-5.53299389167468,-5.51150681764152,-2.89001404176038,-2.9396549111952,-2.32740918386551
"RK015-tumor-XY","M",6.55547454971412,5.59800834077811,6.99697159670871,-5.54220939245061,6.00498885235355,2.40322801586178,3.67395426151325,3.85107569534309,-5.65244658555425,-5.62184626165174,-5.60146398304796,-5.58636891400622,-5.60785598803938,-2.61463891980531,-5.64335952076216,2.59619386949445
"RK016-adjacent-XX","F",-3.50029591774237,-2.88039527166419,-1.31295952573463,-5.0068176929024,-2.87288735768557,-5.01561716221222,-3.02470541609786,2.96049571887826,-4.89658049979876,-4.92718082370128,-4.94756310230505,-4.96265817134679,-4.94117109731363,-5.1270332434901,-4.90566756459085,-1.12647497364404
"RK016-tumor-XX","F",-4.36293142870056,-3.74303078262239,-3.06867983277631,-5.86945320386059,-4.47248846280997,-5.87825267317041,-2.59633174999663,1.59202054155575,-5.75921601075695,-5.78981633465947,-5.81019861326325,-5.82529368230498,-5.80380660827182,-5.98966875444829,-5.76830307554904,-0.450748521905655
"RK019-adjacent-XY","M",5.06856949595303,6.28747243110276,6.59072191804169,-5.3931550960587,4.9258351122785,2.24581458629272,4.22218741609553,1.28063698835679,-5.28291790295506,-5.31351822685757,-5.33390050546135,-5.34899557450309,-5.32750850046993,-0.758483144482924,-2.90985789825781,-0.473728703255725
"RK019-tumor-XY","M",5.44577786225796,5.94761157363714,6.39404122931515,-6.18879429548014,5.50455485060332,2.6811836785189,4.41376189791909,0.781867123494841,-5.49359460165534,-6.10915165551039,-5.54457720416164,-6.14463477392453,-6.12314769989137,0.166723584898562,-6.08764416716859,-1.11441150778364
"RK020-adjacent-XY","M",5.38874477295854,6.20159597263963,6.40383459198486,-6.3325248077084,5.5924418246039,2.28733115405476,4.04366615619125,1.13732373893961,-6.22228761460476,-6.25288793850728,-6.27327021711106,-6.28836528615279,-6.26687821211964,-0.619850344131358,-2.61684880535001,-0.170705253314758
