"","M_HCV_unfiltered.logFC","M_HCV_unfiltered.gene_name","M_HCV_unfiltered.adj.P.Val","F_HCV_unfiltered.logFC","F_HCV_unfiltered.gene_name","F_HCV_unfiltered.adj.P.Val","residuals"
"1",-2.72766610242543,"ADAMTS13",1.27298234028006e-66,-2.38950626508282,"ADAMTS13",3.24575691036226e-32,-0.246232866714177
"2",-3.33429573421148,"ECM1",4.29272153261356e-64,-2.66244668000159,"ECM1",2.08115847107029e-28,-0.572263328791504
"3",6.47133221191019,"HOTTIP",5.50740026625062e-62,4.94458013041389,"HOTTIP",3.60309566625744e-24,1.41288333173748
"4",-6.82533941409623,"CLEC4G",4.66277384094054e-59,-5.9091199546206,"CLEC4G",4.94235590238438e-26,-0.72553152590471
"5",-5.25030603987653,"FCN3",2.11177137857233e-58,-4.68361597822649,"FCN3",3.13211539376955e-26,-0.410389979552245
"6",-3.44893364543761,"PLAC8",2.90758851730389e-56,-2.51627589557003,"PLAC8",1.79645715406607e-19,-0.837173601695543
"7",-2.79460265212247,"ANGPTL6",6.22360332231984e-55,-2.34915107409765,"ANGPTL6",1.29987526273879e-23,-0.354656980967235
"8",-5.65744247127835,"CXCL14",7.63406126284187e-55,-4.86879042024257,"CXCL14",2.37603743559616e-25,-0.627155942379666
"9",-7.26093950549649,"CHST4",7.63406126284187e-55,-5.52977553850771,"CHST4",6.64137631030505e-23,-1.55112050270537
"10",7.39242811428817,"HOXA13",9.42673614701953e-55,6.07966284649837,"HOXA13",1.28145236547414e-23,1.16704590260885
"11",-7.14089951102316,"GDF2",5.08367231052956e-54,-6.12098846412901,"GDF2",1.22342758271358e-23,-0.82327804665911
"12",-3.15707272747704,"IGFBP3",2.2795729049485e-53,-2.46864335079283,"IGFBP3",4.43405514860186e-21,-0.594281805876781
"13",-3.49310722971861,"PTH1R",6.14404232901357e-53,-3.00117213350982,"PTH1R",1.91568421493035e-24,-0.382844676550623
"14",-3.18157350949439,"CFP",2.72260387624915e-52,-2.60980183735264,"CFP",1.03729390430913e-20,-0.473663170024842
"15",-6.6819236932507,"CLEC1B",3.09308496712369e-52,-5.93985902460689,"CLEC1B",9.04677407448671e-23,-0.550514191504308
"16",-3.54391632110802,"CXCL12",6.9839555842927e-52,-2.85737460172091,"CXCL12",3.79904077684129e-22,-0.581486283099547
"17",-7.71828106088485,"SFRP5",8.80048737738141e-52,-6.10379477446877,"SFRP5",6.704848062608e-23,-1.41833574405772
"18",-4.22533355036752,"AC004540.2",4.07404921522695e-51,-3.76721318109975,"AC004540.2",2.68971241751322e-22,-0.32753470661223
"19",-6.94731942466546,"RAB25",1.84205263368667e-50,-5.73046868028218,"RAB25",1.40860389252371e-22,-1.0311757961684
"20",-5.15060973120902,"PKP3",2.240740951723e-49,-3.31139592107939,"PKP3",2.38771976118999e-14,-1.72141845785936
"21",-6.82205538852855,"CLEC4M",5.64416234917046e-49,-6.40745688439353,"CLEC4M",1.04323850900193e-22,-0.209927150963109
"22",-5.92404550646894,"FCN2",6.33661876003494e-49,-5.71457840363023,"FCN2",5.90874282460373e-23,-0.0242380385082575
"23",-3.35519352108179,"LY6E",9.33229508809906e-49,-2.29751262672739,"LY6E",1.38007993408262e-15,-0.968335280974286
"24",-3.66742694444905,"NPY1R",1.25789532919114e-48,-2.99567489876056,"NPY1R",3.04632711780247e-19,-0.562815879378915
"25",-5.07804106606149,"CRHBP",1.87906522187916e-48,-4.06432753396137,"CRHBP",2.94625193012835e-18,-0.874790789815674
"26",-3.2402793465408,"LIFR",2.38736977695099e-48,-2.67286174306241,"LIFR",1.54354424887091e-20,-0.46753962960682
"27",-3.59756723080123,"VIPR1",7.98047594343193e-48,-3.77929324191394,"VIPR1",4.95040791308194e-26,0.312650642343682
"28",-4.83955283473242,"SMUG1P1",4.51204819456655e-47,-4.1105449251036,"SMUG1P1",2.5599988108325e-19,-0.588788299433141
"29",5.57243511778528,"ZIC2",7.40131779890057e-47,5.93918340541285,"ZIC2",3.70834778164093e-32,-0.508525775631355
"30",-2.45956690272824,"LCAT",2.58343369532398e-46,-2.06836202345612,"LCAT",2.7039555548172e-20,-0.308289271067065
"31",-2.98626183604144,"OLFML3",5.63608954301365e-46,-1.89414443561304,"OLFML3",8.76174550639796e-14,-1.01409036757696
"32",-4.18228334981492,"AC104809.2",5.63608954301365e-46,-2.91401546933083,"AC104809.2",4.60596396586894e-15,-1.16162309175035
"33",-3.12572424307572,"LTK",6.22451642999196e-46,-2.08642625604454,"LTK",8.56542377458945e-14,-0.955875493365782
"35",2.33732756186829,"UBE2T",3.36564994249456e-45,2.49118678768661,"UBE2T",8.9400662559443e-30,-0.198885338180651
"36",-4.75148904302766,"LINC01093",8.1299351666549e-45,-4.15890785291917,"LINC01093",1.06502649376325e-18,-0.451004507875051
"37",-6.1419100166788,"CDHR2",1.2091355858388e-44,-3.29438652205979,"CDHR2",3.03941481707629e-12,-2.73020542899848
"38",-3.77899248497049,"OIT3",2.35174006690471e-44,-3.35823876195269,"OIT3",4.24168834980522e-18,-0.301643952609723
"39",-2.90105532650835,"FBP1",6.29649966388203e-44,-2.30340590460676,"FBP1",2.53320499796313e-17,-0.508138442134824
"40",-4.96440227266717,"BICDL2",7.04122076258603e-44,-3.80538216143831,"BICDL2",4.62559373596774e-17,-1.02736342044771
"41",2.8156074108367,"NEK2",1.41900309052436e-43,3.13355918097179,"NEK2",5.50108225432257e-30,-0.381002961873926
"42",-4.79627762130994,"PROM1",1.86286106882699e-43,-4.19166084348362,"PROM1",5.78097239911136e-20,-0.462121041067946
"43",-2.96996824366479,"TCF21",2.03529912520448e-43,-2.44192988025052,"TCF21",9.42010637048607e-18,-0.434640377165549
"44",-4.04731732575934,"TRPV6",2.46262862217407e-43,-3.8645453431055,"TRPV6",2.42728980558154e-22,-0.0494551628620657
"46",-2.42320685644267,"TSPYL5",3.65782552531432e-43,-2.11226065411683,"TSPYL5",6.03306329851887e-19,-0.226798791025804
"48",-3.03535377553892,"BCO2",1.52914751370467e-42,-3.31355709994315,"BCO2",4.94235590238438e-26,0.396059319723566
"49",-3.38837873701361,"FCGR2B",2.50805457325691e-42,-1.87801957472913,"FCGR2B",8.31286804950658e-11,-1.43278459579119
"50",-5.66291853213253,"PRSS22",2.50805457325691e-42,-4.57358798170132,"PRSS22",1.85777019020037e-17,-0.936117872760714
"51",-4.29290753448071,"IGFALS",4.31079972747861e-42,-3.24330091358241,"IGFALS",3.09332469940482e-16,-0.933722026201221
"52",-3.16054224557427,"HGF",5.15033188211565e-42,-2.5817507642927,"HGF",2.4850685659907e-17,-0.481470097079111
"54",-2.56060007557348,"A2M",1.32380852151307e-41,-1.24292909506866,"A2M",6.07221022897498e-07,-1.25791716164453
"55",-2.10825535963771,"CD1D",2.10740663621094e-41,-2.07700189000114,"CD1D",3.11599259236336e-21,0.0519045747035125
"56",-2.07457714411667,"AQP3",2.0929873464825e-41,-1.34680881272434,"AQP3",1.14480471164634e-11,-0.665099629862852
"57",-4.97887673522583,"ANXA8L1",3.9781846516444e-41,-4.35735522935559,"ANXA8L1",2.21875866317142e-19,-0.474376356265356
