"","var.x","var.y","gene_name","values.x","values.y","row.x","row.y"
"1","logFC","logFC","AADAT",-3.19108318636062,-2.06684706437896,38,78
"2","logFC","logFC","AC004540.2",-4.4210873590585,-4.07367376042077,63,19
"3","logFC","logFC","AC010280.2",-4.32302911744586,-3.30805112775456,91,105
"4","logFC","logFC","AC019257.1",-3.41976569998138,-2.63509668308931,170,177
"5","logFC","logFC","AC020908.3",-3.26114144869149,-2.12131312358793,137,243
"6","logFC","logFC","AC079466.1",3.21215990459661,2.52739251169672,453,496
"7","logFC","logFC","AC087164.2",-3.17051330027701,-2.65977419791202,378,268
"8","logFC","logFC","AC092071.1",-4.24701328369083,-3.21962323578908,342,262
"9","logFC","logFC","AC092384.2",-4.40715155788679,-3.73279771282787,122,88
"10","logFC","logFC","AC104809.1",-5.17825505634427,-3.73287850691022,221,249
"11","logFC","logFC","AC104809.2",-3.34515914812189,-3.70754797502445,249,46
"12","logFC","logFC","AC105118.1",3.43138735360432,2.17932137915789,457,605
"13","logFC","logFC","AC115099.1",-2.46221582052343,-2.76018583673395,438,142
"14","logFC","logFC","AC129507.1",-2.04697851683752,-2.09878980117988,427,182
"15","logFC","logFC","AC132217.1",-2.62289563742627,-3.41146784297897,663,403
"16","logFC","logFC","AC136601.2",-2.80413070357399,-2.00494327896326,408,507
"17","logFC","logFC","ADAMTS13",-2.74833776587094,-2.60835946007596,11,1
"18","logFC","logFC","ADH4",-4.86744419544147,-2.64154066308997,109,451
"19","logFC","logFC","ADRA1A",-4.1608305342359,-2.90021550697641,88,104
"20","logFC","logFC","AFAP1-AS1",2.11904619363369,2.02180151290773,693,614
"21","logFC","logFC","AFM",-2.78433613359245,-2.22205268778768,217,219
"22","logFC","logFC","AKR1B10",4.33118199881506,4.0701897868487,554,445
"23","logFC","logFC","AKR1D1",-3.68038880340637,-2.3586435184541,136,267
"24","logFC","logFC","AKR7A3",-2.93147879616645,-2.25324474217773,202,208
"25","logFC","logFC","AL035661.1",-2.63501662619141,-3.23193386274296,452,116
"26","logFC","logFC","AL049555.1",-2.11314808445318,-3.21813519254352,638,174
"27","logFC","logFC","AL138826.1",-2.18123171890581,-2.02533680944184,675,613
"28","logFC","logFC","AL161645.1",-3.95532594287353,-2.51898180941277,173,278
"29","logFC","logFC","AL365181.3",3.29164611245457,2.22845713853343,519,573
"30","logFC","logFC","AL391001.1",-2.60498684284474,-2.16567759108302,315,231
"31","logFC","logFC","AL592182.2",-3.11418527229359,-2.5523413862606,472,454
"32","logFC","logFC","AL663070.1",-3.53939362605213,-3.62274538056167,410,159
"33","logFC","logFC","AL731684.1",2.86415754640745,3.02939132810715,543,334
"34","logFC","logFC","ALDOB",-2.51290096043548,-2.04133693418711,371,362
"35","logFC","logFC","ALG1L",3.73420049517426,2.94638943903055,176,205
"36","logFC","logFC","ANGPTL1",-2.76117669046915,-2.60451128578556,241,119
"37","logFC","logFC","ANGPTL6",-3.56723031269061,-2.63084547549341,8,8
"38","logFC","logFC","ANXA8",-2.45337182672734,-3.90486284549248,521,48
"39","logFC","logFC","ANXA8L1",-2.96569703368099,-4.75508040833783,514,44
"40","logFC","logFC","AP000525.1",3.06127834337531,2.68539423151755,498,444
"41","logFC","logFC","AP000851.2",-2.73670116481209,-2.20159034303895,665,618
"42","logFC","logFC","AP003168.2",-2.74996472153295,-2.56285876640804,337,186
"43","logFC","logFC","AP006285.2",-3.04035684635594,-2.0273695743504,464,567
"44","logFC","logFC","APLN",2.71719857125843,2.67424139854794,350,203
"45","logFC","logFC","APOA4",-2.51897321960086,-2.95894198008769,775,579
"46","logFC","logFC","APOA5",-2.6133242107057,-2.15264257472545,382,367
"47","logFC","logFC","APOF",-4.25407059421912,-3.2630032670278,119,143
"48","logFC","logFC","ASPG",-3.13515074583153,-3.68037269396614,355,144
"49","logFC","logFC","ASPM",3.55707695256347,2.81171989955919,54,66
"50","logFC","logFC","ASS1",-2.74694670723164,-2.06187402750175,85,130
"51","logFC","logFC","ATOH8",-2.88065772994133,-2.75147843498419,366,179
"52","logFC","logFC","AURKA",2.93137130464822,2.11522209544515,66,131
"53","logFC","logFC","AURKB",3.32702453414622,2.15089074372223,32,128
"54","logFC","logFC","AVPR1A",-3.99597267348704,-2.23537800227172,484,607
"55","logFC","logFC","B3GAT1",-2.66381286907498,-3.90841261750892,430,49
"56","logFC","logFC","B4GALNT1",2.50978809197,2.06503232773223,443,424
"57","logFC","logFC","BCO2",-4.14943336361333,-3.12958235129426,57,29
"58","logFC","logFC","BEX1",-2.71723598826206,-3.57425349422684,572,162
"59","logFC","logFC","BIRC5",3.4122413195857,2.39067154481597,40,107
"60","logFC","logFC","BMS1P8",2.8410603669587,2.76879026779198,486,347
"61","logFC","logFC","BUB1B",3.93998952483836,2.54813043868909,29,127
"62","logFC","logFC","C6orf141",-2.79477546668877,-3.40348257761336,385,81
"63","logFC","logFC","C7",-3.01160784206,-4.02172663098177,538,156
"64","logFC","logFC","C9",-4.39103332139876,-3.76940134126214,390,341
"65","logFC","logFC","CCL14",-3.04162199709715,-2.26937674827387,147,155
"66","logFC","logFC","CCNB1",3.4146158307377,2.39643236003544,22,70
"67","logFC","logFC","CCNB2",3.72228102225972,2.54723673381904,26,97
"68","logFC","logFC","CD1D",-2.28136866476833,-2.07723735210584,115,43
"69","logFC","logFC","CD5L",-4.47581700443664,-3.64530928974587,324,172
"70","logFC","logFC","CDC20",4.29599835715939,2.9527355771543,28,89
"71","logFC","logFC","CDCA5",3.71059880636337,2.47028143790289,16,84
"72","logFC","logFC","CDCA8",3.60585518313493,2.37547517293628,4,69
"73","logFC","logFC","CDHR2",-4.24698272959666,-5.15325110535948,243,59
"74","logFC","logFC","CDK1",3.54794208944353,2.33411223545422,23,106
"75","logFC","logFC","CDKN2A",2.05416768428105,2.03661684883186,489,266
"76","logFC","logFC","CDKN3",4.18486050009492,2.8019003020089,2,38
"77","logFC","logFC","CEACAM6",-2.08476257270915,-2.74887215756616,814,604
"78","logFC","logFC","CELSR3",2.56711297497844,2.62721719299377,232,96
"79","logFC","logFC","CENPF",4.04901130275707,2.88791027325838,13,37
"80","logFC","logFC","CETP",-3.27899238752056,-2.86103899940931,189,115
"81","logFC","logFC","CFP",-3.59719902929672,-2.97170926497097,49,18
"82","logFC","logFC","CFTR",-3.74198762763627,-5.71057984990337,460,52
"83","logFC","logFC","CH25H",-2.0384826589646,-2.5593687176278,696,467
"84","logFC","logFC","CHRNA4",-3.86286673928839,-3.0563844392473,654,626
"85","logFC","logFC","CHST4",-4.76803564926757,-6.62609800589622,228,6
"86","logFC","logFC","CLEC1B",-7.59941858626937,-6.37921389001109,55,11
"87","logFC","logFC","CLEC4G",-7.42714823764135,-6.47177760836176,34,3
"88","logFC","logFC","CLEC4M",-7.84851257086353,-6.64453666243256,58,17
"89","logFC","logFC","CLGN",3.04524391826405,2.07132526713379,605,631
"90","logFC","logFC","CLRN3",-4.83064782667272,-4.18295747186286,174,103
"91","logFC","logFC","CNDP1",-5.71805348368624,-3.52415456394278,184,289
"92","logFC","logFC","COL15A1",3.77122357116694,2.34616788039614,153,383
"93","logFC","logFC","COX6A2",-2.1480363725037,-2.33639524766702,706,564
"94","logFC","logFC","COX6B1P4",-4.06492616133331,-2.71792946261263,75,141
"95","logFC","logFC","CPLX2",4.96344589321915,5.75553296130836,536,210
"96","logFC","logFC","CRHBP",-5.56023634406315,-4.70864785896483,82,23
"97","logFC","logFC","CST1",2.12328595929734,2.1389564344419,778,627
"98","logFC","logFC","CXCL12",-2.60141480317674,-3.27470053265329,246,27
"99","logFC","logFC","CXCL14",-5.29829738201302,-5.35682000845995,73,5
"100","logFC","logFC","CXCL2",-2.6643704400461,-2.18695970182987,440,421
"101","logFC","logFC","CXCL6",-2.69017312785387,-4.05910174318753,659,216
"102","logFC","logFC","CXCR2P1",-2.21066580748739,-2.08277076200227,502,263
"103","logFC","logFC","CYP1A2",-7.20761004118021,-4.62136328707764,71,110
"104","logFC","logFC","CYP26A1",-5.97539578975086,-3.19069016976415,296,515
"105","logFC","logFC","CYP2A6",-4.47706744978265,-3.10933225115468,393,534
"106","logFC","logFC","CYP2A7",-5.34637429856866,-4.21128552396341,231,163
"107","logFC","logFC","CYP2B6",-4.83618537174294,-3.47442005593336,76,140
"108","logFC","logFC","CYP2B7P",-3.49122850892937,-2.99925590523233,491,472
"109","logFC","logFC","CYP2C8",-4.05130114774289,-3.16485680257684,167,196
"110","logFC","logFC","CYP2C9",-3.08562941313753,-2.27378248036221,209,277
"111","logFC","logFC","CYP2E1",-4.65026255413949,-2.78860628969497,325,560
"112","logFC","logFC","CYP39A1",-4.33528793127128,-2.86437597952612,60,86
"113","logFC","logFC","CYP3A4",-6.15407553688047,-3.46816533129606,150,506
"114","logFC","logFC","CYP4A22",-3.09579116209743,-2.09082876153029,188,346
"115","logFC","logFC","CYP8B1",-3.61525742495684,-2.42202470386324,409,550
"116","logFC","logFC","DBH",-3.81288117058054,-3.48852229693452,234,112
"117","logFC","logFC","DCAF4L2",3.54237229362701,3.78841605655615,695,570
"118","logFC","logFC","DCAF8L1",2.05935009471736,2.54182108244357,735,545
"119","logFC","logFC","DCN",-3.09937378499299,-3.77206240110471,523,194
"120","logFC","logFC","DEFA1",-2.37682382975477,-2.43027749906591,739,615
"121","logFC","logFC","DIRAS3",-3.82971726226146,-3.16270783117178,70,32
"122","logFC","logFC","DNASE1L3",-3.91871938051379,-2.94359488981238,59,63
"123","logFC","logFC","DPT",-3.75491904410474,-5.35289901385116,473,82
"124","logFC","logFC","DTX1",-2.10992480226669,-2.5457054395434,578,239
"125","logFC","logFC","DUSP9",3.89115819683985,3.16239047610523,233,222
"126","logFC","logFC","DUXAP10",2.98836561024067,2.67505559957538,288,193
"127","logFC","logFC","DUXAP9",2.46354666247311,2.28427300136146,394,237
"128","logFC","logFC","E2F1",3.68638191246375,2.08472381782864,50,234
"129","logFC","logFC","ECM1",-3.20396035485759,-3.08501195058417,21,2
"130","logFC","logFC","EGR1",-2.10350639066711,-2.11470862490258,505,315
"131","logFC","logFC","EME1",3.24231887839716,2.1180742796648,69,181
"132","logFC","logFC","EPO",-2.33421495208769,-3.35459622942034,703,360
"133","logFC","logFC","EPS8L3",5.17797804254331,2.5468744216632,258,603
"134","logFC","logFC","ESM1",3.95318286226254,3.27636740399244,162,167
"135","logFC","logFC","EXO1",4.13492169605367,2.62101596486615,7,93
"136","logFC","logFC","F9",-2.94952113105872,-2.1470816380352,302,410
"137","logFC","logFC","FAM163B",-3.34589677732106,-3.75604311035012,459,149
"138","logFC","logFC","FAM83A-AS1",-2.63772841868606,-2.72799125887927,707,596
"139","logFC","logFC","FAM83D",2.34876820554503,2.44606821046872,192,79
"140","logFC","logFC","FAM96AP2",2.97602472761104,2.30269569319826,426,480
"141","logFC","logFC","FAM99A",-3.7884227337295,-3.32085852876051,290,200
"142","logFC","logFC","FAM99B",-3.51845772301054,-2.85865945497274,435,389
"143","logFC","logFC","FAM9B",-2.59813040257519,-2.28988588334152,532,492
"144","logFC","logFC","FBP1",-2.62261220818149,-2.66716146718362,182,75
"145","logFC","logFC","FCGR2B",-2.45654204028323,-2.84522581361531,323,85
"146","logFC","logFC","FCN2",-7.45082025952597,-5.82500986098395,53,15
"147","logFC","logFC","FCN3",-5.87268022498081,-5.01892220414025,31,4
"148","logFC","logFC","FGF23",-2.04767800050504,-2.66199403475756,776,542
"149","logFC","logFC","FOS",-2.56043579246702,-2.18926946690439,433,376
"150","logFC","logFC","FOSB",-2.90820126680042,-2.61602619351155,576,518
"151","logFC","logFC","FOXM1",3.62392834375912,2.49697282242165,27,95
"152","logFC","logFC","FXYD1",-2.74629249197985,-2.04759132242339,365,432
"153","logFC","logFC","GBA3",-4.1328220730611,-2.80353712252484,120,165
"154","logFC","logFC","GCGR",-3.38821957997867,-3.29874677299926,493,317
"155","logFC","logFC","GCNT1P3",-2.80594568847205,-2.00433347690237,495,559
