"","DEGs.GENEID","DEGs.gene_name","DEGs.adj.P.Val","DEGs.logFC"
"1","ENSG00000160323.18","ADAMTS13",8.67708190145136e-130,-2.77227153305767
"2","ENSG00000182566.13","CLEC4G",3.54351180193439e-123,-6.88351161877728
"3","ENSG00000143369.14","ECM1",2.22441125442505e-122,-3.1485706632134
"4","ENSG00000142748.12","FCN3",9.74340089468841e-118,-5.36142900446877
"5","ENSG00000145824.12","CXCL14",7.25818384793664e-117,-5.47113782053555
"6","ENSG00000263761.2","GDF2",1.04612322771742e-115,-7.06550431822134
"7","ENSG00000130812.10","ANGPTL6",8.69533033108053e-115,-3.01501099500449
"8","ENSG00000165682.14","CLEC1B",1.96997390295162e-113,-7.00083514888712
"9","ENSG00000160801.13","PTH1R",6.71322427172706e-113,-3.46044695198514
"10","ENSG00000160339.15","FCN2",6.71322427172706e-113,-6.49983249212181
"11","ENSG00000104938.16","CLEC4M",6.10853871221974e-111,-7.25592857360906
"12","ENSG00000114812.12","VIPR1",9.00683350122915e-109,-3.74626451951545
"13","ENSG00000126759.13","CFP",9.64108720251315e-108,-3.21992620285301
"14","ENSG00000077152.10","UBE2T",1.92776681216504e-103,2.7509376147763
"15","ENSG00000225792.1","AC004540.2",5.02406461911898e-103,-4.34226165345882
"16","ENSG00000249173.5","LINC01093",8.16558237626498e-103,-5.05955374936148
"17","ENSG00000140835.9","CHST4",4.01394780409963e-102,-5.97980410405201
"18","ENSG00000145287.10","PLAC8",1.0233650439518e-101,-3.10471191064328
"19","ENSG00000164128.6","NPY1R",1.02550776421882e-101,-3.52154899393938
"20","ENSG00000145708.10","CRHBP",1.60437157737215e-101,-5.02044273198872
"21","ENSG00000162595.6","DIRAS3",5.68383198945478e-99,-3.41951875210598
"22","ENSG00000117650.12","NEK2",8.77870754180288e-98,3.20362808789508
"23","ENSG00000100526.19","CDKN3",1.24383096668227e-97,3.23587729830477
"24","ENSG00000120057.4","SFRP5",1.38301615394394e-97,-6.35692925906931
"25","ENSG00000197580.11","BCO2",1.4467906670279e-97,-3.39314621200317
"26","ENSG00000267444.1","SMUG1P1",1.61555803924946e-97,-4.88275000678108
"27","ENSG00000213398.7","LCAT",5.20526181416519e-97,-2.63363350798218
"28","ENSG00000138315.12","OIT3",3.263934551059e-96,-4.1190591019034
"29","ENSG00000117724.12","CENPF",7.86597619945311e-96,3.23209707683604
"30","ENSG00000172425.10","TTC36",1.39295682866597e-95,-4.50679263326747
"31","ENSG00000113594.9","LIFR",8.15605505515678e-95,-3.13181289159827
"32","ENSG00000158473.6","CD1D",9.91157856277437e-94,-2.19428644928265
"33","ENSG00000134690.10","CDCA8",2.93196001411029e-93,2.82455207559559
"34","ENSG00000112984.11","KIF20A",8.44895992261289e-93,3.48343594967662
"35","ENSG00000043355.11","ZIC2",1.78556200014471e-92,5.68730142742204
"36","ENSG00000123485.11","HJURP",2.35503376701026e-92,2.93631594707861
"37","ENSG00000099769.5","IGFALS",2.50818414744695e-92,-4.2337446975626
"38","ENSG00000163687.13","DNASE1L3",5.56097295666013e-92,-3.34308349398268
"39","ENSG00000198901.13","PRC1",3.00810043302458e-91,2.7444251648101
"40","ENSG00000175063.16","UBE2C",4.30172749944945e-91,3.29171172156509
"41","ENSG00000135451.12","TROAP",4.93624950812284e-91,3.11316616022127
"42","ENSG00000134057.14","CCNB1",8.32321161138463e-91,2.73793446589083
"43","ENSG00000176595.3","KBTBD11",2.16033953642343e-90,-3.55608581930786
"44","ENSG00000146670.9","CDCA5",3.11390397178313e-90,2.93904014396001
"45","ENSG00000109576.13","AADAT",1.14363942880994e-89,-2.4339659347314
"46","ENSG00000146233.7","CYP39A1",1.87686036081347e-89,-3.43433255615879
"47","ENSG00000233392.5","AC104809.2",3.25256940774801e-89,-3.77771915672419
"48","ENSG00000066279.17","ASPM",8.9292200316427e-89,3.04696556328841
"49","ENSG00000111206.12","FOXM1",1.23670304441984e-88,2.94185394152559
"50","ENSG00000174371.16","EXO1",1.82581407760784e-88,3.13118910381986
"51","ENSG00000117399.13","CDC20",2.80457901532503e-88,3.43169241012617
"52","ENSG00000161800.12","RACGAP1",4.59381915143876e-88,2.02352368337319
"53","ENSG00000109805.9","NCAPG",6.34319631696936e-88,3.05139706911595
"54","ENSG00000237649.7","KIFC1",8.53595296646261e-88,2.80846562245058
"55","ENSG00000072571.19","HMMR",5.97212051741023e-87,2.6605438315956
"56","ENSG00000157456.7","CCNB2",8.98847856102544e-87,2.96443990176967
"57","ENSG00000170312.15","CDK1",1.24590424019121e-86,2.73239216307815
"58","ENSG00000165125.19","TRPV6",3.43369081378416e-86,-3.72427885418289
"59","ENSG00000142945.12","KIF2C",6.92994479751999e-86,2.97911575308367
"60","ENSG00000146674.14","IGFBP3",2.23184340297878e-85,-2.72732065495038
"61","ENSG00000019169.10","MARCO",2.94116993166311e-85,-5.87279241819575
"62","ENSG00000019991.16","HGF",3.46377373076305e-85,-2.92763576663882
"63","ENSG00000259881.1","AC092384.2",1.22080062875952e-84,-4.10075680487576
"64","ENSG00000107562.16","CXCL12",2.05042299079654e-84,-3.08435235879798
"65","ENSG00000089685.14","BIRC5",2.73570924116862e-84,2.73515362042766
"66","ENSG00000109956.12","B3GAT1",3.60535863592736e-84,-3.67277129987523
"67","ENSG00000184956.15","MUC6",4.3040672295292e-84,-6.63918313538066
"68","ENSG00000164611.12","PTTG1",5.89523519434194e-84,2.68791915993598
"69","ENSG00000156970.12","BUB1B",8.48487764402367e-84,3.05229303217241
"70","ENSG00000123454.11","DBH",8.70271268161268e-84,-3.98692249610667
"71","ENSG00000118526.6","TCF21",1.23954148121632e-83,-2.66921873960913
"72","ENSG00000140505.6","CYP1A2",2.12731083307279e-83,-5.44834346300452
"73","ENSG00000120907.17","ADRA1A",3.2056362553042e-83,-3.31238884469953
"74","ENSG00000156006.4","NAT2",3.32102604046217e-83,-3.96768137123541
"75","ENSG00000186185.13","KIF18B",3.32102604046217e-83,2.77230706416216
