"","chr","start","end","TXNAME","GENEID","gene_name","length","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000160323.18","chr9",133414357,133459386,"ENST00000485925.5","ENSG00000160323.18","ADAMTS13",45029,-2.89206998360506,4.00336760722934,-35.3807255146635,1.36191812452299e-117,1.82279121786157e-113,258.14828442991
"ENSG00000143369.14","chr1",150508061,150513553,"ENST00000470432.5","ENSG00000143369.14","ECM1",5492,-3.2830633679678,3.74577859549496,-33.2594168478781,2.55390250103213e-110,1.7090715536907e-106,241.434296008258
"ENSG00000182566.13","chr19",7728956,7732171,"ENST00000328853.9","ENSG00000182566.13","CLEC4G",3215,-7.10699956537227,1.39250105220745,-33.0011834340696,2.07646152590491e-109,9.26378702090375e-106,239.053214712441
"ENSG00000142748.12","chr1",27369111,27374824,"ENST00000270879.8","ENSG00000142748.12","FCN3",5713,-5.61633067958525,3.63723355670609,-32.6135968040169,4.69937156810521e-108,1.572409726688e-104,236.192794874923
"ENSG00000130812.10","chr19",10092337,10096598,"ENST00000589181.5","ENSG00000130812.10","ANGPTL6",4261,-3.13831103765221,2.42531302158839,-31.1641242067974,5.90557096820562e-103,1.58080323676928e-99,224.467993992365
"ENSG00000165682.14","chr12",9985641,9997163,"ENST00000398937.6","ENSG00000165682.14","CLEC1B",11522,-7.26178665421114,0.130171369969002,-30.5856388479808,7.8303177250976e-101,1.74668287387844e-97,219.32227000494
"ENSG00000263761.2","chr10",47322489,47326270,"ENST00000581492.2","ENSG00000263761.2","GDF2",3781,-7.32637035048693,-0.830712264032009,-30.5302116005034,1.24251200641676e-100,2.23772859970076e-97,218.750171720932
"ENSG00000145824.12","chr5",135570678,135579064,"ENST00000512158.5","ENSG00000145824.12","CXCL14",8386,-5.6502775403174,1.91200134140187,-30.5213675400354,1.33755445289944e-100,2.23772859970076e-97,219.00296881965
"ENSG00000126759.13","chrX",47623171,47628742,"ENST00000640573.1","ENSG00000126759.13","CFP",5571,-3.42417735166906,2.99172015775167,-30.0552180150779,6.49427380199727e-99,9.65770672954794e-96,215.222744909517
"ENSG00000160339.15","chr9",134880811,134887520,"ENST00000291744.10","ENSG00000160339.15","FCN2",6709,-6.63145283560875,1.5140427095517,-29.6729918378428,1.64672172131857e-97,2.20397235181278e-94,211.868991733681
"ENSG00000160801.13","chr3",46877745,46903794,"ENST00000449590.5","ENSG00000160801.13","PTH1R",26049,-3.53340498809883,2.46247520870738,-29.3536629297636,2.41674460158155e-96,2.94051906796068e-93,209.30957672984
"ENSG00000225792.1","chr7",26372143,26376272,"ENST00000451368.1","ENSG00000225792.1","AC004540.2",4129,-4.54475056919271,-1.17636971361106,-29.2819732407617,4.17258403215982e-96,4.65382205720225e-93,208.300909423383
"ENSG00000104938.16","chr19",7763148,7769604,"ENST00000334806.9","ENSG00000104938.16","CLEC4M",6456,-7.48915505456721,1.31576676105272,-29.2700868542438,4.98641857347603e-96,5.13370970672332e-93,208.432385551006
"ENSG00000145287.10","chr4",83090047,83114802,"ENST00000311507.8","ENSG00000145287.10","PLAC8",24755,-3.32085145089435,1.81697276048753,-28.6808059652542,7.16349916942834e-94,6.8483052059735e-91,203.600547601018
"ENSG00000145708.10","chr5",76952712,76969474,"ENST00000274368.8","ENSG00000145708.10","CRHBP",16762,-5.34012583926347,3.13671263233137,-28.5262092210564,2.85179667523045e-93,2.54456311341896e-90,202.262506603698
"ENSG00000114812.12","chr3",42489298,42537567,"ENST00000433647.5","ENSG00000114812.12","VIPR1",48269,-3.71903406906411,2.79327412438441,-27.8268337060523,1.18568073179731e-90,9.9182193214845e-88,196.254104867746
"ENSG00000077152.10","chr1",202331656,202341936,"ENST00000646651.1","ENSG00000077152.10","UBE2T",10280,2.74244305989094,1.16154337131058,27.4961888521533,1.92408457144329e-89,1.46949502626725e-86,193.377274920893
"ENSG00000164128.6","chr4",163323960,163332862,"ENST00000296533.2","ENSG00000164128.6","NPY1R",8902,-3.67348102614914,1.83944582031481,-27.5022740838142,1.97630831386808e-89,1.46949502626725e-86,193.42965984161
"ENSG00000138315.12","chr10",72893580,72933033,"ENST00000334011.9","ENSG00000138315.12","OIT3",39453,-4.39318486596158,3.43017450184605,-27.3381323588741,8.2967136116392e-89,5.84437973569364e-86,192.017006270377
"ENSG00000249173.5","chr4",184893870,184898764,"ENST00000506479.5","ENSG00000249173.5","LINC01093",4894,-5.21303121273726,1.79868895969741,-27.2035249076671,2.6866252562024e-88,1.79788962145065e-85,190.814061408071
"ENSG00000213398.7","chr16",67939749,67944131,"ENST00000264005.9","ENSG00000213398.7","LCAT",4382,-2.73604835131074,5.40440493541778,-26.9670241805914,2.12812197150054e-87,1.35632306983634e-84,188.726063289229
"ENSG00000267444.1","chr18",49650349,49651160,"ENST00000590640.1","ENSG00000267444.1","SMUG1P1",811,-5.08883082349451,-2.35357976097731,-26.6852009830919,2.47005912401107e-86,1.50269415071655e-83,185.868805985602
"ENSG00000113594.9","chr5",38474962,38595404,"ENST00000263409.8","ENSG00000113594.9","LIFR",120442,-3.30215089510578,4.49195176384882,-26.5487700886653,8.40100594856733e-86,4.88865493980979e-83,185.076435783001
"ENSG00000140835.9","chr16",71525232,71538746,"ENST00000338482.5","ENSG00000140835.9","CHST4",13514,-6.12783877542836,-0.507324547970142,-26.4962481998615,1.33474638968887e-85,7.4434356998316e-83,184.465900680486
"ENSG00000163687.13","chr3",58192256,58210969,"ENST00000486455.5","ENSG00000163687.13","DNASE1L3",18713,-3.50704059624546,4.87252989251172,-26.0806991591262,5.25960960261003e-84,2.81578459685331e-81,180.940211162221
"ENSG00000117650.12","chr1",211658656,211675630,"ENST00000540251.5","ENSG00000117650.12","NEK2",16974,3.12700760390864,0.65865714495351,25.5547655723395,5.25547136215813e-82,2.70535495042786e-79,176.316004557144
"ENSG00000100526.19","chr14",54396848,54417951,"ENST00000555837.5","ENSG00000100526.19","CDKN3",21103,3.1537109838272,0.901747714407635,25.5312091626681,6.48564746637468e-82,3.21495946999847e-79,176.120889733084
"ENSG00000120057.4","chr10",97766750,97771952,"ENST00000266066.3","ENSG00000120057.4","SFRP5",5202,-6.56204167708723,-0.121981689648623,-25.413925971474,1.98744147170086e-81,9.49997023473012e-79,174.957931691536
"ENSG00000197580.11","chr11",112175466,112218929,"ENST00000357685.9","ENSG00000197580.11","BCO2",43463,-3.310733422612,4.34311970276956,-25.2378401420071,9.6024246221106e-81,4.43168452214925e-78,173.450159585004
"ENSG00000162595.6","chr1",68045895,68051631,"ENST00000370981.2","ENSG00000162595.6","DIRAS3",5736,-3.29400892292555,0.559232147603876,-25.0493330940234,4.94266256884708e-80,2.20508652738164e-77,171.812554003748
"ENSG00000172425.10","chr11",118527471,118531197,"ENST00000302783.8","ENSG00000172425.10","TTC36",3726,-4.44411987604806,3.10371465303487,-25.0350710795576,5.91388813931344e-80,2.52283430273652e-77,171.685696445713
"ENSG00000117724.12","chr1",214603194,214615190,"ENST00000464322.5","ENSG00000117724.12","CENPF",11996,3.14116767338853,2.51698468263135,25.0327660167909,6.03188117809091e-80,2.52283430273652e-77,171.671810591915
"ENSG00000099769.5","chr16",1790412,1793763,"ENST00000215539.3","ENSG00000099769.5","IGFALS",3351,-4.46787582314687,2.92831564129259,-25.0143508703705,7.12282655199768e-80,2.88884577490718e-77,171.504925066939
"ENSG00000233392.5","chr2",240954616,240967451,"ENST00000418218.5","ENSG00000233392.5","AC104809.2",12835,-4.01496143771918,0.565004170522084,-24.781239317874,5.76138761391008e-79,2.26795328895801e-76,169.363836781449
"ENSG00000074276.10","chr5",176542510,176595974,"ENST00000510636.5","ENSG00000074276.10","CDHR2",53464,-5.25275011217521,3.45281168849242,-24.6717560269373,1.55252807620704e-78,5.93686736341574e-76,168.4298391801
"ENSG00000134690.10","chr1",37692417,37709719,"ENST00000373055.5","ENSG00000134690.10","CDCA8",17302,2.77192952434532,0.926960835191591,24.6333189331988,2.05278004899936e-78,7.4768358279059e-76,168.108415365298
"ENSG00000123485.11","chr2",233833415,233840738,"ENST00000433484.2","ENSG00000123485.11","HJURP",7323,2.90874185454241,1.3338819243209,24.6329666397678,2.06696746587357e-78,7.4768358279059e-76,168.125673707916
"ENSG00000043355.11","chr13",99981771,99986773,"ENST00000376335.7","ENSG00000043355.11","ZIC2",5002,5.53370939449032,-1.62436085594772,24.5663592920563,4.01621104449832e-78,1.41455180577804e-75,167.239862526495
"ENSG00000107562.16","chr10",44370164,44385092,"ENST00000374429.6","ENSG00000107562.16","CXCL12",14928,-3.27027013048944,5.89144141169354,-24.5373146676696,5.21977142417642e-78,1.79131848054301e-75,167.147342941557
"ENSG00000112984.11","chr5",138178718,138182425,"ENST00000513276.5","ENSG00000112984.11","KIF20A",3707,3.39600253756816,0.997497699900734,24.4023854667455,1.73260952331224e-77,5.65591362439293e-75,166.000083444015
"ENSG00000158473.6","chr1",158179946,158184896,"ENST00000368171.3","ENSG00000158473.6","CD1D",4950,-2.16357597077772,2.8095736318874,-24.3048284292577,4.01008901820283e-77,1.2778817004673e-74,165.174625954006
"ENSG00000109576.13","chr4",170060221,170089967,"ENST00000337664.8","ENSG00000109576.13","AADAT",29746,-2.48350199588246,3.73572941165051,-24.2290649620599,8.47211859535196e-77,2.57706443818615e-74,164.385379272043
"ENSG00000198901.13","chr15",90966037,90994495,"ENST00000394249.7","ENSG00000198901.13","PRC1",28458,2.69418703107087,2.30962047245417,24.1493455631486,1.68117399777817e-76,5.00018506361399e-74,163.765398055307
"ENSG00000176595.3","chr8",1973877,2006936,"ENST00000320248.3","ENSG00000176595.3","KBTBD11",33059,-3.57395316644209,2.04609511960655,-23.9829081714411,7.89547021906994e-76,2.24836113642621e-73,162.223638112116
"ENSG00000116774.11","chr1",113979390,113982254,"ENST00000393300.6","ENSG00000116774.11","OLFML3",2864,-2.69947280882801,2.76505965617414,-23.8622980540068,2.33429351634914e-75,6.37595600465651e-73,161.1288021941
"ENSG00000146233.7","chr6",46549579,46652830,"ENST00000619708.4","ENSG00000146233.7","CYP39A1",103251,-3.44658711590079,3.79070171624814,-23.8321398431969,3.10697802312761e-75,8.316758772308e-73,160.805514118424
"ENSG00000134057.14","chr5",69167009,69178245,"ENST00000256442.9","ENSG00000134057.14","CCNB1",11236,2.65053299874682,2.33530642571263,23.8161360645059,3.47634720664499e-75,9.12302568896795e-73,160.745437945613
"ENSG00000135451.12","chr12",49323235,49324296,"ENST00000549275.5","ENSG00000135451.12","TROAP",1061,3.00186782129946,1.13201681228253,23.7896658195165,4.34796973511188e-75,1.11910051797572e-72,160.499574253227
"ENSG00000019991.16","chr7",81699007,81770047,"ENST00000644543.1","ENSG00000019991.16","HGF",71040,-3.06179281515952,3.78045076882491,-23.7891931390756,4.59178134095667e-75,1.15955474466725e-72,160.403666477207
"ENSG00000175063.16","chr20",45812575,45816953,"ENST00000405520.5","ENSG00000175063.16","UBE2C",4378,3.18341841510677,1.20935004234443,23.777508571655,5.00368279627765e-75,1.24017204713667e-72,160.370252045373
"ENSG00000166856.2","chr12",56994445,56998441,"ENST00000300098.2","ENSG00000166856.2","GPR182",3996,-4.03621605579109,-0.0371189066801049,-23.7704367909477,5.44619771049412e-75,1.3253074574046e-72,160.256722292431
"ENSG00000161800.12","chr12",49976922,49992358,"ENST00000548961.5","ENSG00000161800.12","RACGAP1",15436,2.0161452325914,2.65716196444875,23.7451660919751,6.4423031226766e-75,1.53971044631971e-72,160.126198555134
"ENSG00000062524.15","chr15",41503637,41513879,"ENST00000355166.9","ENSG00000062524.15","LTK",10242,-2.83697527523101,0.903978459556593,-23.7392190232933,6.80085790961898e-75,1.5968891624972e-72,160.057895427672
"ENSG00000019169.10","chr2",118942165,118994660,"ENST00000327097.4","ENSG00000019169.10","MARCO",52495,-6.15639525458264,2.63182035828086,-23.7145542585164,9.05702608153201e-75,2.08998684612456e-72,159.79304821939
"ENSG00000146674.14","chr7",45912244,45921272,"ENST00000381086.9","ENSG00000146674.14","IGFBP3",9028,-2.78594629543809,7.5187916974066,-23.6701575587143,1.35695267671966e-74,3.07821264834169e-72,159.332292271093
"ENSG00000111206.12","chr12",2857680,2864854,"ENST00000536066.1","ENSG00000111206.12","FOXM1",7174,2.89048311057001,2.15974907113285,23.6239453131611,2.03104441518956e-74,4.46590487099312e-72,158.988199344936
"ENSG00000146670.9","chr11",65066299,65079389,"ENST00000529290.5","ENSG00000146670.9","CDCA5",13090,2.83770514420467,1.13784175616871,23.6189276759983,2.03541689428108e-74,4.46590487099312e-72,158.96434138139
"ENSG00000174371.16","chr1",241847966,241850460,"ENST00000519225.5","ENSG00000174371.16","EXO1",2494,3.06889727327261,0.0677223995656964,23.5374589241008,4.27968712413589e-74,9.23860201119916e-72,158.163510162291
"ENSG00000123454.11","chr9",133635347,133659344,"ENST00000393056.7","ENSG00000123454.11","DBH",23997,-4.31099771830046,1.78485540693408,-23.2934484715125,4.22126939554364e-73,8.96785231586604e-71,155.965228654538
"ENSG00000117399.13","chr1",43358954,43363203,"ENST00000310955.10","ENSG00000117399.13","CDC20",4249,3.3146083211023,1.15579604309636,23.2354110799199,7.07930966019675e-73,1.48046063268865e-70,155.436850689786
"ENSG00000072571.19","chr5",163460202,163471463,"ENST00000520345.5","ENSG00000072571.19","HMMR",11261,2.62064808240895,1.50355477278674,23.2257656004944,7.41031205530658e-73,1.52584025458805e-70,155.402080492914
"ENSG00000118526.6","chr6",133889137,133895553,"ENST00000367882.4","ENSG00000118526.6","TCF21",6416,-2.77991322843609,0.23486348795962,-23.2101998701689,8.52095125278064e-73,1.7279456298063e-70,155.228060102911
"ENSG00000120907.17","chr8",26748149,26865405,"ENST00000380586.5","ENSG00000120907.17","ADRA1A",117256,-3.44405171524989,3.37736709153677,-23.1810787651793,1.17978038883511e-72,2.35674339166704e-70,154.88953103724
"ENSG00000066279.17","chr1",197084127,197146694,"ENST00000367409.8","ENSG00000066279.17","ASPM",62567,2.93712735212936,2.67224761500521,23.1641896821914,1.37698427634491e-72,2.7102290521471e-70,154.769125680922
"ENSG00000237649.7","chr6",33391535,33409924,"ENST00000428849.6","ENSG00000237649.7","KIFC1",18389,2.72883499427951,1.47149478734564,23.1504732900917,1.48514101022777e-72,2.88074308418673e-70,154.707472151969
"ENSG00000109805.9","chr4",17810901,17844862,"ENST00000251496.6","ENSG00000109805.9","NCAPG",33961,2.95229694893752,1.68112251345267,23.1469385336495,1.58339176332663e-72,3.02744505148051e-70,154.64667072809
"ENSG00000106031.8","chr7",27193502,27195600,"ENST00000518136.3","ENSG00000106031.8","HOXA13",2098,6.36442602164619,-1.55191575768856,22.980949013574,7.37756815954996e-72,1.37140794788079e-69,152.943515218425
"ENSG00000157456.7","chr15",59105077,59125045,"ENST00000288207.6","ENSG00000157456.7","CCNB2",19968,2.88276799643795,0.915929307971805,22.9420199569875,1.00182690518897e-71,1.83677415055468e-69,152.791365144074
"ENSG00000140505.6","chr15",74748843,74756202,"ENST00000343932.4","ENSG00000140505.6","CYP1A2",7359,-5.40385485954362,3.62525551440236,-22.861264125152,2.21160449625041e-71,4.00001548348859e-69,151.993005159795
"ENSG00000087237.11","chr16",56961849,56983845,"ENST00000200676.7","ENSG00000087237.11","CETP",21996,-3.19134437703982,2.89141227166571,-22.8483266926889,2.49044725085141e-71,4.38580868492044e-69,151.876484407666
"ENSG00000240935.6","chr2",106382170,106392864,"ENST00000465668.5","ENSG00000240935.6","PLGLA",10694,-3.37039994087065,1.43032338199448,-22.846434133812,2.53408844484249e-71,4.40470646048986e-69,151.88546383016
"ENSG00000130707.17","chr9",130444928,130501274,"ENST00000352480.9","ENSG00000130707.17","ASS1",56346,-2.43565405682091,9.2698298602155,-22.812829435447,3.33144561449432e-71,5.71641898774256e-69,151.602306871989
"ENSG00000112964.13","chr5",42423776,42721877,"ENST00000230882.8","ENSG00000112964.13","GHR",298101,-2.6066444189344,5.79669672469083,-22.7114030536375,8.75845422541392e-71,1.44719939941901e-68,150.513102895766
"ENSG00000142945.12","chr1",44739817,44757971,"ENST00000452259.5","ENSG00000142945.12","KIF2C",18154,2.87928680195588,0.991348626610572,22.7040884545045,8.92856554242326e-71,1.4573161124365e-68,150.613601644322
"ENSG00000170312.15","chr10",60778330,60791969,"ENST00000519078.6","ENSG00000170312.15","CDK1",13639,2.61506748657449,1.87231157295071,22.6809478815423,1.11356460084954e-70,1.7742795973536e-68,150.410569487178
"ENSG00000165140.10","chr9",94603132,94638413,"ENST00000648117.1","ENSG00000165140.10","FBP1",35281,-2.79858847031338,7.72043551516082,-22.6579260553137,1.43188613536297e-70,2.25463106302329e-68,150.104142093132
"ENSG00000160932.10","chr8",143017981,143022410,"ENST00000517503.1","ENSG00000160932.10","LY6E",4429,-2.98092680056346,6.15413989725949,-22.6518730030288,1.51383497474992e-70,2.35594968628522e-68,149.978324840171
"ENSG00000108381.10","chr17",3472373,3476395,"ENST00000577034.1","ENSG00000108381.10","ASPA",4022,-2.07576078471795,2.91053422101733,-22.5817830057108,2.76337610665873e-70,4.25115239212879e-68,149.460977651988
"ENSG00000072694.20","chr1",161663146,161678022,"ENST00000236937.13","ENSG00000072694.20","FCGR2B",14876,-2.96734176362799,3.42727213462035,-22.574798540527,3.07573185549761e-70,4.677908540225e-68,149.329877877202
"ENSG00000277013.1","chr19",33906351,33908391,"ENST00000610908.1","ENSG00000277013.1","AC008556.1",2040,-2.13007873509193,-1.07466699528102,-22.5148895685169,5.05249561085835e-70,7.59804508491327e-68,148.773700170233
"ENSG00000137804.12","chr15",41332693,41380747,"ENST00000558123.5","ENSG00000137804.12","NUSAP1",48054,2.12560807974022,3.18111006565013,22.470235522178,7.75566729897726e-70,1.15335390143902e-67,148.434470349186
"ENSG00000164611.12","chr5",160421821,160428744,"ENST00000352433.9","ENSG00000164611.12","PTTG1",6923,2.63364789612765,1.69444556281518,22.414086717216,1.2949665788581e-69,1.90459699905899e-67,147.966664945307
"ENSG00000165125.19","chr7",142871202,142885762,"ENST00000359396.7","ENSG00000165125.19","TRPV6",14560,-3.66206976910303,0.373311349218014,-22.4161397454971,1.31979549487147e-69,1.92001553297389e-67,147.927715137441
"ENSG00000089685.14","chr17",78214185,78225636,"ENST00000301633.8","ENSG00000089685.14","BIRC5",11451,2.66256861446033,1.80313453237949,22.3972845250843,1.52710056528187e-69,2.18890822753472e-67,147.802178149966
"ENSG00000248884.1","chr5",68430426,68434481,"ENST00000507733.1","ENSG00000248884.1","AC010280.2",4055,-3.74370567888822,-1.5389626274738,-22.3961608157018,1.53733841443712e-69,2.18890822753472e-67,147.655230398332
"ENSG00000180745.4","chr10",127877840,127892947,"ENST00000368671.3","ENSG00000180745.4","CLRN3",15107,-4.64997366539257,1.8075873568413,-22.397181206065,1.57829898558673e-69,2.22357406558872e-67,147.769284187743
"ENSG00000178999.12","chr17",8204732,8210582,"ENST00000316199.10","ENSG00000178999.12","AURKB",5850,2.56710211073445,0.661804455570809,22.3898559101668,1.59927444310189e-69,2.22965511942455e-67,147.728018004598
"ENSG00000243766.8","chr7",27198574,27201236,"ENST00000421733.1","ENSG00000243766.8","HOTTIP",2662,5.19568849959931,-2.95323268851796,22.3831602323211,1.795971459267e-69,2.47807031039479e-67,147.380041950305
"ENSG00000198417.6","chr16",56657693,56659303,"ENST00000334350.6","ENSG00000198417.6","MT1F",1610,-4.2358543679824,4.00668576111698,-22.3733463438781,1.96597130235448e-69,2.68495509292984e-67,147.481871827494
"ENSG00000259881.1","chr16",88881037,88883919,"ENST00000562405.1","ENSG00000259881.1","AC092384.2",2882,-4.02279905916922,-1.37183914680306,-22.3319535028465,2.84352655126109e-69,3.84421811738165e-67,147.068939644935
"ENSG00000156970.12","chr15",40161022,40176621,"ENST00000560120.5","ENSG00000156970.12","BUB1B",15599,2.96514816362399,1.01512628441664,22.2179961009442,7.98571335469635e-69,1.05822561920055e-66,146.148122143234
"ENSG00000109956.12","chr11",134378503,134387197,"ENST00000531778.1","ENSG00000109956.12","B3GAT1",8694,-3.66930351125363,1.50666398353259,-22.1613905191781,1.38878254326873e-68,1.82230054501065e-66,145.602920314506
"ENSG00000005187.11","chr16",20610242,20775920,"ENST00000568235.5","ENSG00000005187.11","ACSM3",165678,-2.27874587409546,5.32634822535745,-22.0234758152377,4.96423903194812e-68,6.45061895180521e-66,144.165016202529
"ENSG00000186185.13","chr17",44924708,44947637,"ENST00000587309.5","ENSG00000186185.13","KIF18B",22929,2.68018263543154,0.76762179090069,21.9806936665167,6.99824628450732e-68,8.92043126398534e-66,143.980293558196
"ENSG00000111665.11","chr12",6844792,6851269,"ENST00000422785.7","ENSG00000111665.11","CDCA3",6477,2.04824832603186,1.30948138520808,21.945784198814,9.66590767321057e-68,1.22045762545519e-65,143.669364370815
"ENSG00000087586.17","chr20",56369388,56392295,"ENST00000395914.5","ENSG00000087586.17","AURKA",22907,2.41928893317971,2.35834195665822,21.8754279574302,1.8941224420569e-67,2.36924623967192e-65,142.988122941966
"ENSG00000184956.15","chr11",1012820,1036706,"ENST00000421673.6","ENSG00000184956.15","MUC6",23886,-6.62977141267909,0.950395522657102,-21.870758992781,2.03760406752877e-67,2.52511970738935e-65,142.922818600101
"ENSG00000131747.14","chr17",40388515,40417950,"ENST00000423485.5","ENSG00000131747.14","TOP2A",29435,3.20864067728057,3.25956629877222,21.8369885874788,2.78500107688512e-67,3.38858676482095e-65,142.572707933974
"ENSG00000276409.4","chr17",35983290,35987004,"ENST00000614009.1","ENSG00000276409.4","CCL14",3714,-2.80653763101135,3.82160043943241,-21.8052191616253,3.73697669085146e-67,4.50591856129332e-65,142.213604093015
"ENSG00000125968.8","chr20",31605282,31606515,"ENST00000376112.3","ENSG00000125968.8","ID1",1233,-2.75243963920354,4.58819306013179,-21.6858411671479,1.12878506063633e-66,1.32523326768041e-64,141.070393454933
"ENSG00000105609.16","chr19",54249430,54257301,"ENST00000316219.9","ENSG00000105609.16","LILRB5",7871,-2.06407382207998,4.16361846299887,-21.6295605081375,1.90146980028523e-66,2.17515143649723e-64,140.5515151402
"ENSG00000159650.8","chr3",126481280,126517773,"ENST00000290868.6","ENSG00000159650.8","UROC1",36493,-4.02515951820158,4.80224115502665,-21.6171329825368,2.13358889890449e-66,2.41999608668963e-64,140.46679839969
"ENSG00000156006.4","chr8",18391244,18401218,"ENST00000286479.3","ENSG00000156006.4","NAT2",9974,-3.80632423498737,2.75631977158694,-21.596824828455,2.57549730627702e-66,2.87253799560096e-64,140.355957548753
"ENSG00000253813.1","chr8",26835816,26836300,"ENST00000519826.1","ENSG00000253813.1","COX6B1P4",484,-3.25336115200514,-2.55798659624131,-21.5008162070341,5.97094545247924e-66,6.44476886580501e-64,139.361219684107
"ENSG00000132698.14","chr1",156061159,156070514,"ENST00000361084.9","ENSG00000132698.14","RAB25",9355,-5.48765267228532,-1.48520477095133,-21.4831697990196,7.38901555469862e-66,7.84877652254653e-64,139.276216180542
"ENSG00000155666.11","chr16",27203494,27221768,"ENST00000286096.8","ENSG00000155666.11","KDM8",18274,-2.76051155950643,3.81144195653037,-21.4737124645079,8.06659060448669e-66,8.50104320082282e-64,139.150296276064
"ENSG00000008300.16","chr3",48636468,48662915,"ENST00000164024.4","ENSG00000008300.16","CELSR3",26447,2.73355000433626,1.70613214682328,21.4224508045316,1.27974319372413e-65,1.3381314769378e-63,138.802829716013
"ENSG00000183856.10","chr1",156525404,156572540,"ENST00000361170.6","ENSG00000183856.10","IQGAP3",47136,2.90730421559955,2.59977197439586,21.404142589685,1.53836256199611e-65,1.59608097129891e-63,138.59066389012
"ENSG00000163631.16","chr4",73397113,73409457,"ENST00000441319.5","ENSG00000163631.16","ALB",12344,-2.43794359064352,15.6359146305784,-21.3632322796338,2.14219413937465e-65,2.20547125856849e-63,138.162908806279
"ENSG00000166183.15","chr14",104085678,104115581,"ENST00000551177.5","ENSG00000166183.15","ASPG",29903,-4.17710177734593,4.12117981128318,-21.3199268468339,3.36217124078984e-65,3.40903787020691e-63,137.740600961472
"ENSG00000175336.9","chr12",56360568,56362823,"ENST00000398189.3","ENSG00000175336.9","APOF",2255,-3.77671569768374,5.56830834526279,-21.160854072243,1.47400246399149e-64,1.47224246104941e-62,136.219459306062
"ENSG00000064300.8","chr17",49495292,49515017,"ENST00000172229.7","ENSG00000064300.8","NGFR",19725,-2.67354242444666,2.9719677725822,-21.1480987213325,1.65956680661198e-64,1.64530682516258e-62,136.172778814838
"ENSG00000129214.14","chr17",7613945,7614109,"ENST00000624152.1","ENSG00000129214.14","SHBG",164,-2.98886333723659,3.87663413571678,-21.1386087867234,1.81263572046524e-64,1.78384680019902e-62,136.045317523287
"ENSG00000197408.9","chr19",40991249,41018398,"ENST00000643956.1","ENSG00000197408.9","CYP2B6",27149,-3.99932496038547,7.52523344120572,-21.1038211033858,2.50486930229685e-64,2.4470927548862e-62,135.755460767894
"ENSG00000168389.17","chr1",39955111,39969968,"ENST00000420632.6","ENSG00000168389.17","MFSD2A",14857,-3.80749790542773,4.58126347636448,-21.0422066663923,4.44281658741652e-64,4.30888820333208e-62,135.147511071079
"ENSG00000184292.6","chr1",58575422,58577773,"ENST00000371225.3","ENSG00000184292.6","TACSTD2",2351,-4.27768747008279,0.467346766025616,-21.0247970798297,5.22390764100025e-64,5.02998416310413e-62,135.111981161391
"ENSG00000116882.14","chr1",119368778,119386694,"ENST00000457318.5","ENSG00000116882.14","HAO2",17916,-3.73296644585437,5.05472897207967,-20.9924559266326,7.05792285973701e-64,6.69952053579575e-62,134.657941967645
"ENSG00000171345.13","chr17",41523616,41528308,"ENST00000361566.7","ENSG00000171345.13","KRT19",4692,-5.269236499132,-0.0732562926915073,-20.9872087099447,7.4110834596849e-64,6.98520711439597e-62,134.750626509927
"ENSG00000007062.11","chr4",15963075,15984303,"ENST00000503884.5","ENSG00000007062.11","PROM1",21228,-3.9539423310741,0.0645085485567325,-20.9779217760816,8.0800335503728e-64,7.56245937329997e-62,134.670157370413
"ENSG00000184363.9","chr11",392613,397198,"ENST00000534401.5","ENSG00000184363.9","PKP3",4585,-4.07819892126856,-1.56641115139807,-20.9025074410483,1.61622616496018e-63,1.49183248219497e-61,133.892468777176
"ENSG00000205312.8","chr17",16847634,16848413,"ENST00000579355.5","ENSG00000205312.8","KRT17P4",779,-3.54543771153893,-1.39215620833953,-20.7727892087664,5.33322419191542e-63,4.82296436382406e-61,132.730304072319
"ENSG00000105825.12","chr7",93885395,93890991,"ENST00000222543.10","ENSG00000105825.12","TFPI2",5596,-3.50929431306395,1.34971051451325,-20.7559863737448,6.38116788992781e-63,5.69370340258625e-61,132.619651228067
"ENSG00000117009.11","chr1",241532133,241592288,"ENST00000366558.7","ENSG00000117009.11","KMO",60155,-2.28053239071423,4.99422375133187,-20.7144563397907,9.39642509353028e-63,8.21972244783067e-61,132.028149825048
"ENSG00000101447.14","chr20",38926311,38953106,"ENST00000619304.4","ENSG00000101447.14","FAM83D",26795,2.3166874618806,2.08801550107261,20.7018207094464,1.02591073713723e-62,8.85857374570624e-61,132.130987598235
"ENSG00000115963.13","chr2",150468194,150487667,"ENST00000375734.6","ENSG00000115963.13","RND3",19473,-2.25969096465001,5.71383799158454,-20.6565172659438,1.61245943610112e-62,1.37459599317054e-60,131.493363246909
