"","chr","start","end","TXNAME","GENEID","gene_name","length","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000128285.4","chr22",40678749,40682814,"ENST00000249016.4","ENSG00000128285.4","MCHR1",4065,4.47015803044594,0.193111147167707,6.99357221805633,1.4291404996886e-11,1.91276164478322e-07,15.748779300431
"ENSG00000160767.20","chr1",155247204,155254960,"ENST00000350210.6","ENSG00000160767.20","FAM189B",7756,2.63509885732598,3.24299471101473,6.69591029914254,8.88180997222707e-11,5.94370723341435e-07,14.1123583121682
"ENSG00000261153.2","chr16",33808777,33810767,"ENST00000566387.2","ENSG00000261153.2","AC136428.3",1990,6.024506157727,-5.04208397631212,6.59321927292787,1.64600797565586e-10,7.34339024872601e-07,12.4676625957215
"ENSG00000198681.6","chrX",153179284,153183880,"ENST00000356661.6","ENSG00000198681.6","MAGEA1",4596,9.87340397048513,-2.82450117107504,6.08559559404548,3.13374902010791e-09,7.84458717015812e-06,10.3991428225274
"ENSG00000236263.1","chr1",155211150,155213819,"ENST00000455788.1","ENSG00000236263.1","AC234582.2",2669,4.32521406136459,-3.15233807162805,6.0648968206685,3.51670076366921e-09,7.84458717015812e-06,10.0095848065262
"ENSG00000183154.1","chr8",37734760,37737426,"ENST00000330539.1","ENSG00000183154.1","AC138356.1",2666,-3.88118388332333,-0.426412862249179,-6.03509948371941,4.1556893243432e-09,7.9456779881442e-06,9.56926576455893
"ENSG00000260518.2","chr16",33687024,33688081,"ENST00000567036.1","ENSG00000260518.2","BMS1P8",1057,5.46328381677996,0.268202104540628,5.9497157034412,6.6885074421074e-09,1.11898729506457e-05,9.97007586166276
"ENSG00000238102.1","chr20",7256579,7258214,"ENST00000428954.1","ENSG00000238102.1","AL080248.1",1635,-6.48761570710676,0.286650274973621,-5.68879713137234,2.76217997025631e-08,3.64079221729801e-05,7.75425861427252
"ENSG00000139800.8","chr13",99962963,99971909,"ENST00000267294.4","ENSG00000139800.8","ZIC5",8946,7.2564685530649,-2.83683646336498,5.62440790004321,3.89377535851953e-08,4.34285744986878e-05,7.92186269812212
"ENSG00000125459.15","chr1",155610204,155612316,"ENST00000488901.5","ENSG00000125459.15","MSTO1",2112,2.00918758163334,4.43980621041256,5.4862798007716,8.03294609403182e-08,7.67949646589442e-05,7.61697395604657
"ENSG00000111206.12","chr12",2857680,2864854,"ENST00000536066.1","ENSG00000111206.12","FOXM1",7174,4.21276955953753,2.15974907113285,5.4652974283066,8.96095676286726e-08,7.72693511120859e-05,7.54224045547913
"ENSG00000159176.13","chr1",201483529,201509456,"ENST00000367306.5","ENSG00000159176.13","CSRP1",25927,-2.74183146008261,6.28650926241854,-5.40456496612057,1.22541271905246e-07,9.111624350999e-05,7.23771243897474
