"","chr","start","end","TXNAME","GENEID","gene_name","length","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000077152.10","chr1",202331656,202341936,"ENST00000646651.1","ENSG00000077152.10","UBE2T",10280,3.26797620327375,1.16154337131058,17.8366205897428,1.08331627782967e-50,1.44991050624723e-46,104.45815276036
"ENSG00000100526.19","chr14",54396848,54417951,"ENST00000555837.5","ENSG00000100526.19","CDKN3",21103,3.91479494736745,0.901747714407635,17.4347099484025,4.43762615946102e-49,2.96965942591131e-45,100.754741514858
"ENSG00000175063.16","chr20",45812575,45816953,"ENST00000405520.5","ENSG00000175063.16","UBE2C",4378,4.15384610155242,1.20935004234443,17.1952043652552,4.09203535324251e-48,1.82559337225993e-44,98.6046576482635
"ENSG00000160323.18","chr9",133414357,133459386,"ENST00000485925.5","ENSG00000160323.18","ADAMTS13",45029,-2.81101787823324,4.00336760722934,-16.9777206481946,3.02979202402432e-47,1.01376841123854e-43,96.7346205345986
"ENSG00000123485.11","chr2",233833415,233840738,"ENST00000433484.2","ENSG00000123485.11","HJURP",7323,3.6738751610637,1.3338819243209,16.9161291039078,5.30597034345571e-47,1.42030214153622e-43,96.0829173970842
"ENSG00000134690.10","chr1",37692417,37709719,"ENST00000373055.5","ENSG00000134690.10","CDCA8",17302,3.37156942721425,0.926960835191591,16.6379066005345,6.87822754865467e-46,1.53430329185323e-42,93.5082980363614
"ENSG00000183856.10","chr1",156525404,156572540,"ENST00000361170.6","ENSG00000183856.10","IQGAP3",47136,4.06447880126309,2.59977197439586,16.6099794029234,9.13072429056168e-46,1.74579448435539e-42,93.3429153667763
"ENSG00000142945.12","chr1",44739817,44757971,"ENST00000452259.5","ENSG00000142945.12","KIF2C",18154,3.75334655863831,0.991348626610572,16.5582575042183,1.43123326065086e-45,2.39445324506888e-42,92.7928199785251
"ENSG00000237649.7","chr6",33391535,33409924,"ENST00000428849.6","ENSG00000237649.7","KIFC1",18389,3.50852267289902,1.47149478734564,16.5076741656323,2.27894958076022e-45,3.38905124321054e-42,92.3823704828685
"ENSG00000117650.12","chr1",211658656,211675630,"ENST00000540251.5","ENSG00000117650.12","NEK2",16974,3.67959871455809,0.65865714495351,16.4510367092447,3.83586113151728e-45,5.13391653842272e-42,91.8034368191846
"ENSG00000174371.16","chr1",241847966,241850460,"ENST00000519225.5","ENSG00000174371.16","EXO1",2494,3.8930014387447,0.0677223995656964,16.3804961525255,7.33472852114048e-45,8.9243642297222e-42,91.0644390934498
"ENSG00000005187.11","chr16",20610242,20775920,"ENST00000568235.5","ENSG00000005187.11","ACSM3",165678,-3.2596694020861,5.32634822535745,-16.3608099215735,9.03113294762742e-45,1.00727236142538e-41,91.0531288306929
"ENSG00000117724.12","chr1",214603194,214615190,"ENST00000464322.5","ENSG00000117724.12","CENPF",11996,3.85300467334649,2.51698468263135,16.3403645147523,1.08508686917632e-44,1.11713866592738e-41,90.8917375009125
"ENSG00000135451.12","chr12",49323235,49324296,"ENST00000549275.5","ENSG00000135451.12","TROAP",1061,3.70921603844745,1.13201681228253,16.3251839571907,1.2190931392625e-44,1.15813576114959e-41,90.6912164663263
"ENSG00000130812.10","chr19",10092337,10096598,"ENST00000589181.5","ENSG00000130812.10","ANGPTL6",4261,-3.50185535388716,2.42531302158839,-16.3183571316387,1.29797044360757e-44,1.15813576114959e-41,90.664747920113
"ENSG00000146670.9","chr11",65066299,65079389,"ENST00000529290.5","ENSG00000146670.9","CDCA5",13090,3.53962271270266,1.13784175616871,16.2831511094961,1.79332400448785e-44,1.50011552975409e-41,90.3079747469968
"ENSG00000143369.14","chr1",150508061,150513553,"ENST00000470432.5","ENSG00000143369.14","ECM1",5492,-3.18304311442634,3.74577859549496,-15.9275704684772,4.76817132494698e-43,3.75395323606414e-40,87.1382564684403
"ENSG00000186185.13","chr17",44924708,44947637,"ENST00000587309.5","ENSG00000186185.13","KIF18B",22929,3.48704987983176,0.76762179090069,15.8720784084294,7.76480639146954e-43,5.77356493019046e-40,86.5579218202175
"ENSG00000198901.13","chr15",90966037,90994495,"ENST00000394249.7","ENSG00000198901.13","PRC1",28458,3.26083061663164,2.30962047245417,15.8479948236061,9.7490242302834e-43,6.867417910427e-40,86.4276078717579
"ENSG00000111206.12","chr12",2857680,2864854,"ENST00000536066.1","ENSG00000111206.12","FOXM1",7174,3.59327758942723,2.15974907113285,15.8423702748078,1.03505497473622e-42,6.9265878909348e-40,86.3629559305235
"ENSG00000134057.14","chr5",69167009,69178245,"ENST00000256442.9","ENSG00000134057.14","CCNB1",11236,3.23171596725489,2.33530642571263,15.7510856695974,2.3668996859337e-42,1.50850406650175e-39,85.5500986813664
"ENSG00000112984.11","chr5",138178718,138182425,"ENST00000513276.5","ENSG00000112984.11","KIF20A",3707,4.01362054704611,0.997497699900734,15.7226361226269,3.08546613015361e-42,1.87708539481709e-39,85.2230548024909
"ENSG00000117399.13","chr1",43358954,43363203,"ENST00000310955.10","ENSG00000117399.13","CDC20",4249,4.11986935912376,1.15579604309636,15.6133279011788,8.39938288392135e-42,4.88771045732189e-39,84.2385316240069
"ENSG00000213398.7","chr16",67939749,67944131,"ENST00000264005.9","ENSG00000213398.7","LCAT",4382,-3.10419289121212,5.40440493541778,-15.6046981715668,9.15789197569907e-42,5.10705109178151e-39,84.1633565760197
"ENSG00000157456.7","chr15",59105077,59125045,"ENST00000288207.6","ENSG00000157456.7","CCNB2",19968,3.57378574898813,0.915929307971805,15.4906220355918,2.53157318196661e-41,1.35530301869764e-38,83.1369347424459
"ENSG00000142748.12","chr1",27369111,27374824,"ENST00000270879.8","ENSG00000142748.12","FCN3",5713,-6.07870582494178,3.63723355670609,-15.4808046162527,2.83391199999625e-41,1.45881070030576e-38,83.0742676323628
"ENSG00000170312.15","chr10",60778330,60791969,"ENST00000519078.6","ENSG00000170312.15","CDK1",13639,3.24832783472311,1.87231157295071,15.3689199210033,7.69539764371907e-41,3.8146371134643e-38,82.0884146324263
"ENSG00000178999.12","chr17",8204732,8210582,"ENST00000316199.10","ENSG00000178999.12","AURKB",5850,3.19696827625555,0.661804455570809,15.2982829473765,1.45934122818478e-40,6.73511137862935e-38,81.3720500355533
"ENSG00000164611.12","chr5",160421821,160428744,"ENST00000352433.9","ENSG00000164611.12","PTTG1",6923,3.2640198740969,1.69444556281518,15.193550081469,3.78555262470493e-40,1.68886121096836e-37,80.5002723946927
"ENSG00000138640.14","chr4",88725954,88823361,"ENST00000395002.6","ENSG00000138640.14","FAM13A",97407,-2.61499861222367,4.73788837116483,-15.1712678145753,4.70430314530452e-40,2.03104494505663e-37,80.2537412836084
