"","chr","start","end","TXNAME","GENEID","gene_name","length","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000043355.11","chr13",99981771,99986773,"ENST00000376335.7","ENSG00000043355.11","ZIC2",5002,6.54309142271879,-1.45922587199133,18.7477511643058,3.63350729782088e-51,4.52916684673373e-47,105.276107549886
"ENSG00000117650.12","chr1",211658656,211675630,"ENST00000540251.5","ENSG00000117650.12","NEK2",16974,3.59449927845048,0.779200361589742,18.2820722570809,1.64709235503685e-49,1.02655031027672e-45,101.801802009347
"ENSG00000100526.19","chr14",54396848,54417951,"ENST00000555837.5","ENSG00000100526.19","CDKN3",21103,3.53030274182381,0.98464439392906,17.6008581744875,4.76402564665801e-47,1.9794526561864e-43,96.240471828131
"ENSG00000112984.11","chr5",138178718,138182425,"ENST00000513276.5","ENSG00000112984.11","KIF20A",3707,3.86970328832924,1.12818669096684,17.5644435245953,6.51607121095698e-47,2.03057069111447e-43,95.946311846811
"ENSG00000160323.18","chr9",133414357,133459386,"ENST00000485925.5","ENSG00000160323.18","ADAMTS13",45029,-2.65573706539604,3.99296047097025,-17.5327658607134,8.4018920212942e-47,2.09459168090864e-43,95.7860011020885
"ENSG00000146670.9","chr11",65066299,65079389,"ENST00000529290.5","ENSG00000146670.9","CDCA5",13090,3.3687642077057,1.20919145672908,17.4178485408227,2.1895243319723e-46,4.54873679967245e-43,94.7478570183722
"ENSG00000077152.10","chr1",202331656,202341936,"ENST00000646651.1","ENSG00000077152.10","UBE2T",10280,2.8523110171308,1.25076125482604,17.3282391814474,4.62183383034691e-46,8.23016552789632e-43,94.0109131676749
"ENSG00000117724.12","chr1",214603194,214615190,"ENST00000464322.5","ENSG00000117724.12","CENPF",11996,3.65927632496049,2.63445371182282,17.2086520306791,1.29562479758797e-45,2.01874538774176e-42,93.0637674424667
"ENSG00000135451.12","chr12",49323235,49324296,"ENST00000549275.5","ENSG00000135451.12","TROAP",1061,3.50398348509276,1.23533838547584,17.0416781440832,5.04554981064214e-45,6.98808648773936e-42,91.6488213508187
"ENSG00000066279.17","chr1",197084127,197146694,"ENST00000367409.8","ENSG00000066279.17","ASPM",62567,3.58815713451693,2.79242703797338,16.8482702004247,2.61674238732139e-44,3.26176938579612e-41,90.0827700571846
"ENSG00000134057.14","chr5",69167009,69178245,"ENST00000256442.9","ENSG00000134057.14","CCNB1",11236,3.07654292637641,2.40312792060728,16.7459316787106,5.99669151890826e-44,6.79534179847195e-41,89.2565967659153
"ENSG00000117399.13","chr1",43358954,43363203,"ENST00000310955.10","ENSG00000117399.13","CDC20",4249,3.89083745088818,1.23936622267059,16.5560408931618,2.97899862946857e-43,3.09443482636047e-40,87.623119523771
