"","chr","start","end","TXNAME","GENEID","gene_name","length","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000160323.18","chr9",133414357,133459386,"ENST00000485925.5","ENSG00000160323.18","ADAMTS13",45029,-2.45589546319988,4.00336760722934,-17.0736773650634,5.75533819235446e-48,7.7029446366472e-44,98.3759919217859
"ENSG00000100526.19","chr14",54396848,54417951,"ENST00000555837.5","ENSG00000100526.19","CDKN3",21103,3.46905561072401,0.901747714407635,16.8960918685252,3.00406446996558e-47,2.01031994330097e-43,96.5939428422792
"ENSG00000043355.11","chr13",99981771,99986773,"ENST00000376335.7","ENSG00000043355.11","ZIC2",5002,6.12622327576059,-1.62436085594772,16.6952490072977,2.00799785402354e-46,8.95834775941703e-43,94.4447191527087
"ENSG00000077152.10","chr1",202331656,202341936,"ENST00000646651.1","ENSG00000077152.10","UBE2T",10280,2.7768310569158,1.16154337131058,16.6442412100097,3.1481127062826e-46,1.05335851152216e-42,94.2985428597171
"ENSG00000117650.12","chr1",211658656,211675630,"ENST00000540251.5","ENSG00000117650.12","NEK2",16974,3.41857148573564,0.65865714495351,16.6184336523008,4.00419749718011e-46,1.07184358604517e-42,94.0066577738088
"ENSG00000117724.12","chr1",214603194,214615190,"ENST00000464322.5","ENSG00000117724.12","CENPF",11996,3.4896019577977,2.51698468263135,16.4442400758228,2.07862237568212e-45,4.63671364602158e-42,92.525808356653
"ENSG00000135451.12","chr12",49323235,49324296,"ENST00000549275.5","ENSG00000135451.12","TROAP",1061,3.42450026258098,1.13201681228253,16.2499601909856,1.24154974881462e-44,2.37384311973355e-41,90.6625883402419
"ENSG00000146670.9","chr11",65066299,65079389,"ENST00000529290.5","ENSG00000146670.9","CDCA5",13090,3.22925235957814,1.13784175616871,16.1008839011257,4.93545533914346e-44,8.25701678238701e-41,89.3011393935054
"ENSG00000175063.16","chr20",45812575,45816953,"ENST00000405520.5","ENSG00000175063.16","UBE2C",4378,3.59267320772826,1.20935004234443,16.0480383676919,8.18628029215918e-44,1.21739083811398e-40,88.8214055784651
"ENSG00000143369.14","chr1",150508061,150513553,"ENST00000470432.5","ENSG00000143369.14","ECM1",5492,-2.8172330375855,3.74577859549496,-15.9690323449777,1.70686009443291e-43,2.28446155038901e-40,88.1522224872567
"ENSG00000134057.14","chr5",69167009,69178245,"ENST00000256442.9","ENSG00000134057.14","CCNB1",11236,2.98146374414787,2.33530642571263,15.9140451322596,2.82175521065354e-43,3.19309576589105e-40,87.6520047885326
"ENSG00000112984.11","chr5",138178718,138182425,"ENST00000513276.5","ENSG00000112984.11","KIF20A",3707,3.72189449027588,0.997497699900734,15.9130772536466,2.86290714216173e-43,3.19309576589105e-40,87.5654185219381
"ENSG00000117399.13","chr1",43358954,43363203,"ENST00000310955.10","ENSG00000117399.13","CDC20",4249,3.77789788348545,1.15579604309636,15.8556543241441,4.87899123655874e-43,4.66957523497922e-40,87.0465159932006
"ENSG00000134690.10","chr1",37692417,37709719,"ENST00000373055.5","ENSG00000134690.10","CDCA8",17302,2.97815281051171,0.926960835191591,15.8536720086825,4.88449292361843e-43,4.66957523497922e-40,87.021994457811
"ENSG00000170312.15","chr10",60778330,60791969,"ENST00000519078.6","ENSG00000170312.15","CDK1",13639,3.05266003718444,1.87231157295071,15.765445990284,1.11246853730483e-42,9.92618593552523e-40,86.2749071040604
"ENSG00000109805.9","chr4",17810901,17844862,"ENST00000251496.6","ENSG00000109805.9","NCAPG",33961,3.34550659583439,1.68112251345267,15.7349992960141,1.48736499359362e-42,1.24418081714106e-39,85.9804186714588
"ENSG00000066279.17","chr1",197084127,197146694,"ENST00000367409.8","ENSG00000066279.17","ASPM",62567,3.35932927168057,2.67224761500521,15.5738138056227,6.63884969483036e-42,5.22672731268292e-39,84.5251592935266
"ENSG00000142945.12","chr1",44739817,44757971,"ENST00000452259.5","ENSG00000142945.12","KIF2C",18154,3.2662562716403,0.991348626610572,15.4333821952881,2.38164154241261e-41,1.7708828002028e-38,83.1834095320161
"ENSG00000123485.11","chr2",233833415,233840738,"ENST00000433484.2","ENSG00000123485.11","HJURP",7323,3.02147884295825,1.3338819243209,15.4224721860102,2.62878576809308e-41,1.85177203790304e-38,83.1216310191289
"ENSG00000198901.13","chr15",90966037,90994495,"ENST00000394249.7","ENSG00000198901.13","PRC1",28458,2.88657817481166,2.30962047245417,15.4165642514379,2.79728443192303e-41,1.8719427418429e-38,83.0959848220642
"ENSG00000139800.8","chr13",99962963,99971909,"ENST00000267294.4","ENSG00000139800.8","ZIC5",8946,5.74217843637836,-2.83683646336498,15.3693132333048,4.36815424131253e-41,2.78397030312985e-38,82.1492995265287
"ENSG00000182566.13","chr19",7728956,7732171,"ENST00000328853.9","ENSG00000182566.13","CLEC4G",3215,-6.36469242010896,1.39250105220745,-15.3495401279225,5.24793318444925e-41,3.19265171548494e-38,82.3182572422604
"ENSG00000237649.7","chr6",33391535,33409924,"ENST00000428849.6","ENSG00000237649.7","KIFC1",18389,3.03220584554654,1.47149478734564,15.3016396389116,8.01590703790019e-41,4.66456086066331e-38,82.0231640153986
"ENSG00000174371.16","chr1",241847966,241850460,"ENST00000519225.5","ENSG00000174371.16","EXO1",2494,3.31209986727692,0.0677223995656964,15.2726372382484,1.04369134852904e-40,5.82031875363025e-38,81.6496978771585
"ENSG00000157456.7","chr15",59105077,59125045,"ENST00000288207.6","ENSG00000157456.7","CCNB2",19968,3.20135672676755,0.915929307971805,15.2319793045063,1.52045712078409e-40,8.13991924182968e-38,81.3556042241984
"ENSG00000111206.12","chr12",2857680,2864854,"ENST00000536066.1","ENSG00000111206.12","FOXM1",7174,3.10762185066491,2.15974907113285,15.1835942103297,2.40060066083312e-40,1.23575535556117e-37,80.9633253386096
"ENSG00000162595.6","chr1",68045895,68051631,"ENST00000370981.2","ENSG00000162595.6","DIRAS3",5736,-3.73999095875573,0.559232147603876,-15.171604603727,2.65645413502173e-40,1.31681415344929e-37,80.7112881047985
"ENSG00000197580.11","chr11",112175466,112218929,"ENST00000357685.9","ENSG00000197580.11","BCO2",43463,-3.6201721985834,4.34311970276956,-15.1030958000268,5.05617593494282e-40,2.41685209690267e-37,80.2048639966649
"ENSG00000142748.12","chr1",27369111,27374824,"ENST00000270879.8","ENSG00000142748.12","FCN3",5713,-4.76585180179967,3.63723355670609,-14.9944174931267,1.36983675561995e-39,6.32203280593705e-37,79.2398601801829
"ENSG00000186185.13","chr17",44924708,44947637,"ENST00000587309.5","ENSG00000186185.13","KIF18B",22929,3.03482921397379,0.76762179090069,14.920105653824,2.65512402017993e-39,1.18453932953627e-36,78.5214477397235
"ENSG00000114812.12","chr3",42489298,42537567,"ENST00000433647.5","ENSG00000114812.12","VIPR1",48269,-3.81668167238268,2.79327412438441,-14.8545637326382,4.9285286275468e-39,2.12785248874472e-36,77.9690056894459
