"","chr","start","end","TXNAME","GENEID","gene_name","length","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000077152.10","chr1",202331656,202341936,"ENST00000646651.1","ENSG00000077152.10","UBE2T",10280,3.539540326803,1.25076125482604,22.4780184940589,2.69472646214816e-64,3.35897653506768e-60,135.674581370153
"ENSG00000100526.19","chr14",54396848,54417951,"ENST00000555837.5","ENSG00000100526.19","CDKN3",21103,4.24943174888071,0.98464439392906,21.8740833378582,3.34713066060606e-62,2.08609918422273e-58,130.862309135655
"ENSG00000175063.16","chr20",45812575,45816953,"ENST00000405520.5","ENSG00000175063.16","UBE2C",4378,4.53207460276678,1.31806164059468,21.0097518836972,3.57732468933736e-59,1.48637840841967e-55,123.994395643871
"ENSG00000117650.12","chr1",211658656,211675630,"ENST00000540251.5","ENSG00000117650.12","NEK2",16974,3.95063318525783,0.779200361589742,20.9518360786344,5.65954276225193e-59,1.76365501328676e-55,123.497297136312
"ENSG00000123485.11","chr2",233833415,233840738,"ENST00000433484.2","ENSG00000123485.11","HJURP",7323,3.85555467179385,1.44597171683809,20.8632291800652,1.16075638173694e-58,2.8937656596702e-55,122.852790641726
"ENSG00000134690.10","chr1",37692417,37709719,"ENST00000373055.5","ENSG00000134690.10","CDCA8",17302,3.68105502385359,1.02439629513644,20.7518981304152,2.86507169300952e-58,5.95218644222728e-55,121.902283148993
"ENSG00000112984.11","chr5",138178718,138182425,"ENST00000513276.5","ENSG00000112984.11","KIF20A",3707,4.47155629742438,1.12818669096684,20.6198699804885,8.46096952961986e-58,1.4582264149837e-54,120.848420455796
"ENSG00000117724.12","chr1",214603194,214615190,"ENST00000464322.5","ENSG00000117724.12","CENPF",11996,4.18882107555465,2.63445371182282,20.6116577671661,9.35885384666634e-58,1.4582264149837e-54,120.856192777039
"ENSG00000135451.12","chr12",49323235,49324296,"ENST00000549275.5","ENSG00000135451.12","TROAP",1061,4.10766345847444,1.23533838547584,20.4703075463697,2.82948798121272e-57,3.91884085397962e-54,119.659055526908
"ENSG00000237649.7","chr6",33391535,33409924,"ENST00000428849.6","ENSG00000237649.7","KIFC1",18389,3.86342972880115,1.52173459111698,20.3750151752144,6.1509063735747e-57,7.66710479466087e-54,118.923665706489
"ENSG00000198901.13","chr15",90966037,90994495,"ENST00000394249.7","ENSG00000198901.13","PRC1",28458,3.59998848869714,2.37470668590255,20.3498723500606,7.55043294824955e-57,8.35571263731219e-54,118.774417636472
"ENSG00000174371.16","chr1",241847966,241850460,"ENST00000519225.5","ENSG00000174371.16","EXO1",2494,4.23239490278569,0.152124641144421,20.3421074755462,8.04400735240644e-57,8.35571263731219e-54,118.488674482161
