"","chr","start","end","TXNAME","GENEID","gene_name","length","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000077152.10","chr1",202331656,202341936,"ENST00000646651.1","ENSG00000077152.10","UBE2T",10280,3.40866993794386,1.16154337131058,20.8396959225687,5.28368656489729e-63,7.07168609845854e-59,132.644783131001
"ENSG00000100526.19","chr14",54396848,54417951,"ENST00000555837.5","ENSG00000100526.19","CDKN3",21103,4.18486050009492,0.901747714407635,20.7166106014279,1.64923126282154e-62,1.10366556108017e-58,131.478980935768
"ENSG00000175063.16","chr20",45812575,45816953,"ENST00000405520.5","ENSG00000175063.16","UBE2C",4378,4.43976231956864,1.20935004234443,20.2019937243996,1.97388078188043e-60,8.80614012822921e-57,126.785036517604
"ENSG00000134690.10","chr1",37692417,37709719,"ENST00000373055.5","ENSG00000134690.10","CDCA8",17302,3.60585518313493,0.926960835191591,19.8313633878683,6.04730895075584e-59,1.83945912246872e-55,123.36499131738
"ENSG00000237649.7","chr6",33391535,33409924,"ENST00000428849.6","ENSG00000237649.7","KIFC1",18389,3.82545072057041,1.47149478734564,19.8176679830642,6.87185864640136e-59,1.83945912246872e-55,123.299076254929
"ENSG00000123485.11","chr2",233833415,233840738,"ENST00000433484.2","ENSG00000123485.11","HJURP",7323,3.79769895079207,1.3338819243209,19.7734623744214,1.03549860115534e-58,2.30985221297719e-55,122.884407833834
"ENSG00000174371.16","chr1",241847966,241850460,"ENST00000519225.5","ENSG00000174371.16","EXO1",2494,4.13492169605367,0.0677223995656964,19.4858506150035,1.50002540895091e-57,2.86804858191415e-54,120.075445117539
"ENSG00000130812.10","chr19",10092337,10096598,"ENST00000589181.5","ENSG00000130812.10","ANGPTL6",4261,-3.56723031269061,2.42531302158839,-19.4569915833657,1.96227512133519e-57,3.01954977585859e-54,120.004213245655
"ENSG00000183856.10","chr1",156525404,156572540,"ENST00000361170.6","ENSG00000183856.10","IQGAP3",47136,4.19150416016326,2.59977197439586,19.4575263476097,2.03048027366462e-57,3.01954977585859e-54,120.008161908806
"ENSG00000135451.12","chr12",49323235,49324296,"ENST00000549275.5","ENSG00000135451.12","TROAP",1061,4.02516166274546,1.13201681228253,19.3921132611758,3.60037943974485e-57,4.8187478421545e-54,119.336755708713
"ENSG00000160323.18","chr9",133414357,133459386,"ENST00000485925.5","ENSG00000160323.18","ADAMTS13",45029,-2.74833776587094,4.00336760722934,-19.3369661827002,6.05305656117903e-57,7.36491900134728e-54,118.919750321494
"ENSG00000117650.12","chr1",211658656,211675630,"ENST00000540251.5","ENSG00000117650.12","NEK2",16974,3.8712136459042,0.65865714495351,19.2675856567488,1.14222063432002e-56,1.27395674747826e-53,118.16157170951
"ENSG00000117724.12","chr1",214603194,214615190,"ENST00000464322.5","ENSG00000117724.12","CENPF",11996,4.04901130275707,2.51698468263135,19.2521286733372,1.36397111800089e-56,1.40426072640953e-53,118.115719517288
"ENSG00000186185.13","chr17",44924708,44947637,"ENST00000587309.5","ENSG00000186185.13","KIF18B",22929,3.80149091002248,0.76762179090069,19.2010519157235,2.1212533660014e-56,2.02791821789734e-53,117.550558846253
"ENSG00000142945.12","chr1",44739817,44757971,"ENST00000452259.5","ENSG00000142945.12","KIF2C",18154,3.93508360942201,0.991348626610572,19.1276209042291,4.20202649570921e-56,3.74932817457147e-53,116.890153357006
"ENSG00000146670.9","chr11",65066299,65079389,"ENST00000529290.5","ENSG00000146670.9","CDCA5",13090,3.71059880636337,1.13784175616871,18.9199704543759,2.90214023071623e-55,2.42764030299413e-52,114.993155840713
