"","chr","start","end","TXNAME","GENEID","gene_name","length","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000077152.10","chr1",202331656,202341936,"ENST00000646651.1","ENSG00000077152.10","UBE2T",10280,3.40197279961527,1.16154337131058,20.8580472167976,3.9316725968756e-63,5.2621506036583e-59,132.912649729443
"ENSG00000100526.19","chr14",54396848,54417951,"ENST00000555837.5","ENSG00000100526.19","CDKN3",21103,4.17424335064995,0.901747714407636,20.7171131684261,1.4503144884619e-62,9.70550455678705e-59,131.579706141862
"ENSG00000175063.16","chr20",45812575,45816953,"ENST00000405520.5","ENSG00000175063.16","UBE2C",4378,4.44161214528635,1.20935004234444,20.3950434828693,2.92208099744945e-61,1.30363773566211e-57,128.657636401299
"ENSG00000237649.7","chr6",33391535,33409924,"ENST00000428849.6","ENSG00000237649.7","KIFC1",18389,3.82521007921314,1.47149478734565,20.0023610349638,1.10310535514062e-59,3.69099051830051e-56,125.097624749706
"ENSG00000134690.10","chr1",37692417,37709719,"ENST00000373055.5","ENSG00000134690.10","CDCA8",17302,3.59431993978085,0.926960835191592,19.8294490588182,5.50741377049642e-59,1.47422451808648e-55,123.435048363634
"ENSG00000123485.11","chr2",233833415,233840738,"ENST00000433484.2","ENSG00000123485.11","HJURP",7323,3.78184821060618,1.3338819243209,19.636582235236,3.31408336445726e-58,7.39261529164933e-55,121.713133803922
"ENSG00000135451.12","chr12",49323235,49324296,"ENST00000549275.5","ENSG00000135451.12","TROAP",1061,4.02536221659994,1.13201681228253,19.5714408834191,6.09256702612808e-58,1.16489881539569e-54,121.078736648834
"ENSG00000117650.12","chr1",211658656,211675630,"ENST00000540251.5","ENSG00000117650.12","NEK2",16974,3.86449959917533,0.658657144953512,19.4371683443726,2.12185231623134e-57,3.3862084489034e-54,119.809863509037
"ENSG00000174371.16","chr1",241847966,241850460,"ENST00000519225.5","ENSG00000174371.16","EXO1",2494,4.1225468619533,0.067722399565698,19.4295893331584,2.27703795876649e-57,3.3862084489034e-54,119.62940538106
"ENSG00000117724.12","chr1",214603194,214615190,"ENST00000464322.5","ENSG00000117724.12","CENPF",11996,4.04022038148504,2.51698468263136,19.2747785438015,9.93974083922619e-57,1.20939537629276e-53,118.424423757733
"ENSG00000186185.13","chr17",44924708,44947637,"ENST00000587309.5","ENSG00000186185.13","KIF18B",22929,3.79747339910251,0.767621790900691,19.2864454267316,8.63883301862069e-57,1.15622141121219e-53,118.419804493553
"ENSG00000142945.12","chr1",44739817,44757971,"ENST00000452259.5","ENSG00000142945.12","KIF2C",18154,3.92731427849999,0.991348626610575,19.2316451552358,1.43945200851735e-56,1.60546880683301e-53,117.932791464241
"ENSG00000112984.11","chr5",138178718,138182425,"ENST00000513276.5","ENSG00000112984.11","KIF20A",3707,4.38200817068091,0.997497699900735,19.0922108658176,5.39689505651442e-56,5.55631103356838e-53,116.639257075684
"ENSG00000183856.10","chr1",156525404,156572540,"ENST00000361170.6","ENSG00000183856.10","IQGAP3",47136,4.18275087683495,2.59977197439586,19.0636738506506,7.1396345181371e-56,6.82549059933906e-53,116.46291903588
"ENSG00000146670.9","chr11",65066299,65079389,"ENST00000529290.5","ENSG00000146670.9","CDCA5",13090,3.70487025390749,1.13784175616871,19.0133971943249,1.10036258909517e-55,9.8181685949665e-53,115.937701830487
"ENSG00000198901.13","chr15",90966037,90994495,"ENST00000394249.7","ENSG00000198901.13","PRC1",28458,3.49632918615785,2.30962047245417,18.9686660922629,1.68870520660675e-55,1.41260190532655e-52,115.60166230304
"ENSG00000160323.18","chr9",133414357,133459386,"ENST00000485925.5","ENSG00000160323.18","ADAMTS13",45029,-2.74751976296548,4.00336760722934,-18.8612979040348,4.58498329018692e-55,3.60973037387422e-52,114.620005568981
"ENSG00000130812.10","chr19",10092337,10096598,"ENST00000589181.5","ENSG00000130812.10","ANGPTL6",4261,-3.56220158999419,2.42531302158839,-18.7163037156724,1.7555860665294e-54,1.30537577302386e-51,113.232694711263
"ENSG00000170312.15","chr10",60778330,60791969,"ENST00000519078.6","ENSG00000170312.15","CDK1",13639,3.55372592508238,1.87231157295071,18.5772480501891,6.47444001091551e-54,4.56073184768912e-51,111.960959637193
"ENSG00000134057.14","chr5",69167009,69178245,"ENST00000256442.9","ENSG00000134057.14","CCNB1",11236,3.40913387192287,2.33530642571264,18.4848527837731,1.53847038404584e-53,1.02954438100348e-50,111.124116646549
"ENSG00000164611.12","chr5",160421821,160428744,"ENST00000352433.9","ENSG00000164611.12","PTTG1",6923,3.51133838313934,1.69444556281518,18.257741109572,1.2655936953211e-52,8.06605048484645e-50,108.995578903572
"ENSG00000157456.7","chr15",59105077,59125045,"ENST00000288207.6","ENSG00000157456.7","CCNB2",19968,3.71450022229462,0.915929307971806,18.109759753788,5.01891177143347e-52,3.04983707718317e-49,107.586406433277
"ENSG00000156970.12","chr15",40161022,40176621,"ENST00000560120.5","ENSG00000156970.12","BUB1B",15599,3.94049896358906,1.01512628441664,18.1061794649175,5.24105295690472e-52,3.04983707718317e-49,107.550677231067
"ENSG00000005187.11","chr16",20610242,20775920,"ENST00000568235.5","ENSG00000005187.11","ACSM3",165678,-3.20490983725699,5.32634822535745,-18.09987353267,5.69051528277492e-52,3.17341068936082e-49,107.504006514757
"ENSG00000117399.13","chr1",43358954,43363203,"ENST00000310955.10","ENSG00000117399.13","CDC20",4249,4.29108592071439,1.15579604309636,18.0717482519804,7.31529541660327e-52,3.91631655423273e-49,107.224731482726
"ENSG00000111206.12","chr12",2857680,2864854,"ENST00000536066.1","ENSG00000111206.12","FOXM1",7174,3.61717347883735,2.15974907113285,17.9918952418519,1.53607524161333e-51,7.90724270528954e-49,106.547382667465
"ENSG00000138640.14","chr4",88725954,88823361,"ENST00000395002.6","ENSG00000138640.14","FAM13A",97407,-2.79158653269161,4.73788837116483,-17.9471368812063,2.34032264970396e-51,1.16010660531992e-48,106.102036860356
"ENSG00000109805.9","chr4",17810901,17844862,"ENST00000251496.6","ENSG00000109805.9","NCAPG",33961,3.78847679405905,1.68112251345268,17.9360459802279,2.57677647341754e-51,1.21737886630568e-48,106.010931476998
"ENSG00000178999.12","chr17",8204732,8210582,"ENST00000316199.10","ENSG00000178999.12","AURKB",5850,3.3197634752432,0.661804455570811,17.9317547115975,2.63777548736288e-51,1.21737886630568e-48,105.899756153426
"ENSG00000143369.14","chr1",150508061,150513553,"ENST00000470432.5","ENSG00000143369.14","ECM1",5492,-3.19486267446393,3.74577859549496,-17.8269516906106,7.18492313226687e-51,3.20543370674199e-48,105.016862910988
"ENSG00000213398.7","chr16",67939749,67944131,"ENST00000264005.9","ENSG00000213398.7","LCAT",4382,-3.14707692173241,5.40440493541778,-17.8137096453292,8.18334143309666e-51,3.5330916690505e-48,104.846239454307
