"","chr","start","end","TXNAME","GENEID","gene_name","length","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000160323.18","chr9",133414357,133459386,"ENST00000485925.5","ENSG00000160323.18","ADAMTS13",45029,-2.89206934419901,4.00336760722934,-35.3807068157951,1.36211378074118e-117,1.82305308414399e-113,258.148141128671
"ENSG00000143369.14","chr1",150508061,150513553,"ENST00000470432.5","ENSG00000143369.14","ECM1",5492,-3.28306196983645,3.74577859549496,-33.2594137088173,2.55397023622911e-110,1.70911688208452e-106,241.434269560917
"ENSG00000182566.13","chr19",7728956,7732171,"ENST00000328853.9","ENSG00000182566.13","CLEC4G",3215,-7.10699875952885,1.39250105220745,-33.0011824065754,2.0764786659777e-109,9.26386348848183e-106,239.053206446097
"ENSG00000142748.12","chr1",27369111,27374824,"ENST00000270879.8","ENSG00000142748.12","FCN3",5713,-5.61632963645997,3.63723355670609,-32.6135945052457,4.69945881999911e-108,1.5724389211717e-104,236.192776395509
"ENSG00000130812.10","chr19",10092337,10096598,"ENST00000589181.5","ENSG00000130812.10","ANGPTL6",4261,-3.13830977265576,2.42531302158839,-31.1641336775903,5.90510798327203e-103,1.58067930496226e-99,224.468072081149
"ENSG00000165682.14","chr12",9985641,9997163,"ENST00000398937.6","ENSG00000165682.14","CLEC1B",11522,-7.26178572571186,0.130171369969003,-30.5856416361928,7.83013600241273e-101,1.74664233760487e-97,219.322292883991
"ENSG00000145824.12","chr5",135570678,135579064,"ENST00000512158.5","ENSG00000145824.12","CXCL14",8386,-5.65027653744182,1.91200134140187,-30.5213638315533,1.33759580779373e-100,2.23779778643891e-97,219.002938045683
"ENSG00000263761.2","chr10",47322489,47326270,"ENST00000581492.2","ENSG00000263761.2","GDF2",3781,-7.3263694523873,-0.830712264032008,-30.5302079583338,1.24254973102528e-100,2.23779778643891e-97,218.750141431873
"ENSG00000126759.13","chrX",47623171,47628742,"ENST00000640573.1","ENSG00000126759.13","CFP",5571,-3.4241763696819,2.99172015775167,-30.0552171397041,6.49431823272247e-99,9.65777280297305e-96,215.22273809266
"ENSG00000160339.15","chr9",134880811,134887520,"ENST00000291744.10","ENSG00000160339.15","FCN2",6709,-6.63145186262125,1.5140427095517,-29.672984643359,1.64682172924601e-97,2.20410620242286e-94,211.868931333825
"ENSG00000160801.13","chr3",46877745,46903794,"ENST00000449590.5","ENSG00000160801.13","PTH1R",26049,-3.53340413454862,2.46247520870738,-29.3536539447444,2.4169295757447e-96,2.94074413106973e-93,209.309500464172
"ENSG00000104938.16","chr19",7763148,7769604,"ENST00000334806.9","ENSG00000104938.16","CLEC4M",6456,-7.48915429835285,1.31576676105272,-29.270082122174,4.98661893846859e-96,5.13391599018951e-93,208.432345572826
"ENSG00000225792.1","chr7",26372143,26376272,"ENST00000451368.1","ENSG00000225792.1","AC004540.2",4129,-4.54474993756577,-1.17636971361105,-29.2819696918256,4.17270936802087e-96,4.65396184846594e-93,208.30087963358
