"","chr","start","end","TXNAME","GENEID","gene_name","length","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000160323.18","chr9",133414357,133459386,"ENST00000485925.5","ENSG00000160323.18","ADAMTS13",45029,-2.74601522682134,3.99296047097025,-30.4730611122173,2.84787033820117e-90,3.54987037656775e-86,195.498728649965
"ENSG00000143369.14","chr1",150508061,150513553,"ENST00000470432.5","ENSG00000143369.14","ECM1",5492,-3.24490022246596,3.67598628116247,-29.041615526206,7.64991740795081e-86,4.76781102450534e-82,185.32003157145
"ENSG00000182566.13","chr19",7728956,7732171,"ENST00000328853.9","ENSG00000182566.13","CLEC4G",3215,-6.88311287964193,1.31672886966139,-27.3287601595218,2.05324277552402e-80,8.5312237323023e-77,172.549526151074
"ENSG00000142748.12","chr1",27369111,27374824,"ENST00000270879.8","ENSG00000142748.12","FCN3",5713,-5.32123703639416,3.56875271908974,-26.9006875229847,4.87601125530026e-79,1.51948700743294e-75,169.678264024599
"ENSG00000145824.12","chr5",135570678,135579064,"ENST00000512158.5","ENSG00000145824.12","CXCL14",8386,-5.67058347869666,1.86742330267757,-26.2832742469216,4.89316941733791e-77,1.21986713574234e-73,164.967222574751
"ENSG00000043355.11","chr13",99981771,99986773,"ENST00000376335.7","ENSG00000043355.11","ZIC2",5002,6.05466850199022,-1.45922587199133,25.8889528408324,9.519432536666e-76,1.97766210949236e-72,161.750130391332
"ENSG00000243766.8","chr7",27198574,27201236,"ENST00000421733.1","ENSG00000243766.8","HOTTIP",2662,6.1911168098342,-2.81705540648224,25.7194394971518,3.36094088736255e-75,5.98487545156774e-72,160.225053698874
"ENSG00000130812.10","chr19",10092337,10096598,"ENST00000589181.5","ENSG00000130812.10","ANGPTL6",4261,-2.77285147970046,2.34791826079789,-25.4463303411706,2.4678735788053e-74,3.81461165387363e-71,158.884225523082
"ENSG00000160801.13","chr3",46877745,46903794,"ENST00000449590.5","ENSG00000160801.13","PTH1R",26049,-3.4916050758281,2.47618953548269,-25.4401119076111,2.75423224106399e-74,3.81461165387363e-71,158.769646286485
"ENSG00000140835.9","chr16",71525232,71538746,"ENST00000338482.5","ENSG00000140835.9","CHST4",13514,-6.93555115287947,-0.613435134363499,-25.4143640221503,3.47533357789896e-74,4.33200330485105e-71,158.082599858882
"ENSG00000263761.2","chr10",47322489,47326270,"ENST00000581492.2","ENSG00000263761.2","GDF2",3781,-7.22797991275739,-0.955462807045151,-24.880117612523,2.06046962013509e-72,2.17331593335771e-69,154.019294853576
"ENSG00000114812.12","chr3",42489298,42537567,"ENST00000433647.5","ENSG00000114812.12","VIPR1",48269,-3.84332371946019,2.7395007881357,-24.8781235035503,2.09224157242619e-72,2.17331593335771e-69,154.466451127735
"ENSG00000145287.10","chr4",83090047,83114802,"ENST00000311507.8","ENSG00000145287.10","PLAC8",24755,-3.31564676060883,1.77241676552739,-24.8057944671049,3.34935811766308e-72,3.21151914897464e-69,153.961854491446
"ENSG00000104938.16","chr19",7763148,7769604,"ENST00000334806.9","ENSG00000104938.16","CLEC4M",6456,-7.09341609912463,1.23762042940734,-24.3767438925722,9.95475079961103e-71,8.86328347979653e-68,150.433574433919
"ENSG00000117650.12","chr1",211658656,211675630,"ENST00000540251.5","ENSG00000117650.12","NEK2",16974,3.06178084554096,0.779200361589742,24.3294970347876,1.31019576046516e-70,1.08877267694655e-67,150.259953596405
"ENSG00000107562.16","chr10",44370164,44385092,"ENST00000374429.6","ENSG00000107562.16","CXCL12",14928,-3.44506088551142,5.82290884712488,-23.990248206155,1.99456324305075e-69,1.55388942653922e-66,147.576016618049
"ENSG00000165682.14","chr12",9985641,9997163,"ENST00000398937.6","ENSG00000165682.14","CLEC1B",11522,-6.7455111576431,0.116933617180394,-23.9784019541721,2.18709677868023e-69,1.60365654977936e-66,147.29812134981
