"","chr","start","end","TXNAME","GENEID","gene_name","length","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000160323.18","chr9",133414357,133459386,"ENST00000485925.5","ENSG00000160323.18","ADAMTS13",45029,-3.35036910341619,4.00336760722934,-14.4630239689817,2.80964295377276e-37,3.76042612932947e-33,73.9242310942267
"ENSG00000130812.10","chr19",10092337,10096598,"ENST00000589181.5","ENSG00000130812.10","ANGPTL6",4261,-3.29551973436963,2.42531302158839,-12.9766218424129,1.48969161304846e-31,9.96901627452031e-28,60.8588134728604
"ENSG00000143369.14","chr1",150508061,150513553,"ENST00000470432.5","ENSG00000143369.14","ECM1",5492,-3.35369237709097,3.74577859549496,-12.8753298360896,3.6413823017228e-31,1.6245420242086e-27,60.0433494016026
"ENSG00000225792.1","chr7",26372143,26376272,"ENST00000451368.1","ENSG00000225792.1","AC004540.2",4129,-5.47917504200116,-1.17636971361106,-12.7248766928598,1.33344224309177e-30,4.46169774538507e-27,57.908469605642
"ENSG00000077152.10","chr1",202331656,202341936,"ENST00000646651.1","ENSG00000077152.10","UBE2T",10280,2.78268835073479,1.16154337131058,12.2689017573946,6.7666261907672e-29,1.81129049874456e-25,54.7905666550704
"ENSG00000142748.12","chr1",27369111,27374824,"ENST00000270879.8","ENSG00000142748.12","FCN3",5713,-5.90035630169861,3.63723355670609,-12.1403839443382,2.05117176037521e-28,4.57548047347696e-25,53.7534055237094
"ENSG00000182566.13","chr19",7728956,7732171,"ENST00000328853.9","ENSG00000182566.13","CLEC4G",3215,-7.67456355566225,1.39250105220745,-12.1152805656681,2.54020181587416e-28,4.8568658719514e-25,53.2339057868974
"ENSG00000112984.11","chr5",138178718,138182425,"ENST00000513276.5","ENSG00000112984.11","KIF20A",3707,3.64919527524591,0.997497699900734,11.6063792862571,1.85791906285766e-26,3.10829859216086e-23,49.2862386341508
"ENSG00000109805.9","chr4",17810901,17844862,"ENST00000251496.6","ENSG00000109805.9","NCAPG",33961,3.34866749495229,1.68112251345267,11.5748875619716,2.41597285214628e-26,3.59282007256954e-23,49.0619185351126
"ENSG00000165682.14","chr12",9985641,9997163,"ENST00000398937.6","ENSG00000165682.14","CLEC1B",11522,-8.27130840179125,0.130171369969002,-11.5094587432782,4.19438534950691e-26,5.61376535178005e-23,48.0626230404985
"ENSG00000138315.12","chr10",72893580,72933033,"ENST00000334011.9","ENSG00000138315.12","OIT3",39453,-5.65330776077532,3.43017450184605,-11.4187286452353,8.9278376456253e-26,1.08627435499136e-22,47.7615101183788
"ENSG00000145824.12","chr5",135570678,135579064,"ENST00000512158.5","ENSG00000145824.12","CXCL14",8386,-6.20208791983473,1.91200134140187,-11.3400048964766,1.71594348743504e-25,1.91384896965254e-22,47.0150339105701
"ENSG00000111206.12","chr12",2857680,2864854,"ENST00000536066.1","ENSG00000111206.12","FOXM1",7174,3.12053391308396,2.15974907113285,11.1296592466276,9.70651246903355e-25,9.99322791427269e-22,45.4503468095478
"ENSG00000263761.2","chr10",47322489,47326270,"ENST00000581492.2","ENSG00000263761.2","GDF2",3781,-7.67122928107467,-0.830712264032009,-11.0749181676086,1.52621827090505e-24,1.45906466698523e-21,44.5786085665349
"ENSG00000104938.16","chr19",7763148,7769604,"ENST00000334806.9","ENSG00000104938.16","CLEC4M",6456,-8.21052753507857,1.31576676105272,-11.0655788331941,1.64767417309425e-24,1.47016474217956e-21,44.6762775547414
"ENSG00000146670.9","chr11",65066299,65079389,"ENST00000529290.5","ENSG00000146670.9","CDCA5",13090,2.94359773403827,1.13784175616871,11.0006139635118,2.78142490529915e-24,2.32666193328274e-21,44.3822971847745
"ENSG00000126759.13","chrX",47623171,47628742,"ENST00000640573.1","ENSG00000126759.13","CFP",5571,-3.45537013677006,2.99172015775167,-10.9497784126304,4.24228741152904e-24,3.33992792446498e-21,44.0000472718947
"ENSG00000160339.15","chr9",134880811,134887520,"ENST00000291744.10","ENSG00000160339.15","FCN2",6709,-7.19673220147956,1.5140427095517,-10.9325326622655,4.88894367832066e-24,3.63520123281354e-21,43.6883614559043
"ENSG00000160801.13","chr3",46877745,46903794,"ENST00000449590.5","ENSG00000160801.13","PTH1R",26049,-3.66673239243186,2.46247520870738,-10.9119812253899,5.77312849196995e-24,4.06671324929083e-21,43.6833680770687
"ENSG00000175063.16","chr20",45812575,45816953,"ENST00000405520.5","ENSG00000175063.16","UBE2C",4378,3.21822366934717,1.20935004234443,10.8914643022105,6.79580087663641e-24,4.54774994664509e-21,43.516288714529
"ENSG00000164611.12","chr5",160421821,160428744,"ENST00000352433.9","ENSG00000164611.12","PTTG1",6923,2.79942406126839,1.69444556281518,10.8768409733373,7.63582843361086e-24,4.73293623289888e-21,43.4184109716871
"ENSG00000213398.7","chr16",67939749,67944131,"ENST00000264005.9","ENSG00000213398.7","LCAT",4382,-2.58518219547213,5.40440493541778,-10.8754765765386,7.77978161414939e-24,4.73293623289888e-21,43.3137737200994
"ENSG00000134690.10","chr1",37692417,37709719,"ENST00000373055.5","ENSG00000134690.10","CDCA8",17302,2.71912357820825,0.926960835191591,10.7700572288721,1.81592539610544e-23,1.05671067397718e-20,42.5308827615646
"ENSG00000237649.7","chr6",33391535,33409924,"ENST00000428849.6","ENSG00000237649.7","KIFC1",18389,2.79709770977743,1.47149478734564,10.7150422264704,2.83352789854938e-23,1.58016405809104e-20,42.1253188988929
"ENSG00000130300.8","chr19",17351447,17377350,"ENST00000252590.8","ENSG00000130300.8","PLVAP",25903,2.87170791158995,4.50312993154642,10.7043986243661,3.11116754673669e-23,1.60525731061315e-20,41.9861137253609
"ENSG00000198901.13","chr15",90966037,90994495,"ENST00000394249.7","ENSG00000198901.13","PRC1",28458,2.64238988073589,2.30962047245417,10.7034485295402,3.11840182874641e-23,1.60525731061315e-20,42.039114838329
"ENSG00000072571.19","chr5",163460202,163471463,"ENST00000520345.5","ENSG00000072571.19","HMMR",11261,2.75061433977487,1.50355477278674,10.6664121587273,4.19504509349963e-23,2.07949939005182e-20,41.7429950793918
"ENSG00000142945.12","chr1",44739817,44757971,"ENST00000452259.5","ENSG00000142945.12","KIF2C",18154,3.02837663269745,0.991348626610572,10.6432256132067,5.05656249876123e-23,2.41703687440787e-20,41.5302462103661
"ENSG00000123485.11","chr2",233833415,233840738,"ENST00000433484.2","ENSG00000123485.11","HJURP",7323,2.86821162531702,1.3338819243209,10.5962712291666,7.37674451549572e-23,3.40449477915154e-20,41.1785199440572
"ENSG00000163687.13","chr3",58192256,58210969,"ENST00000486455.5","ENSG00000163687.13","DNASE1L3",18713,-3.4700156655745,4.87252989251172,-10.5895786377673,7.84090586754519e-23,3.49808947104083e-20,41.0601920952203
"ENSG00000100526.19","chr14",54396848,54417951,"ENST00000555837.5","ENSG00000100526.19","CDKN3",21103,2.92695473389029,0.901747714407635,10.5827782876919,8.22109661505499e-23,3.54939216438374e-20,41.057756022117
"ENSG00000174371.16","chr1",241847966,241850460,"ENST00000519225.5","ENSG00000174371.16","EXO1",2494,3.08951666943303,0.0677223995656964,10.5417247065344,1.14274551810534e-22,4.70026355783916e-20,40.6825116173757
"ENSG00000107562.16","chr10",44370164,44385092,"ENST00000374429.6","ENSG00000107562.16","CXCL12",14928,-3.27035098518466,5.89144141169354,-10.5408641948706,1.15891136736919e-22,4.70026355783916e-20,40.656588321627
"ENSG00000183856.10","chr1",156525404,156572540,"ENST00000361170.6","ENSG00000183856.10","IQGAP3",47136,3.0804097524881,2.59977197439586,10.4649257439298,2.12606980371167e-22,8.36921125084618e-20,40.1486983539795
"ENSG00000117399.13","chr1",43358954,43363203,"ENST00000310955.10","ENSG00000117399.13","CDC20",4249,3.36542793310811,1.15579604309636,10.4542369956242,2.31135392306121e-22,8.83861740178606e-20,40.0597495002007
"ENSG00000113594.9","chr5",38474962,38595404,"ENST00000263409.8","ENSG00000113594.9","LIFR",120442,-3.38889677319321,4.49195176384882,-10.4380105402943,2.63663411528466e-22,9.80241972193608e-20,39.8978829464019
"ENSG00000117724.12","chr1",214603194,214615190,"ENST00000464322.5","ENSG00000117724.12","CENPF",11996,3.04566172757601,2.51698468263135,10.428053363184,2.85141962342847e-22,1.03144324972883e-19,39.8623047500638
"ENSG00000135451.12","chr12",49323235,49324296,"ENST00000549275.5","ENSG00000135451.12","TROAP",1061,2.92538884732883,1.13201681228253,10.3759128784024,4.29336396290742e-22,1.51216798104087e-19,39.4481519207871
"ENSG00000248884.1","chr5",68430426,68434481,"ENST00000507733.1","ENSG00000248884.1","AC010280.2",4055,-4.32056862182871,-1.5389626274738,-10.3546416943667,5.0870179263245e-22,1.7457602032289e-19,38.9709722034768
"ENSG00000123454.11","chr9",133635347,133659344,"ENST00000393056.7","ENSG00000123454.11","DBH",23997,-6.30399320685624,1.78485540693408,-10.3404484593823,5.72891991450698e-22,1.91689660339404e-19,39.0296684361512
"ENSG00000267444.1","chr18",49650349,49651160,"ENST00000590640.1","ENSG00000267444.1","SMUG1P1",811,-5.07933539219689,-2.35357976097731,-10.3040574422781,7.62707168075445e-22,2.48977383841994e-19,38.4956219699017
"ENSG00000087586.17","chr20",56369388,56392295,"ENST00000395914.5","ENSG00000087586.17","AURKA",22907,2.585966255771,2.35834195665822,10.2857683383697,8.79978541213345e-22,2.80419828466653e-19,38.7537511922955
"ENSG00000162595.6","chr1",68045895,68051631,"ENST00000370981.2","ENSG00000162595.6","DIRAS3",5736,-3.54516408990755,0.559232147603876,-10.2763879622677,9.46976536225624e-22,2.94751952577762e-19,38.6090892988594
"ENSG00000170312.15","chr10",60778330,60791969,"ENST00000519078.6","ENSG00000170312.15","CDK1",13639,2.62386002124856,1.87231157295071,10.2204126451623,1.47263122189358e-21,4.4022669938364e-19,38.2545614557821
"ENSG00000186185.13","chr17",44924708,44947637,"ENST00000587309.5","ENSG00000186185.13","KIF18B",22929,2.83195048658083,0.76762179090069,10.2196625419819,1.48014057623011e-21,4.4022669938364e-19,38.2188491450763
