"","chr","start","end","TXNAME","GENEID","gene_name","length","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000160323.18","chr9",133414357,133459386,"ENST00000485925.5","ENSG00000160323.18","ADAMTS13",45029,-2.38950644610496,4.00336760722934,-14.2229102474969,2.42497983523796e-36,3.24559301148249e-32,71.8218026545471
"ENSG00000043355.11","chr13",99981771,99986773,"ENST00000376335.7","ENSG00000043355.11","ZIC2",5002,5.93918331583678,-1.62436085594772,14.1321036762717,5.54122548801878e-36,3.70818809658217e-32,70.7323316806778
"ENSG00000117724.12","chr1",214603194,214615190,"ENST00000464322.5","ENSG00000117724.12","CENPF",11996,3.22333783937213,2.51698468263135,13.6241748528243,5.07706441975848e-34,2.26504767313492e-30,66.5478648006963
"ENSG00000100526.19","chr14",54396848,54417951,"ENST00000555837.5","ENSG00000100526.19","CDKN3",21103,3.05201857611562,0.901747714407635,13.5180702696624,1.28068520570266e-33,4.28517269828111e-30,65.5814911592083
"ENSG00000117650.12","chr1",211658656,211675630,"ENST00000540251.5","ENSG00000117650.12","NEK2",16974,3.13355911091608,0.65865714495351,13.4645346886753,2.05503661757672e-33,5.50092201792936e-30,65.0924703234073
"ENSG00000077152.10","chr1",202331656,202341936,"ENST00000646651.1","ENSG00000077152.10","UBE2T",10280,2.49118650679859,1.16154337131058,13.3888156486041,4.00763953823727e-33,8.93970792996127e-30,64.4699302932637
"ENSG00000146670.9","chr11",65066299,65079389,"ENST00000529290.5","ENSG00000146670.9","CDCA5",13090,2.92680904398269,1.13784175616871,13.2779836935238,1.06312710367346e-32,2.03269902222365e-29,63.5051855659559
"ENSG00000117399.13","chr1",43358954,43363203,"ENST00000310955.10","ENSG00000117399.13","CDC20",4249,3.49899227756255,1.15579604309636,13.228246409922,1.66223835714813e-32,2.78092477150882e-29,63.0718060967525
"ENSG00000135451.12","chr12",49323235,49324296,"ENST00000549275.5","ENSG00000135451.12","TROAP",1061,3.02011980531218,1.13201681228253,13.0643015008211,6.92448163998635e-32,1.02974735855086e-28,61.6587909100207
"ENSG00000143369.14","chr1",150508061,150513553,"ENST00000470432.5","ENSG00000143369.14","ECM1",5492,-2.66244683464155,3.74577859549496,-12.9729795346784,1.55500552603158e-31,2.08121939604066e-28,60.8604722364694
"ENSG00000066279.17","chr1",197084127,197146694,"ENST00000367409.8","ENSG00000066279.17","ASPM",62567,3.18180875931983,2.67224761500521,12.9596644176191,1.75126878125973e-31,2.13081648803457e-28,60.7634882345663
"ENSG00000134057.14","chr5",69167009,69178245,"ENST00000256442.9","ENSG00000134057.14","CCNB1",11236,2.67523814782082,2.33530642571263,12.935923066145,2.1341506896302e-31,2.38028940250088e-28,60.5733518891203
"ENSG00000175063.16","chr20",45812575,45816953,"ENST00000405520.5","ENSG00000175063.16","UBE2C",4378,3.10533160072669,1.20935004234443,12.9157355681073,2.54559244241993e-31,2.62078532687295e-28,60.3869921953077
"ENSG00000139800.8","chr13",99962963,99971909,"ENST00000267294.4","ENSG00000139800.8","ZIC5",8946,5.51279332278476,-2.83683646336498,12.8941217406822,3.09500645285814e-31,2.95882616893238e-28,59.8423027366902
"ENSG00000134690.10","chr1",37692417,37709719,"ENST00000373055.5","ENSG00000134690.10","CDCA8",17302,2.61307718070809,0.926960835191591,12.7616607634428,9.6751368937063e-31,8.632802145691e-28,59.054335679433
"ENSG00000123485.11","chr2",233833415,233840738,"ENST00000433484.2","ENSG00000123485.11","HJURP",7323,2.74712191279821,1.3338819243209,12.6613028823541,2.30907751915623e-30,1.93154334477418e-27,58.214441193512
"ENSG00000111206.12","chr12",2857680,2864854,"ENST00000536066.1","ENSG00000111206.12","FOXM1",7174,2.88225906624978,2.15974907113285,12.634222565894,2.94225186243901e-30,2.31641758393434e-27,57.9818009824445
"ENSG00000109805.9","chr4",17810901,17844862,"ENST00000251496.6","ENSG00000109805.9","NCAPG",33961,2.95151173572155,1.68112251345267,12.6194947178086,3.33435946682003e-30,2.47928150577329e-27,57.8573451453051
"ENSG00000112984.11","chr5",138178718,138182425,"ENST00000513276.5","ENSG00000112984.11","KIF20A",3707,3.25293353041192,0.997497699900734,12.5673285953367,5.23813346204979e-30,3.68985148716181e-27,57.3970316903984
"ENSG00000142945.12","chr1",44739817,44757971,"ENST00000452259.5","ENSG00000142945.12","KIF2C",18154,2.89906673987848,0.991348626610572,12.5350665840853,6.87319609350921e-30,4.59954282577636e-27,57.1236625600584
"ENSG00000170312.15","chr10",60778330,60791969,"ENST00000519078.6","ENSG00000170312.15","CDK1",13639,2.68761664534375,1.87231157295071,12.5070800502796,8.76288872283333e-30,5.58488107935244e-27,56.9043539966962
"ENSG00000157456.7","chr15",59105077,59125045,"ENST00000288207.6","ENSG00000157456.7","CCNB2",19968,2.91106257490924,0.915929307971805,12.3565192922536,3.19360756256682e-29,1.94287470988156e-26,55.6114620377221
"ENSG00000142748.12","chr1",27369111,27374824,"ENST00000270879.8","ENSG00000142748.12","FCN3",5713,-4.68361609648898,3.63723355670609,-12.2920292164134,5.61654881050731e-29,3.13216205332625e-26,55.068965200257
"ENSG00000198901.13","chr15",90966037,90994495,"ENST00000394249.7","ENSG00000198901.13","PRC1",28458,2.53887904384316,2.30962047245417,12.250282694499,7.96181560711129e-29,4.2624376034231e-26,54.7204125640426
"ENSG00000197580.11","chr11",112175466,112218929,"ENST00000357685.9","ENSG00000197580.11","BCO2",43463,-3.31355730004228,4.34311970276956,-12.225130343515,9.95305890661357e-29,4.94242349498044e-26,54.4365283356783
"ENSG00000174371.16","chr1",241847966,241850460,"ENST00000519225.5","ENSG00000174371.16","EXO1",2494,2.93595483964407,0.0677223995656964,12.2230164595908,1.00184507807896e-28,4.94242349498044e-26,54.4459306294092
"ENSG00000182566.13","chr19",7728956,7732171,"ENST00000328853.9","ENSG00000182566.13","CLEC4G",3215,-5.90911981354812,1.39250105220745,-12.2206683314692,1.03397981066536e-28,4.94242349498044e-26,54.4016201579385
"ENSG00000114812.12","chr3",42489298,42537567,"ENST00000433647.5","ENSG00000114812.12","VIPR1",48269,-3.77929336983947,2.79327412438441,-12.2163708368194,1.0726424558328e-28,4.95042987202285e-26,54.4320392656735
"ENSG00000162595.6","chr1",68045895,68051631,"ENST00000370981.2","ENSG00000162595.6","DIRAS3",5736,-3.46845405524898,0.559232147603876,-12.0699092989435,3.70586317422078e-28,1.59997653947648e-25,53.1412255487159
"ENSG00000145824.12","chr5",135570678,135579064,"ENST00000512158.5","ENSG00000145824.12","CXCL14",8386,-4.86879075787416,1.91200134140187,-12.0206111390018,5.68089880864151e-28,2.37603592671431e-25,52.776660783778
"ENSG00000089685.14","chr17",78214185,78225636,"ENST00000301633.8","ENSG00000089685.14","BIRC5",11451,2.68128692857452,1.80313453237949,11.9632198164716,9.17238024796252e-28,3.72009506784032e-25,52.3142231309523
"ENSG00000237649.7","chr6",33391535,33409924,"ENST00000428849.6","ENSG00000237649.7","KIFC1",18389,2.59492995629347,1.47149478734564,11.9269892677613,1.24284467680274e-27,4.8924215159788e-25,52.0146640867646
"ENSG00000160801.13","chr3",46877745,46903794,"ENST00000449590.5","ENSG00000160801.13","PTH1R",26049,-3.00117214522459,2.46247520870738,-11.762898173259,5.00962695378239e-27,1.91568134712638e-24,50.6354819398144
"ENSG00000243766.8","chr7",27198574,27201236,"ENST00000421733.1","ENSG00000243766.8","HOTTIP",2662,4.94458001835268,-2.95323268851796,11.6843829946199,9.69172701669518e-27,3.60316873309579e-24,49.7670821604424
"ENSG00000156970.12","chr15",40161022,40176621,"ENST00000560120.5","ENSG00000156970.12","BUB1B",15599,2.86759799937107,1.01512628441664,11.6153860447176,1.71821649358488e-26,6.21529987841624e-24,49.4237924816272
"ENSG00000263761.2","chr10",47322489,47326270,"ENST00000581492.2","ENSG00000263761.2","GDF2",3781,-6.12098852878179,-0.830712264032009,-11.5320591315909,3.47355423072722e-26,1.22342236379087e-23,48.6044105927918
"ENSG00000106031.8","chr7",27193502,27195600,"ENST00000518136.3","ENSG00000106031.8","HOXA13",2098,6.07966274412603,-1.55191575768856,11.5233949721755,3.73402627170544e-26,1.2814412210386e-23,48.5502644620603
"ENSG00000130812.10","chr19",10092337,10096598,"ENST00000589181.5","ENSG00000130812.10","ANGPTL6",4261,-2.34915109008687,2.42531302158839,-11.5174986850693,3.88509387553869e-26,1.29995241075524e-23,48.6144190388548
"ENSG00000186185.13","chr17",44924708,44947637,"ENST00000587309.5","ENSG00000186185.13","KIF18B",22929,2.5723124905007,0.76762179090069,11.4935161431171,4.74550965137764e-26,1.5491195408302e-23,48.4192782703002
"ENSG00000101447.14","chr20",38926311,38953106,"ENST00000619304.4","ENSG00000101447.14","FAM83D",26795,2.55242728193147,2.08801550107261,11.4796448088439,5.34463274971058e-26,1.70315630290777e-23,48.3013757331729
"ENSG00000175664.9","chr13",30932702,30933190,"ENST00000479195.1","ENSG00000175664.9","TEX26",488,-4.02393616953553,-4.16047893164919,-11.4654452664692,5.99621186542272e-26,1.83450978098622e-23,47.7364896686945
"ENSG00000111665.11","chr12",6844792,6851269,"ENST00000422785.7","ENSG00000111665.11","CDCA3",6477,2.02008493754402,1.30948138520808,11.4647514240441,6.03096461172996e-26,1.83450978098622e-23,48.1887309305707
"ENSG00000131747.14","chr17",40388515,40417950,"ENST00000423485.5","ENSG00000131747.14","TOP2A",29435,3.12015746366173,3.25956629877222,11.4188648599106,8.91773512663756e-26,2.65233259855371e-23,47.7470375058022
"ENSG00000164611.12","chr5",160421821,160428744,"ENST00000352433.9","ENSG00000164611.12","PTTG1",6923,2.43467927913925,1.69444556281518,11.3179564070904,2.04210386297644e-25,5.69406627126597e-23,46.9838734144082
"ENSG00000160339.15","chr9",134880811,134887520,"ENST00000291744.10","ENSG00000160339.15","FCN2",6709,-5.71457825077767,1.5140427095517,-11.3120374674773,2.1632411587762e-25,5.90873870797155e-23,46.9090292371974
"ENSG00000168389.17","chr1",39955111,39969968,"ENST00000420632.6","ENSG00000168389.17","MFSD2A",14857,-4.41259859446367,4.58126347636448,-11.3052566064327,2.28812681907498e-25,6.12485786929992e-23,46.8061662183372
"ENSG00000140835.9","chr16",71525232,71538746,"ENST00000338482.5","ENSG00000140835.9","CHST4",13514,-5.52977573538183,-0.507324547970142,-11.2930760777925,2.53075054560123e-25,6.6414833926131e-23,46.7046623167861
"ENSG00000120057.4","chr10",97766750,97771952,"ENST00000266066.3","ENSG00000120057.4","SFRP5",5202,-6.10379511175315,-0.121981689648623,-11.2895804725199,2.60499293034201e-25,6.70485103455719e-23,46.6908614395984
"ENSG00000171848.14","chr2",10120697,10131418,"ENST00000641198.1","ENSG00000171848.14","RRM2",10721,2.44094300279348,2.87803324531319,11.2828082674189,2.74999755230034e-25,6.94452212075241e-23,46.6386278826957
