"","chr","start","end","TXNAME","GENEID","gene_name","length","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000160323.18","chr9",133414357,133459386,"ENST00000485925.5","ENSG00000160323.18","ADAMTS13",45029,-2.4558953276416,4.00336760722934,-17.0736709712532,5.75568092012514e-48,7.70340334349549e-44,98.375932740323
"ENSG00000100526.19","chr14",54396848,54417951,"ENST00000555837.5","ENSG00000100526.19","CDKN3",21103,3.46905568578346,0.901747714407636,16.8960886289204,3.00415542430105e-47,2.01038080994226e-43,96.5939129571585
"ENSG00000043355.11","chr13",99981771,99986773,"ENST00000376335.7","ENSG00000043355.11","ZIC2",5002,6.12622336588943,-1.62436085594772,16.6952439673798,2.00809218172842e-46,8.95876858675107e-43,94.444672919957
"ENSG00000077152.10","chr1",202331656,202341936,"ENST00000646651.1","ENSG00000077152.10","UBE2T",10280,2.77683121469723,1.16154337131058,16.64423416709,3.14831948440968e-46,1.05342769948348e-42,94.2984779899443
"ENSG00000117650.12","chr1",211658656,211675630,"ENST00000540251.5","ENSG00000117650.12","NEK2",16974,3.41857151971917,0.658657144953512,16.6184289841902,4.00437183230154e-46,1.07189025207048e-42,94.0066148270881
"ENSG00000117724.12","chr1",214603194,214615190,"ENST00000464322.5","ENSG00000117724.12","CENPF",11996,3.48960203265047,2.51698468263136,16.4442344113565,2.07873249792896e-45,4.63695929204686e-42,92.5257558240636
"ENSG00000135451.12","chr12",49323235,49324296,"ENST00000549275.5","ENSG00000135451.12","TROAP",1061,3.42450032813416,1.13201681228253,16.2499601706837,1.24155039903235e-44,2.37384436294985e-41,90.6625878182689
"ENSG00000146670.9","chr11",65066299,65079389,"ENST00000529290.5","ENSG00000146670.9","CDCA5",13090,3.22925242025741,1.13784175616871,16.1008854150781,4.93538612185637e-44,8.2569009818657e-41,89.3011532330967
"ENSG00000175063.16","chr20",45812575,45816953,"ENST00000405520.5","ENSG00000175063.16","UBE2C",4378,3.59267324206752,1.20935004234444,16.048036413406,8.18642922280867e-44,1.21741298575635e-40,88.8213875959541
"ENSG00000143369.14","chr1",150508061,150513553,"ENST00000470432.5","ENSG00000143369.14","ECM1",5492,-2.81723287090339,3.74577859549496,-15.9690370197287,1.70678660598777e-43,2.28436319345403e-40,88.1522652532023
"ENSG00000134057.14","chr5",69167009,69178245,"ENST00000256442.9","ENSG00000134057.14","CCNB1",11236,2.98146377446182,2.33530642571264,15.9140438952666,2.82178725331927e-43,3.19309233257327e-40,87.6519935344158
"ENSG00000112984.11","chr5",138178718,138182425,"ENST00000513276.5","ENSG00000112984.11","KIF20A",3707,3.72189458971657,0.997497699900735,15.9130773476921,2.86290406387322e-43,3.19309233257327e-40,87.5654195756657
"ENSG00000117399.13","chr1",43358954,43363203,"ENST00000310955.10","ENSG00000117399.13","CDC20",4249,3.77789799357425,1.15579604309636,15.8556523628959,4.8790811335988e-43,4.66960575905994e-40,87.0464977820784
"ENSG00000134690.10","chr1",37692417,37709719,"ENST00000373055.5","ENSG00000134690.10","CDCA8",17302,2.9781528449637,0.926960835191592,15.8536713058645,4.88452485257316e-43,4.66960575905994e-40,87.0219879967652
"ENSG00000170312.15","chr10",60778330,60791969,"ENST00000519078.6","ENSG00000170312.15","CDK1",13639,3.05266008157864,1.87231157295071,15.7654404374029,1.11252599056668e-42,9.92669857182964e-40,86.2748559948149
"ENSG00000109805.9","chr4",17810901,17844862,"ENST00000251496.6","ENSG00000109805.9","NCAPG",33961,3.34550669769258,1.68112251345268,15.7349968940666,1.48739786614261e-42,1.24420831502829e-39,85.9803968031594
"ENSG00000066279.17","chr1",197084127,197146694,"ENST00000367409.8","ENSG00000066279.17","ASPM",62567,3.35932933674352,2.67224761500521,15.5738075575385,6.63923259481547e-42,5.22702876758884e-39,84.5251020850461
"ENSG00000142945.12","chr1",44739817,44757971,"ENST00000452259.5","ENSG00000142945.12","KIF2C",18154,3.26625626419456,0.991348626610575,15.4333818152786,2.38164999892548e-41,1.77088908808992e-38,83.1834060190749
"ENSG00000123485.11","chr2",233833415,233840738,"ENST00000433484.2","ENSG00000123485.11","HJURP",7323,3.02147896431724,1.3338819243209,15.4224685821604,2.62887278564949e-41,1.85183333490172e-38,83.1215982961778
"ENSG00000198901.13","chr15",90966037,90994495,"ENST00000394249.7","ENSG00000198901.13","PRC1",28458,2.88657820587345,2.30962047245417,15.4165621552669,2.79733833782645e-41,1.87197881567346e-38,83.0959657264579
"ENSG00000182566.13","chr19",7728956,7732171,"ENST00000328853.9","ENSG00000182566.13","CLEC4G",3215,-6.36469249016955,1.39250105220745,-15.3495415411476,5.24786491466485e-41,3.19261018263065e-38,82.318269935518
"ENSG00000139800.8","chr13",99962963,99971909,"ENST00000267294.4","ENSG00000139800.8","ZIC5",8946,5.74217845069635,-2.83683646336498,15.3693102648699,4.36827373528913e-41,2.78404646062428e-38,82.1492725762577
"ENSG00000237649.7","chr6",33391535,33409924,"ENST00000428849.6","ENSG00000237649.7","KIFC1",18389,3.03220586137553,1.47149478734565,15.301636133308,8.01616542062498e-41,4.66471121694108e-38,82.023132146885
"ENSG00000174371.16","chr1",241847966,241850460,"ENST00000519225.5","ENSG00000174371.16","EXO1",2494,3.31209998140757,0.067722399565698,15.2726347500919,1.04371526977778e-40,5.82045215446074e-38,81.6496752795021
"ENSG00000157456.7","chr15",59105077,59125045,"ENST00000288207.6","ENSG00000157456.7","CCNB2",19968,3.20135687353055,0.915929307971806,15.2319792013695,1.52045866406636e-40,8.13992750394569e-38,81.3556032202545
"ENSG00000111206.12","chr12",2857680,2864854,"ENST00000536066.1","ENSG00000111206.12","FOXM1",7174,3.10762204659106,2.15974907113285,15.1835922449041,2.40064358510819e-40,1.23577745165723e-37,80.9633076251906
"ENSG00000162595.6","chr1",68045895,68051631,"ENST00000370981.2","ENSG00000162595.6","DIRAS3",5736,-3.73999086182531,0.559232147603878,-15.1716084151404,2.65636123919408e-40,1.31676810464347e-37,80.7113224531018
"ENSG00000197580.11","chr11",112175466,112218929,"ENST00000357685.9","ENSG00000197580.11","BCO2",43463,-3.6201720393999,4.34311970276956,-15.1030972713745,5.05610766843837e-40,2.41681946551354e-37,80.2048774172232
"ENSG00000142748.12","chr1",27369111,27374824,"ENST00000270879.8","ENSG00000142748.12","FCN3",5713,-4.76585167682904,3.63723355670609,-14.9944189087175,1.3698189878454e-39,6.32195080459409e-37,79.2398730298141
"ENSG00000186185.13","chr17",44924708,44947637,"ENST00000587309.5","ENSG00000186185.13","KIF18B",22929,3.03482930685804,0.767621790900691,14.9201005827244,2.65524739241381e-39,1.18459437000222e-36,78.5214018815362
"ENSG00000114812.12","chr3",42489298,42537567,"ENST00000433647.5","ENSG00000114812.12","VIPR1",48269,-3.81668156880519,2.79327412438441,-14.854564099067,4.92851211856027e-39,2.12784536112293e-36,77.9690090036801
"ENSG00000160801.13","chr3",46877745,46903794,"ENST00000449590.5","ENSG00000160801.13","PTH1R",26049,-3.28007247033888,2.46247520870738,-14.7629407519712,1.13535978387768e-38,4.74864229606839e-36,77.1423326261286
"ENSG00000156970.12","chr15",40161022,40176621,"ENST00000560120.5","ENSG00000156970.12","BUB1B",15599,3.2891840353226,1.01512628441664,14.7204470358775,1.66084620186173e-38,6.73598956536891e-36,76.7297161404231
"ENSG00000089685.14","chr17",78214185,78225636,"ENST00000301633.8","ENSG00000089685.14","BIRC5",11451,2.9389081119915,1.80313453237949,14.702389341759,1.95812474537155e-38,7.70810046825083e-36,76.5984126207408
"ENSG00000130812.10","chr19",10092337,10096598,"ENST00000589181.5","ENSG00000130812.10","ANGPTL6",4261,-2.6950259647902,2.42531302158839,-14.6489783476796,3.17265957153456e-38,1.21322502015482e-35,76.1233582077567
"ENSG00000145824.12","chr5",135570678,135579064,"ENST00000512158.5","ENSG00000145824.12","CXCL14",8386,-5.0520853816104,1.91200134140187,-14.6149768809246,4.39165922667384e-38,1.63272130805007e-35,75.7686701089051
"ENSG00000164611.12","chr5",160421821,160428744,"ENST00000352433.9","ENSG00000164611.12","PTTG1",6923,2.85268282538016,1.69444556281518,14.5015879071542,1.21654279648091e-37,4.40059696975688e-35,74.7862384055072
"ENSG00000072571.19","chr5",163460202,163471463,"ENST00000520345.5","ENSG00000072571.19","HMMR",11261,2.76575808066474,1.50355477278674,14.4087713706125,2.82018390356643e-37,9.67829265777771e-35,73.9517008889068
"ENSG00000131747.14","chr17",40388515,40417950,"ENST00000423485.5","ENSG00000131747.14","TOP2A",29435,3.58412597532005,3.25956629877222,14.3860764320155,3.52211234688987e-37,1.14975491831156e-34,73.7292206290617
"ENSG00000263761.2","chr10",47322489,47326270,"ENST00000581492.2","ENSG00000263761.2","GDF2",3781,-6.43482698976692,-0.830712264032008,-14.3876549286991,3.47200116333576e-37,1.14975491831156e-34,73.5348165694566
"ENSG00000171848.14","chr2",10120697,10131418,"ENST00000641198.1","ENSG00000171848.14","RRM2",10721,2.84241064057614,2.8780332453132,14.3122887979924,6.86852255446451e-37,2.13786757834775e-34,73.0691029011864
"ENSG00000161800.12","chr12",49976922,49992358,"ENST00000548961.5","ENSG00000161800.12","RACGAP1",15436,2.05247087698633,2.65716196444875,14.2870851495773,8.50235848879035e-37,2.58626286395386e-34,72.865447872974
"ENSG00000160339.15","chr9",134880811,134887520,"ENST00000291744.10","ENSG00000160339.15","FCN2",6709,-6.19666809515137,1.5140427095517,-14.1916097679205,2.05205120759385e-36,6.10325630276356e-34,71.9152694482423
"ENSG00000111665.11","chr12",6844792,6851269,"ENST00000422785.7","ENSG00000111665.11","CDCA3",6477,2.21377785651982,1.30948138520808,14.0971068853756,4.74504687471666e-36,1.35122781640868e-33,71.1505654065873
"ENSG00000165682.14","chr12",9985641,9997163,"ENST00000398937.6","ENSG00000165682.14","CLEC1B",11522,-6.38462993558511,0.130171369969003,-14.1048552883478,4.49543924180753e-36,1.30797736548591e-33,71.0685401740955
"ENSG00000148773.13","chr10",128096658,128126204,"ENST00000368653.7","ENSG00000148773.13","MKI67",29546,3.07036491073969,3.00506760401051,13.9150897749434,2.48776685273869e-35,6.7951574606234e-33,69.5080573608593
"ENSG00000198826.10","chr15",32615143,32638110,"ENST00000565905.5","ENSG00000198826.10","ARHGAP11A",22967,2.3710102193666,1.74095006861193,13.8136635552131,6.09951089795643e-35,1.63271707716498e-32,68.6374110295242
"ENSG00000158473.6","chr1",158179946,158184896,"ENST00000368171.3","ENSG00000158473.6","CD1D",4950,-2.28275184811704,2.8095736318874,-13.7605621420711,9.83280072979514e-35,2.58043539152114e-32,68.1582385998854
"ENSG00000145386.9","chr4",121816443,121823932,"ENST00000274026.9","ENSG00000145386.9","CCNA2",7489,2.39014518823201,1.86268159126367,13.6891384115758,1.86435564433318e-34,4.79856460456833e-32,67.533187448437
"ENSG00000104938.16","chr19",7763148,7769604,"ENST00000334806.9","ENSG00000104938.16","CLEC4M",6456,-6.69933822182748,1.31576676105272,-13.6660401820746,2.32650134054783e-34,5.87507432865889e-32,67.2392839583563
"ENSG00000213398.7","chr16",67939749,67944131,"ENST00000264005.9","ENSG00000213398.7","LCAT",4382,-2.3741235688779,5.40440493541778,-13.6006964423175,4.17442719357347e-34,1.03463951034791e-31,66.6123894595311
"ENSG00000178999.12","chr17",8204732,8210582,"ENST00000316199.10","ENSG00000178999.12","AURKB",5850,2.59965451409481,0.661804455570811,13.5282834010115,7.85989129361189e-34,1.91266881952185e-31,66.0766683350882
"ENSG00000137804.12","chr15",41332693,41380747,"ENST00000558123.5","ENSG00000137804.12","NUSAP1",48054,2.1247352634898,3.18111006565013,13.4590756727316,1.46378722711335e-33,3.49845147280091e-31,65.4516373797315
"ENSG00000159200.17","chr21",34513141,34521583,"ENST00000487434.1","ENSG00000159200.17","RCAN1",8442,-2.01417202656158,5.96689343258421,-13.4573859475975,1.49632128056053e-33,3.51346737175826e-31,65.3382354092033
"ENSG00000101057.15","chr20",43667018,43716495,"ENST00000396863.8","ENSG00000101057.15","MYBL2",49477,3.48099931620858,1.2933027456305,13.395301727192,2.60777458208565e-33,6.01766465631627e-31,64.9208176565885
"ENSG00000225792.1","chr7",26372143,26376272,"ENST00000451368.1","ENSG00000225792.1","AC004540.2",4129,-3.84240906615062,-1.17636971361105,-13.3289719203062,4.65252003829445e-33,1.05541234224632e-30,64.1459681523772
"ENSG00000140835.9","chr16",71525232,71538746,"ENST00000338482.5","ENSG00000140835.9","CHST4",13514,-5.63002424804435,-0.50732454797014,-13.2774644211381,7.4312662364379e-33,1.65766778847475e-30,63.7824272860905
"ENSG00000166851.14","chr16",23677655,23690366,"ENST00000562272.5","ENSG00000166851.14","PLK1",12711,2.10284262925111,1.50856210501669,13.1662882085351,1.9648902294891e-32,4.24162755346486e-30,62.9260091111678
"ENSG00000172425.10","chr11",118527471,118531197,"ENST00000302783.8","ENSG00000172425.10","TTC36",3726,-4.69909012568437,3.10371465303487,-13.0995438698456,3.59172079080288e-32,7.63041128001678e-30,62.3295621770896
"ENSG00000126759.13","chrX",47623171,47628742,"ENST00000640573.1","ENSG00000126759.13","CFP",5571,-2.69365699675971,2.99172015775167,-13.0797986468052,4.2674232418195e-32,8.92424885445502e-30,62.1406342768446
"ENSG00000101447.14","chr20",38926311,38953106,"ENST00000619304.4","ENSG00000101447.14","FAM83D",26795,2.49791942097026,2.08801550107261,13.0605683464739,5.02509962525e-32,1.01902929370221e-29,61.9938826493095
"ENSG00000087586.17","chr20",56369388,56392295,"ENST00000395914.5","ENSG00000087586.17","AURKA",22907,2.42512031018606,2.35834195665822,13.0189256923462,7.26417576170021e-32,1.42976071168523e-29,61.6210986999625
