"","chr","start","end","TXNAME","GENEID","gene_name","length","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000237649.7","chr6",33391535,33409924,"ENST00000428849.6","ENSG00000237649.7","KIFC1",18389,4.9599393934523,1.47149478734564,12.5999423166553,3.92564667619143e-30,5.2540855114146e-26,57.5093089756649
"ENSG00000100526.19","chr14",54396848,54417951,"ENST00000555837.5","ENSG00000100526.19","CDKN3",21103,5.16937252278193,0.901747714407635,12.3712148943817,2.81516855773786e-29,1.88391079883818e-25,55.4799528113174
"ENSG00000186185.13","chr17",44924708,44947637,"ENST00000587309.5","ENSG00000186185.13","KIF18B",22929,4.92233952931839,0.76762179090069,12.2952551726878,5.39985164878142e-29,2.40905381557635e-25,54.8561462520423
"ENSG00000135451.12","chr12",49323235,49324296,"ENST00000549275.5","ENSG00000135451.12","TROAP",1061,5.15142309713061,1.13201681228253,12.1697323416969,1.57909299624371e-28,4.64235113334035e-25,53.8368903490492
"ENSG00000112984.11","chr5",138178718,138182425,"ENST00000513276.5","ENSG00000112984.11","KIF20A",3707,5.75803693269512,0.997497699900734,12.1594556709197,1.73429136780497e-28,4.64235113334035e-25,53.7459980311993
"ENSG00000175063.16","chr20",45812575,45816953,"ENST00000405520.5","ENSG00000175063.16","UBE2C",4378,5.53274524092242,1.20935004234443,11.9658389681983,8.9770052172187e-28,2.00247063045425e-24,52.1286300845981
"ENSG00000170312.15","chr10",60778330,60791969,"ENST00000519078.6","ENSG00000170312.15","CDK1",13639,4.70438288303435,1.87231157295071,11.8487570233675,2.41132184353165e-27,4.61044736483251e-24,51.2666952565688
"ENSG00000145386.9","chr4",121816443,121823932,"ENST00000274026.9","ENSG00000145386.9","CCNA2",7489,4.06823266376872,1.86268159126367,11.8224223024368,3.00743662054987e-27,5.03144146617993e-24,51.0711981178473
"ENSG00000174371.16","chr1",241847966,241850460,"ENST00000519225.5","ENSG00000174371.16","EXO1",2494,5.0857674111903,0.0677223995656964,11.711734817938,7.63746953280196e-27,1.13577658030024e-23,49.9128136104228
"ENSG00000134690.10","chr1",37692417,37709719,"ENST00000373055.5","ENSG00000134690.10","CDCA8",17302,4.37513691210156,0.926960835191591,11.6569566999042,1.20970552715021e-26,1.61906987753784e-23,49.5849950370647
"ENSG00000156970.12","chr15",40161022,40176621,"ENST00000560120.5","ENSG00000156970.12","BUB1B",15599,5.0561724061077,1.01512628441664,11.3931616670644,1.09651312035142e-25,1.33415741843486e-22,47.4697050766832
"ENSG00000198826.10","chr15",32615143,32638110,"ENST00000565905.5","ENSG00000198826.10","ARHGAP11A",22967,3.85941615461691,1.74095006861193,11.3356456366249,1.76301418066363e-25,1.9663484828335e-22,47.068170011235
"ENSG00000198901.13","chr15",90966037,90994495,"ENST00000394249.7","ENSG00000198901.13","PRC1",28458,4.41259790781281,2.30962047245417,11.3130267886194,2.13190929670699e-25,2.19488261747125e-22,46.906820799944
"ENSG00000109805.9","chr4",17810901,17844862,"ENST00000251496.6","ENSG00000109805.9","NCAPG",33961,4.85238485476744,1.68112251345267,11.2981550382665,2.41473390382445e-25,2.30848561205617e-22,46.752947496382
"ENSG00000077152.10","chr1",202331656,202341936,"ENST00000646651.1","ENSG00000077152.10","UBE2T",10280,3.93419840660797,1.16154337131058,11.2892381304672,2.58912392386995e-25,2.31018897313836e-22,46.6079075512366
