"","chr","start","end","TXNAME","GENEID","gene_name","length","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000160323.18","chr9",133414357,133459386,"ENST00000485925.5","ENSG00000160323.18","ADAMTS13",45029,-2.85019590356478,3.99296047097025,-29.3582213442748,5.43002985442928e-87,6.7685322135461e-83,187.951742102054
"ENSG00000143369.14","chr1",150508061,150513553,"ENST00000470432.5","ENSG00000143369.14","ECM1",5492,-3.36340594289714,3.67598628116247,-27.9158336290915,1.95760064263746e-82,1.2200746005238e-78,177.479558748777
"ENSG00000142748.12","chr1",27369111,27374824,"ENST00000270879.8","ENSG00000142748.12","FCN3",5713,-5.71594788625075,3.56875271908974,-26.2585291116205,4.53808479550488e-77,1.88557423253228e-73,165.118830115926
"ENSG00000182566.13","chr19",7728956,7732171,"ENST00000328853.9","ENSG00000182566.13","CLEC4G",3215,-7.23159560820665,1.31672886966139,-26.036991264867,2.41072042642765e-76,7.51240752885515e-73,163.122358626438
"ENSG00000130812.10","chr19",10092337,10096598,"ENST00000589181.5","ENSG00000130812.10","ANGPTL6",4261,-3.10011851853257,2.34791826079789,-24.994178522805,6.19062587899795e-73,1.54332303163419e-69,155.638372146146
"ENSG00000077152.10","chr1",202331656,202341936,"ENST00000646651.1","ENSG00000077152.10","UBE2T",10280,2.72293746436806,1.25076125482604,24.7176750709313,5.20753299843818e-72,1.08186498042553e-68,153.486309664794
"ENSG00000117650.12","chr1",211658656,211675630,"ENST00000540251.5","ENSG00000117650.12","NEK2",16974,3.19999904088819,0.779200361589742,24.3312834530622,1.03678380023555e-70,1.84621572427659e-67,150.474181880421
"ENSG00000145824.12","chr5",135570678,135579064,"ENST00000512158.5","ENSG00000145824.12","CXCL14",8386,-5.70907069616372,1.86742330267757,-24.244089227376,2.22299814404764e-70,3.46370898319423e-67,149.673764246584
"ENSG00000160801.13","chr3",46877745,46903794,"ENST00000449590.5","ENSG00000160801.13","PTH1R",26049,-3.56573028875284,2.47618953548269,-23.6975621319418,1.52803727386696e-68,2.11633162430573e-65,145.576793845774
"ENSG00000263761.2","chr10",47322489,47326270,"ENST00000581492.2","ENSG00000263761.2","GDF2",3781,-7.55056106247353,-0.955462807045151,-23.4861327309031,8.28074703367457e-68,1.03219511774753e-64,143.351942392868
"ENSG00000100526.19","chr14",54396848,54417951,"ENST00000555837.5","ENSG00000100526.19","CDKN3",21103,3.17484241099682,0.98464439392906,23.3358116761031,2.49499781653274e-67,2.82728616209823e-64,142.76002191128
"ENSG00000165682.14","chr12",9985641,9997163,"ENST00000398937.6","ENSG00000165682.14","CLEC1B",11522,-7.32903599140572,0.116933617180394,-23.3183885607836,3.0968190243849e-67,3.21682076157981e-64,142.230809483426
"ENSG00000104938.16","chr19",7763148,7769604,"ENST00000334806.9","ENSG00000104938.16","CLEC4M",6456,-7.56393260532844,1.23762042940734,-23.2659787259339,4.67923477521631e-67,4.48666626715933e-64,141.943106268375
"ENSG00000114812.12","chr3",42489298,42537567,"ENST00000433647.5","ENSG00000114812.12","VIPR1",48269,-3.90436113532627,2.7395007881357,-23.239255556018,5.77600958276088e-67,5.14271138922246e-64,141.972490019114
"ENSG00000145287.10","chr4",83090047,83114802,"ENST00000311507.8","ENSG00000145287.10","PLAC8",24755,-3.42692215357831,1.77241676552739,-23.2113674751646,6.74078254042587e-67,5.6015902910939e-64,141.774385120765
"ENSG00000126759.13","chrX",47623171,47628742,"ENST00000640573.1","ENSG00000126759.13","CFP",5571,-3.43833863588047,2.98311394631928,-23.1076636451593,1.60758365761007e-66,1.25240814325685e-63,140.962967794923
"ENSG00000160339.15","chr9",134880811,134887520,"ENST00000291744.10","ENSG00000160339.15","FCN2",6709,-6.65095060607653,1.51860600149687,-22.9198798996583,7.19863782475389e-66,5.27829532267984e-63,139.313330668423
"ENSG00000117724.12","chr1",214603194,214615190,"ENST00000464322.5","ENSG00000117724.12","CENPF",11996,3.18693032798914,2.63445371182282,22.6199101349878,7.68993680707835e-65,5.32528123890176e-62,137.112419187747
"ENSG00000213398.7","chr16",67939749,67944131,"ENST00000264005.9","ENSG00000213398.7","LCAT",4382,-2.72069904004286,5.38872540655611,-22.5316520679138,1.56868039658712e-64,1.02913690228729e-61,136.324415912339
"ENSG00000112984.11","chr5",138178718,138182425,"ENST00000513276.5","ENSG00000112984.11","KIF20A",3707,3.29081392532351,1.12818669096684,22.3769030989768,5.0926367087025e-64,3.17398582869883e-61,135.204182254759
"ENSG00000043355.11","chr13",99981771,99986773,"ENST00000376335.7","ENSG00000043355.11","ZIC2",5002,5.62670170658722,-1.45922587199133,22.3674238713283,5.80425844260355e-64,3.44524197557396e-61,134.80427153154
"ENSG00000107562.16","chr10",44370164,44385092,"ENST00000374429.6","ENSG00000107562.16","CXCL12",14928,-3.37643093588452,5.82290884712488,-22.2973954505914,1.01486856402029e-63,5.75015302296044e-61,134.471166652024
"ENSG00000113594.9","chr5",38474962,38595404,"ENST00000263409.8","ENSG00000113594.9","LIFR",120442,-3.3156943851462,4.4646956989609,-22.2132823269986,1.98687629532983e-63,1.07680056614288e-60,133.832413267088
"ENSG00000164128.6","chr4",163323960,163332862,"ENST00000296533.2","ENSG00000164128.6","NPY1R",8902,-3.76209699612796,1.75063579149221,-22.1848691730692,2.45272361642589e-63,1.27388332828119e-60,133.630225049835
"ENSG00000123485.11","chr2",233833415,233840738,"ENST00000433484.2","ENSG00000123485.11","HJURP",7323,2.89583356654065,1.44597171683809,22.1566062551951,2.91202660279349e-63,1.45193646415283e-60,133.476647131343
"ENSG00000146674.14","chr7",45912244,45921272,"ENST00000381086.9","ENSG00000146674.14","IGFBP3",9028,-3.02295821896499,7.41713616368591,-21.9887806723467,1.19794022280485e-62,5.74320187587016e-60,132.039192884016
"ENSG00000198901.13","chr15",90966037,90994495,"ENST00000394249.7","ENSG00000198901.13","PRC1",28458,2.68602602613521,2.37470668590255,21.9618926767005,1.40464456118732e-62,6.48477572414812e-60,131.925045614916
"ENSG00000225792.1","chr7",26372143,26376272,"ENST00000451368.1","ENSG00000225792.1","AC004540.2",4129,-4.37669044543277,-1.1617571541203,-21.905790280019,2.17485600230084e-62,9.68199288167141e-60,131.135118831977
"ENSG00000134690.10","chr1",37692417,37709719,"ENST00000373055.5","ENSG00000134690.10","CDCA8",17302,2.71490031733083,1.02439629513644,21.8077704498919,4.78012610973429e-62,2.05463006751165e-59,130.675944644531
