"","chr","start","end","TXNAME","GENEID","gene_name","length","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000160323.18","chr9",133414357,133459386,"ENST00000485925.5","ENSG00000160323.18","ADAMTS13",45029,-2.60835946007596,4.00336760722934,-28.4685283778513,1.53465471124424e-92,2.05398186552929e-88,200.597442224598
"ENSG00000143369.14","chr1",150508061,150513553,"ENST00000470432.5","ENSG00000143369.14","ECM1",5492,-3.08501195058417,3.74577859549496,-27.2520380804642,5.49430042283813e-88,3.67678584296328e-84,190.138981068549
"ENSG00000182566.13","chr19",7728956,7732171,"ENST00000328853.9","ENSG00000182566.13","CLEC4G",3215,-6.47177760836176,1.39250105220745,-26.5518537946757,2.44963929899993e-85,1.09286574592717e-81,183.885845393508
"ENSG00000142748.12","chr1",27369111,27374824,"ENST00000270879.8","ENSG00000142748.12","FCN3",5713,-5.01892220414025,3.63723355670609,-25.7042839951979,4.15996202855017e-82,1.39192329475289e-78,176.63652918391
"ENSG00000145824.12","chr5",135570678,135579064,"ENST00000512158.5","ENSG00000145824.12","CXCL14",8386,-5.35682000845995,1.91200134140187,-25.3780470991645,7.43856753985032e-81,1.99115575906713e-77,173.703421502092
"ENSG00000140835.9","chr16",71525232,71538746,"ENST00000338482.5","ENSG00000140835.9","CHST4",13514,-6.62609800589622,-0.507324547970142,-24.8951762611493,5.42284306513536e-79,1.20965552639619e-75,169.192179063001
"ENSG00000263761.2","chr10",47322489,47326270,"ENST00000581492.2","ENSG00000263761.2","GDF2",3781,-6.73698942458918,-0.830712264032009,-24.6924773647063,3.30600067783226e-78,6.32107329601527e-75,167.413161606864
"ENSG00000130812.10","chr19",10092337,10096598,"ENST00000589181.5","ENSG00000130812.10","ANGPTL6",4261,-2.63084547549341,2.42531302158839,-24.350321863566,6.57835401794872e-77,9.99177565393017e-74,164.702888376517
"ENSG00000160801.13","chr3",46877745,46903794,"ENST00000449590.5","ENSG00000160801.13","PTH1R",26049,-3.29885530399517,2.46247520870738,-24.3544165722326,6.71891668300744e-77,9.99177565393017e-74,164.68298753436
"ENSG00000120057.4","chr10",97766750,97771952,"ENST00000266066.3","ENSG00000120057.4","SFRP5",5202,-7.12015614003388,-0.121981689648623,-24.2478991678705,1.76814035950441e-76,2.21467180619918e-73,163.494617059467
"ENSG00000165682.14","chr12",9985641,9997163,"ENST00000398937.6","ENSG00000165682.14","CLEC1B",11522,-6.37921389001109,0.130171369969002,-24.2446660287989,1.82018752750978e-76,2.21467180619918e-73,163.537152579905
"ENSG00000243766.8","chr7",27198574,27201236,"ENST00000421733.1","ENSG00000243766.8","HOTTIP",2662,5.90173835732459,-2.95323268851796,23.8023902183552,9.66123061731308e-75,1.07754925485099e-71,159.1596454637
"ENSG00000145287.10","chr4",83090047,83114802,"ENST00000311507.8","ENSG00000145287.10","PLAC8",24755,-3.12097316047505,1.81697276048753,-23.6644996043193,3.24870518620407e-74,3.34466693939655e-71,158.509397518826
"ENSG00000114812.12","chr3",42489298,42537567,"ENST00000433647.5","ENSG00000114812.12","VIPR1",48269,-3.65149060315685,2.79327412438441,-23.6494821820281,3.86318973202478e-74,3.69320938381569e-71,158.353481306835
"ENSG00000160339.15","chr9",134880811,134887520,"ENST00000291744.10","ENSG00000160339.15","FCN2",6709,-5.82500986098395,1.5140427095517,-23.5254081169764,1.18527786410046e-73,1.0575839288747e-70,157.192616843676
"ENSG00000132698.14","chr1",156061159,156070514,"ENST00000361084.9","ENSG00000132698.14","RAB25",9355,-6.51084608398858,-1.48520477095133,-23.516916306156,1.27986703004781e-73,1.07060877063499e-70,156.843664950323
"ENSG00000104938.16","chr19",7763148,7769604,"ENST00000334806.9","ENSG00000104938.16","CLEC4M",6456,-6.64453666243256,1.31576676105272,-23.431233833399,2.77825138411945e-73,2.18730097206204e-70,156.307307377005
"ENSG00000126759.13","chrX",47623171,47628742,"ENST00000640573.1","ENSG00000126759.13","CFP",5571,-2.97170926497097,2.99172015775167,-23.0447844467314,9.16765734302823e-72,6.81666254883832e-69,152.899038389423
"ENSG00000225792.1","chr7",26372143,26376272,"ENST00000451368.1","ENSG00000225792.1","AC004540.2",4129,-4.07367376042077,-1.17636971361106,-22.9102534891305,2.97642972689147e-71,2.09665976130081e-68,151.440392670325
"ENSG00000043355.11","chr13",99981771,99986773,"ENST00000376335.7","ENSG00000043355.11","ZIC2",5002,5.72490336571072,-1.62436085594772,22.5382100497732,9.30069202006729e-70,6.22402309982903e-67,148.020541476933
"ENSG00000164128.6","chr4",163323960,163332862,"ENST00000296533.2","ENSG00000164128.6","NPY1R",8902,-3.43072385909562,1.83944582031481,-22.3148832265548,7.13591338879623e-69,4.54795546645946e-66,146.269901955866
"ENSG00000106031.8","chr7",27193502,27195600,"ENST00000518136.3","ENSG00000106031.8","HOXA13",2098,6.88722672839583,-1.55191575768856,22.25517919231,1.2346365605941e-68,7.51107987590521e-66,145.442989818307
"ENSG00000145708.10","chr5",76952712,76969474,"ENST00000274368.8","ENSG00000145708.10","CRHBP",16762,-4.70864785896483,3.13671263233137,-22.0090812045214,1.17532215229199e-67,6.83935290707654e-65,143.477163042357
"ENSG00000146674.14","chr7",45912244,45921272,"ENST00000381086.9","ENSG00000146674.14","IGFBP3",9028,-2.88893000405804,7.5187916974066,-21.6655118583224,2.75118038969923e-66,1.53424159732227e-63,140.295865827366
"ENSG00000077152.10","chr1",202331656,202341936,"ENST00000646651.1","ENSG00000077152.10","UBE2T",10280,2.38798604381036,1.16154337131058,21.6126107056336,4.23861514917118e-66,2.21831999352872e-63,139.88091871887
