"","chr","start","end","TXNAME","GENEID","gene_name","length","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000160323.18","chr9",133414357,133459386,"ENST00000485925.5","ENSG00000160323.18","ADAMTS13",45029,-2.60730963022063,4.00336760722934,-27.9534300748584,9.81246727233662e-91,1.31330061972953e-86,196.448515399504
"ENSG00000143369.14","chr1",150508061,150513553,"ENST00000470432.5","ENSG00000143369.14","ECM1",5492,-3.07309515844815,3.74577859549496,-26.5417322567874,2.11474852752678e-85,1.41518971462092e-81,184.201058909347
"ENSG00000182566.13","chr19",7728956,7732171,"ENST00000328853.9","ENSG00000182566.13","CLEC4G",3215,-6.44087088746703,1.39250105220745,-25.1858346743522,3.36299567208196e-80,1.5003444691715e-76,172.111996631929
"ENSG00000145824.12","chr5",135570678,135579064,"ENST00000512158.5","ENSG00000145824.12","CXCL14",8386,-5.34366566504542,1.91200134140187,-24.5244694127191,1.23342711303015e-77,4.1270471201989e-74,166.314700613164
"ENSG00000142748.12","chr1",27369111,27374824,"ENST00000270879.8","ENSG00000142748.12","FCN3",5713,-4.98492088097299,3.63723355670609,-24.4597026354043,2.20434185012805e-77,5.90058226442277e-74,165.794350341289
"ENSG00000140835.9","chr16",71525232,71538746,"ENST00000338482.5","ENSG00000140835.9","CHST4",13514,-6.64764996334188,-0.50732454797014,-24.2986401052007,9.35726962189568e-77,2.08729494365753e-73,164.045410649788
"ENSG00000243766.8","chr7",27198574,27201236,"ENST00000421733.1","ENSG00000243766.8","HOTTIP",2662,5.90324946993717,-2.95323268851795,23.9585901062547,1.98435415075326e-75,3.79408513624023e-72,160.73834097379
"ENSG00000263761.2","chr10",47322489,47326270,"ENST00000581492.2","ENSG00000263761.2","GDF2",3781,-6.71525897782592,-0.830712264032008,-23.7900792832776,9.13779029458209e-75,1.52875231628358e-71,159.524875949584
"ENSG00000160801.13","chr3",46877745,46903794,"ENST00000449590.5","ENSG00000160801.13","PTH1R",26049,-3.29817315007848,2.46247520870738,-23.6944840182866,2.14058069350028e-74,3.1832813335342e-71,158.938019216499
"ENSG00000130812.10","chr19",10092337,10096598,"ENST00000589181.5","ENSG00000130812.10","ANGPTL6",4261,-2.62254396909986,2.42531302158839,-23.6467283260741,3.13274604918938e-74,4.19286731223506e-71,158.558176938285
"ENSG00000120057.4","chr10",97766750,97771952,"ENST00000266066.3","ENSG00000120057.4","SFRP5",5202,-7.13490681867962,-0.121981689648621,-23.5277654035612,9.80040227624534e-74,1.19244167332062e-70,157.195338018826
"ENSG00000114812.12","chr3",42489298,42537567,"ENST00000433647.5","ENSG00000114812.12","VIPR1",48269,-3.64910716676511,2.79327412438441,-22.9976971774337,1.20665311564692e-71,1.34582044165153e-68,152.629171959934
"ENSG00000165682.14","chr12",9985641,9997163,"ENST00000398937.6","ENSG00000165682.14","CLEC1B",11522,-6.35410733063068,0.130171369969003,-22.9287049080475,2.26167324765327e-71,2.32847959589164e-68,151.871544606684
"ENSG00000132698.14","chr1",156061159,156070514,"ENST00000361084.9","ENSG00000132698.14","RAB25",9355,-6.52078399779654,-1.48520477095133,-22.9005975840241,2.92170996606692e-71,2.79315472755997e-68,151.428408791686
"ENSG00000145287.10","chr4",83090047,83114802,"ENST00000311507.8","ENSG00000145287.10","PLAC8",24755,-3.10272532891143,1.81697276048753,-22.7286284263131,1.36211059192723e-70,1.21536587749027e-67,150.203367662982
"ENSG00000160339.15","chr9",134880811,134887520,"ENST00000291744.10","ENSG00000160339.15","FCN2",6709,-5.80560013969006,1.5140427095517,-22.4949481134266,1.18501464574871e-69,9.91264751168794e-67,148.022446034875
"ENSG00000104938.16","chr19",7763148,7769604,"ENST00000334806.9","ENSG00000104938.16","CLEC4M",6456,-6.6220644300204,1.31576676105272,-22.4674892854143,1.52329143078036e-69,1.19927838291555e-66,147.736299179744
"ENSG00000106031.8","chr7",27193502,27195600,"ENST00000518136.3","ENSG00000106031.8","HOXA13",2098,6.88173048338521,-1.55191575768856,22.2842392199697,8.1517623918403e-69,6.0612882140217e-66,145.862003814743
"ENSG00000126759.13","chrX",47623171,47628742,"ENST00000640573.1","ENSG00000126759.13","CFP",5571,-2.95521163084595,2.99172015775167,-22.1575122900318,2.59217098056e-68,1.82597981072711e-65,144.978831375782
"ENSG00000043355.11","chr13",99981771,99986773,"ENST00000376335.7","ENSG00000043355.11","ZIC2",5002,5.69959923170277,-1.62436085594772,22.0432652631656,7.42772969299215e-68,4.97063671055034e-65,143.683077892667
"ENSG00000225792.1","chr7",26372143,26376272,"ENST00000451368.1","ENSG00000225792.1","AC004540.2",4129,-4.056913551499,-1.17636971361105,-21.8471864374147,4.32175786048199e-67,2.75440034308052e-64,141.940979882135
"ENSG00000164128.6","chr4",163323960,163332862,"ENST00000296533.2","ENSG00000164128.6","NPY1R",8902,-3.42066782764918,1.83944582031481,-21.6785551147517,2.11519935103546e-66,1.28681036882993e-63,140.601059380459
"ENSG00000146674.14","chr7",45912244,45921272,"ENST00000381086.9","ENSG00000146674.14","IGFBP3",9028,-2.88789641812088,7.5187916974066,-21.6583795458454,2.554320688143e-66,1.48639252565678e-63,140.368007457563
"ENSG00000077152.10","chr1",202331656,202341936,"ENST00000646651.1","ENSG00000077152.10","UBE2T",10280,2.38105957649499,1.16154337131058,21.6382017052641,2.91967622442481e-66,1.6282061078209e-63,140.253451525432
"ENSG00000107562.16","chr10",44370164,44385092,"ENST00000374429.6","ENSG00000107562.16","CXCL12",14928,-3.27635522924432,5.89144141169355,-21.5575893761934,6.46157052418438e-66,3.45926639582735e-63,139.407940125053
"ENSG00000117650.12","chr1",211658656,211675630,"ENST00000540251.5","ENSG00000117650.12","NEK2",16974,2.91960166738911,0.658657144953512,21.3961867930177,2.718722778423e-65,1.39951483332359e-62,138.010515223071
"ENSG00000113594.9","chr5",38474962,38595404,"ENST00000263409.8","ENSG00000113594.9","LIFR",120442,-3.02158604054243,4.49195176384883,-21.1584102565642,2.56685803845831e-64,1.27240103654541e-61,135.745459861707
"ENSG00000197580.11","chr11",112175466,112218929,"ENST00000357685.9","ENSG00000197580.11","BCO2",43463,-3.13163964590489,4.34311970276956,-21.102718481534,4.29365355542134e-64,2.04100835649538e-61,135.230908972537
"ENSG00000165125.19","chr7",142871202,142885762,"ENST00000359396.7","ENSG00000165125.19","TRPV6",14560,-3.98075140833929,0.373311349218015,-21.0984797588436,4.42238810059519e-64,2.04100835649538e-61,135.225265814662
"ENSG00000007062.11","chr4",15963075,15984303,"ENST00000503884.5","ENSG00000007062.11","PROM1",21228,-4.60521949690022,0.0645085485567339,-20.7847565858047,8.12585011021442e-63,3.62521259583699e-60,132.3069216308
"ENSG00000145708.10","chr5",76952712,76969474,"ENST00000274368.8","ENSG00000145708.10","CRHBP",16762,-4.65762999922029,3.13671263233137,-20.7765923874132,8.76374801740834e-63,3.78367753112881e-60,132.300064497968
"ENSG00000117724.12","chr1",214603194,214615190,"ENST00000464322.5","ENSG00000117724.12","CENPF",11996,2.88107058344799,2.51698468263136,20.7561224628639,1.04947090067038e-62,4.38941204205388e-60,132.122776326601
"ENSG00000162595.6","chr1",68045895,68051631,"ENST00000370981.2","ENSG00000162595.6","DIRAS3",5736,-3.16070347810189,0.559232147603878,-20.7268336622389,1.34101174867676e-62,5.43881855887567e-60,131.852821691054
"ENSG00000267444.1","chr18",49650349,49651160,"ENST00000590640.1","ENSG00000267444.1","SMUG1P1",811,-4.54867755010255,-2.35357976097731,-20.719125427931,1.46799624597669e-62,5.77872404592707e-60,131.519545470373
"ENSG00000249173.5","chr4",184893870,184898764,"ENST00000506479.5","ENSG00000249173.5","LINC01093",4894,-4.51257812199014,1.79868895969742,-20.663630824015,2.49436593369648e-62,9.53845533045534e-60,131.269184902852
"ENSG00000100526.19","chr14",54396848,54417951,"ENST00000555837.5","ENSG00000100526.19","CDKN3",21103,2.79248354351722,0.901747714407636,20.5825575458667,5.04771594153092e-62,1.87662861559583e-59,130.545306128451
"ENSG00000184956.15","chr11",1012820,1036706,"ENST00000421673.6","ENSG00000184956.15","MUC6",23886,-7.22578455967582,0.950395522657104,-20.3004818042805,7.23009071873234e-61,2.61533876160848e-58,127.884779725034
"ENSG00000213398.7","chr16",67939749,67944131,"ENST00000264005.9","ENSG00000213398.7","LCAT",4382,-2.30144645055512,5.40440493541778,-20.2700976365507,9.58513676256654e-61,3.37598606395238e-58,127.499947961247
"ENSG00000184292.6","chr1",58575422,58577773,"ENST00000371225.3","ENSG00000184292.6","TACSTD2",2351,-5.0196500142516,0.467346766025618,-20.2098550237603,1.67663293633743e-60,5.75386031280518e-58,127.037688299683
"ENSG00000158473.6","chr1",158179946,158184896,"ENST00000368171.3","ENSG00000158473.6","CD1D",4950,-2.08010015059805,2.8095736318874,-20.1087664088393,4.11439311255445e-60,1.34309847362021e-57,126.151911910548
"ENSG00000162069.15","chr16",3027681,3031974,"ENST00000572240.5","ENSG00000162069.15","BICDL2",4293,-4.5677888385801,-1.23437707550342,-20.0807231880045,5.54782995107967e-60,1.76790847774405e-57,125.75261861835
"ENSG00000180543.4","chr8",97273473,97277964,"ENST00000322128.4","ENSG00000180543.4","TSPYL5",4491,-2.3015833712793,0.90835688067482,-19.9104435792882,2.59288913847195e-59,8.07051819286247e-57,124.344909871215
"ENSG00000118526.6","chr6",133889137,133895553,"ENST00000367882.4","ENSG00000118526.6","TCF21",6416,-2.76749200871513,0.234863487959622,-19.8767264523122,3.54786491419522e-59,1.07919600026338e-56,124.01373245798
"ENSG00000184363.9","chr11",392613,397198,"ENST00000534401.5","ENSG00000184363.9","PKP3",4585,-4.48450071975405,-1.56641115139807,-19.8483255201365,4.77178862702905e-59,1.41923597742571e-56,123.559101502533
"ENSG00000264230.8","chr10",46375626,46391781,"ENST00000584982.7","ENSG00000264230.8","ANXA8L1",16155,-4.76730289534773,-1.68476214909707,-19.7693111251085,1.00359176588675e-58,2.92001569448441e-56,122.846582684954
"ENSG00000265190.6","chr10",47460161,47484083,"ENST00000583448.2","ENSG00000265190.6","ANXA8",23922,-3.90236779964068,-0.430616011020656,-19.7547220019208,1.13824211126391e-58,3.24132604620343e-56,122.811713937494
"ENSG00000233392.5","chr2",240954616,240967451,"ENST00000418218.5","ENSG00000233392.5","AC104809.2",12835,-3.70525265209863,0.565004170522085,-19.7438209666684,1.26918724390714e-58,3.46669430050066e-56,122.75691384368
"ENSG00000138315.12","chr10",72893580,72933033,"ENST00000334011.9","ENSG00000138315.12","OIT3",39453,-3.58727835326377,3.43017450184605,-19.7208451883626,1.57705206177504e-58,4.16240710768328e-56,122.507745466475
"ENSG00000175664.9","chr13",30932702,30933190,"ENST00000479195.1","ENSG00000175664.9","TEX26",488,-3.79430361435868,-4.16047893164919,-19.7490795463023,1.1632636977239e-58,3.24356694382014e-56,122.43428923774
"ENSG00000160932.10","chr8",143017981,143022410,"ENST00000517503.1","ENSG00000160932.10","LY6E",4429,-2.97204496417429,6.15413989725949,-19.7202305055897,1.58609356314889e-58,4.16240710768328e-56,122.417268858713
"ENSG00000066279.17","chr1",197084127,197146694,"ENST00000367409.8","ENSG00000066279.17","ASPM",62567,2.80719509977624,2.67224761500521,19.6432514714182,3.24559431363637e-58,8.35366044109792e-56,121.812567551256
