"","chr","start","end","TXNAME","GENEID","gene_name","length","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000160323.18","chr9",133414357,133459386,"ENST00000485925.5","ENSG00000160323.18","ADAMTS13",45029,-2.72766657790921,4.00336760722934,-22.8722997268517,9.51026085858776e-71,1.27285331331339e-66,150.579049457833
"ENSG00000143369.14","chr1",150508061,150513553,"ENST00000470432.5","ENSG00000143369.14","ECM1",5492,-3.3342970261745,3.74577859549496,-22.1563319484343,6.41455015280634e-68,4.292616962258e-64,144.089078594196
"ENSG00000243766.8","chr7",27198574,27201236,"ENST00000421733.1","ENSG00000243766.8","HOTTIP",2662,6.47133115012754,-2.95323268851796,21.5784975035975,1.23457602370351e-65,5.50785516708259e-62,138.111796241654
"ENSG00000182566.13","chr19",7728956,7732171,"ENST00000328853.9","ENSG00000182566.13","CLEC4G",3215,-6.82534012327422,1.39250105220745,-20.810599682784,1.39353402944336e-62,4.66276486251749e-59,131.672200284264
"ENSG00000142748.12","chr1",27369111,27374824,"ENST00000270879.8","ENSG00000142748.12","FCN3",5713,-5.25030720529436,3.63723355670609,-20.6215559687662,7.88900817726597e-62,2.11172970889056e-58,130.125281120567
"ENSG00000145287.10","chr4",83090047,83114802,"ENST00000311507.8","ENSG00000145287.10","PLAC8",24755,-3.44893466505679,1.81697276048753,-20.0628852157846,1.30344488608542e-59,2.90755105922787e-56,125.005525010281
"ENSG00000130812.10","chr19",10092337,10096598,"ENST00000589181.5","ENSG00000130812.10","ANGPTL6",4261,-2.79460371127366,2.42531302158839,-19.7114970969316,3.25515823565086e-58,6.22386254656445e-55,121.838859787341
"ENSG00000145824.12","chr5",135570678,135579064,"ENST00000512158.5","ENSG00000145824.12","CXCL14",8386,-5.65744333259038,1.91200134140187,-19.6721824418226,4.88822669852835e-58,7.63410724361318e-55,121.3709872675
"ENSG00000140835.9","chr16",71525232,71538746,"ENST00000338482.5","ENSG00000140835.9","CHST4",13514,-7.26094008023493,-0.507324547970142,-19.6668699561943,5.1335150323161e-58,7.63410724361318e-55,121.01429010413
"ENSG00000106031.8","chr7",27193502,27195600,"ENST00000518136.3","ENSG00000106031.8","HOXA13",2098,7.39242740985498,-1.55191575768856,19.6325528382817,7.04337058888411e-58,9.42684719616249e-55,120.737831415232
"ENSG00000263761.2","chr10",47322489,47326270,"ENST00000581492.2","ENSG00000263761.2","GDF2",3781,-7.14090004271756,-0.830712264032009,-19.439466015298,4.17801932559564e-57,5.08351005943382e-54,119.000370944931
"ENSG00000146674.14","chr7",45912244,45921272,"ENST00000381086.9","ENSG00000146674.14","IGFBP3",9028,-3.15707380905399,7.5187916974066,-19.2673901289667,2.04365359617835e-56,2.27935497760426e-53,117.698951437384
"ENSG00000160801.13","chr3",46877745,46903794,"ENST00000449590.5","ENSG00000160801.13","PTH1R",26049,-3.49310768758882,2.46247520870738,-19.1505967958572,5.96756342879621e-56,6.14383607161604e-53,116.656376230016
"ENSG00000126759.13","chrX",47623171,47628742,"ENST00000640573.1","ENSG00000126759.13","CFP",5571,-3.18157445919186,2.99172015775167,-18.9813262645438,2.84794465522871e-55,2.72263509039864e-52,115.105099298258
"ENSG00000165682.14","chr12",9985641,9997163,"ENST00000398937.6","ENSG00000165682.14","CLEC1B",11522,-6.68192456896002,0.130171369969002,-18.9607030130969,3.46660796143434e-55,3.09313873038915e-52,114.750948033732
"ENSG00000107562.16","chr10",44370164,44385092,"ENST00000374429.6","ENSG00000107562.16","CXCL12",14928,-3.54391725881363,5.89144141169354,-18.8655232319605,8.34889787039718e-55,6.98385306858724e-52,113.976376802058
"ENSG00000120057.4","chr10",97766750,97771952,"ENST00000266066.3","ENSG00000120057.4","SFRP5",5202,-7.71828150357954,-0.121981689648623,-18.8339269811466,1.11779134101145e-54,8.80030547535133e-52,113.469775090063
"ENSG00000225792.1","chr7",26372143,26376272,"ENST00000451368.1","ENSG00000225792.1","AC004540.2",4129,-4.22533408442167,-1.17636971361106,-18.658200545481,5.47898973463555e-54,4.07393325602012e-51,111.884708829545
