"","chr","start","end","TXNAME","GENEID","gene_name","length","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000160323.18","chr9",133414357,133459386,"ENST00000485925.5","ENSG00000160323.18","ADAMTS13",45029,-2.7875261371144,3.99296047097025,-34.7221322489132,3.14745987261408e-103,3.92330873121346e-99,225.270743964719
"ENSG00000143369.14","chr1",150508061,150513553,"ENST00000470432.5","ENSG00000143369.14","ECM1",5492,-3.24914414785825,3.67598628116247,-32.541783301318,6.76298194834022e-97,4.21502849930304e-93,210.716641789965
"ENSG00000117650.12","chr1",211658656,211675630,"ENST00000540251.5","ENSG00000117650.12","NEK2",16974,3.31503517427571,0.779200361589742,29.8762052352425,7.02585538896849e-89,2.91924291411641e-85,192.192824230181
"ENSG00000077152.10","chr1",202331656,202341936,"ENST00000646651.1","ENSG00000077152.10","UBE2T",10280,2.76343635235428,1.25076125482604,29.8107674711973,1.119636384535e-88,3.4890668833072e-85,191.770865041114
"ENSG00000182566.13","chr19",7728956,7732171,"ENST00000328853.9","ENSG00000182566.13","CLEC4G",3215,-7.08729181649674,1.31672886966139,-29.7314374785477,2.22143545834404e-88,5.53803859765169e-85,190.894705209935
"ENSG00000142748.12","chr1",27369111,27374824,"ENST00000270879.8","ENSG00000142748.12","FCN3",5713,-5.50162778688881,3.56875271908974,-29.6987723747825,2.80405388648004e-88,5.82542194916228e-85,190.900342767775
"ENSG00000130812.10","chr19",10092337,10096598,"ENST00000589181.5","ENSG00000130812.10","ANGPTL6",4261,-3.00293015901751,2.34791826079789,-29.0697954196864,2.27484347810013e-86,4.05084627921688e-83,186.512784800662
"ENSG00000145824.12","chr5",135570678,135579064,"ENST00000512158.5","ENSG00000145824.12","CXCL14",8386,-5.60116321142023,1.86742330267757,-28.9864867623623,4.6554408933513e-86,7.25375884195299e-83,185.713869480907
"ENSG00000100526.19","chr14",54396848,54417951,"ENST00000555837.5","ENSG00000100526.19","CDKN3",21103,3.27820742319065,0.98464439392906,28.6167297817768,6.06540515760505e-85,8.400586143283e-82,183.199170070477
"ENSG00000160801.13","chr3",46877745,46903794,"ENST00000449590.5","ENSG00000160801.13","PTH1R",26049,-3.53350606403021,2.47618953548269,-28.5351100413257,1.17194093897659e-84,1.46082438043431e-81,182.58405758216
"ENSG00000114812.12","chr3",42489298,42537567,"ENST00000433647.5","ENSG00000114812.12","VIPR1",48269,-3.96738360857541,2.7395007881357,-28.3528990413111,4.63566509626527e-84,5.25305140226787e-81,181.217785949206
"ENSG00000263761.2","chr10",47322489,47326270,"ENST00000581492.2","ENSG00000263761.2","GDF2",3781,-7.35725938198281,-0.955462807045151,-27.8846308758978,1.4354056138633e-82,1.49102758140051e-79,177.358324022414
"ENSG00000117724.12","chr1",214603194,214615190,"ENST00000464322.5","ENSG00000117724.12","CENPF",11996,3.32813127279097,2.63445371182282,27.85110888445,1.80966711303465e-82,1.73519235107515e-79,177.571726481685
"ENSG00000112984.11","chr5",138178718,138182425,"ENST00000513276.5","ENSG00000112984.11","KIF20A",3707,3.46423542522873,1.12818669096684,27.7838761351134,2.79802627619018e-82,2.4912426809079e-79,177.108416369219
"ENSG00000135451.12","chr12",49323235,49324296,"ENST00000549275.5","ENSG00000135451.12","TROAP",1061,3.14833975432351,1.23533838547584,26.9607104865862,1.23375835217242e-79,1.02525319065528e-76,171.046302510001
"ENSG00000198901.13","chr15",90966037,90994495,"ENST00000394249.7","ENSG00000198901.13","PRC1",28458,2.7876465319342,2.37470668590255,26.9048262421157,1.90585593107385e-79,1.48478088630222e-76,170.629395567851
"ENSG00000123485.11","chr2",233833415,233840738,"ENST00000433484.2","ENSG00000123485.11","HJURP",7323,2.96214541172968,1.44597171683809,26.8487195223023,2.84611403689784e-79,2.08687126293715e-76,170.219423876891
"ENSG00000104938.16","chr19",7763148,7769604,"ENST00000334806.9","ENSG00000104938.16","CLEC4M",6456,-7.3860660993344,1.23762042940734,-26.8080756049173,4.26309837374528e-79,2.9521956238186e-76,169.669646812756
"ENSG00000134690.10","chr1",37692417,37709719,"ENST00000373055.5","ENSG00000134690.10","CDCA8",17302,2.81248423489626,1.02439629513644,26.7702551139807,5.12719753209648e-79,3.31432117298742e-76,169.615062717513
"ENSG00000043355.11","chr13",99981771,99986773,"ENST00000376335.7","ENSG00000043355.11","ZIC2",5002,5.88745788892056,-1.45922587199133,26.7741381169368,5.49821204557207e-79,3.31432117298742e-76,169.338371871198
"ENSG00000134057.14","chr5",69167009,69178245,"ENST00000256442.9","ENSG00000134057.14","CCNB1",11236,2.79100555011849,2.40312792060728,26.7622562568207,5.58369391357688e-79,3.31432117298742e-76,169.55683002223
"ENSG00000160339.15","chr9",134880811,134887520,"ENST00000291744.10","ENSG00000160339.15","FCN2",6709,-6.57704196190245,1.51860600149687,-26.7411220237163,7.04331770257378e-79,3.99067978011737e-76,169.223481369643
"ENSG00000145287.10","chr4",83090047,83114802,"ENST00000311507.8","ENSG00000145287.10","PLAC8",24755,-3.26420651702695,1.77241676552739,-26.5338680666982,3.07522349275257e-78,1.66663742770264e-75,167.838534881244
"ENSG00000066279.17","chr1",197084127,197146694,"ENST00000367409.8","ENSG00000066279.17","ASPM",62567,3.16080900777881,2.79242703797338,26.3900110617706,9.75895725175208e-78,5.06855842262874e-75,166.697378639077
